"Hauljoin","Predjoin","Pred_nodc","Pred_name","Prey_nodc","Prey_name","Prey_cnt","Prey_twt","Pred_stomwt","Pred_len","Pred_full","Pred_wt","Pred_lh","Pred_dig","Prey_lh","Pred_sex","Prey_parts","Vessel","Cruise","Haul","Cruise_type","Rlat","Rlong","Year","Month","Day","Region","Gear_depth","Bottom_depth","Start_hour","Surface_temp","Gear_temp","INPFC_area","Stationid","Start_date","Stratum"
11012112,9783764,8827010501,"Pleurogrammus monopterygius (Atka mackerel)",6118260102,"Candacia columbiae (copepod)",NA,0.04,17.2,40,6,852.9,8,4,"C",1,NA,95,199401,138,"Race_Groundfish",52.53,-179.6,1994,7,9,"AI",165,96,13,5.5,4.4,542,"140-36","1994-07-09",311
11012899,9783926,8827010501,"Pleurogrammus monopterygius (Atka mackerel)",0,"Empty",NA,0,0,38,1,711.1,8,1,NA,1,NA,95,199401,178,"Race_Groundfish",52.07,177.25,1994,7,23,"AI",166,95,9,7.6,4.4,542,"97-26","1994-07-23",321
11012899,9783927,8827010501,"Pleurogrammus monopterygius (Atka mackerel)",6.118e+09,"Calanoida (copepod)",NA,6.04,6.28,39,5,715.1,8,4,"C",2,NA,95,199401,178,"Race_Groundfish",52.07,177.25,1994,7,23,"AI",166,95,9,7.6,4.4,542,"97-26","1994-07-23",321
11012899,9783927,8827010501,"Pleurogrammus monopterygius (Atka mackerel)",6.174e+09,"Euphausiacea (euphausiid)",NA,0.16,6.28,39,5,715.1,8,4,"C",2,NA,95,199401,178,"Race_Groundfish",52.07,177.25,1994,7,23,"AI",166,95,9,7.6,4.4,542,"97-26","1994-07-23",321
11012899,9783927,8827010501,"Pleurogrammus monopterygius (Atka mackerel)",6170011000,"Themisto sp. (amphipod)",NA,0.08,6.28,39,5,715.1,8,4,"C",2,NA,95,199401,178,"Race_Groundfish",52.07,177.25,1994,7,23,"AI",166,95,9,7.6,4.4,542,"97-26","1994-07-23",321
11012899,9783928,8827010501,"Pleurogrammus monopterygius (Atka mackerel)",0,"Empty",NA,0,0,37,1,646.9,8,1,NA,1,NA,95,199401,178,"Race_Groundfish",52.07,177.25,1994,7,23,"AI",166,95,9,7.6,4.4,542,"97-26","1994-07-23",321
11012899,9783929,8827010501,"Pleurogrammus monopterygius (Atka mackerel)",6.171e+09,"Caprellidea (amphipod)",NA,0.02,0.02,36,2,587.1,8,4,"C",1,NA,95,199401,178,"Race_Groundfish",52.07,177.25,1994,7,23,"AI",166,95,9,7.6,4.4,542,"97-26","1994-07-23",321
11012899,9783930,8827010501,"Pleurogrammus monopterygius (Atka mackerel)",0,"Empty",NA,0,0,40,1,852.9,8,1,NA,1,NA,95,199401,178,"Race_Groundfish",52.07,177.25,1994,7,23,"AI",166,95,9,7.6,4.4,542,"97-26","1994-07-23",321
11012899,9783931,8827010501,"Pleurogrammus monopterygius (Atka mackerel)",6.118e+09,"Calanoida (copepod)",NA,6.87,6.91,37,6,596,8,4,"C",2,NA,95,199401,178,"Race_Groundfish",52.07,177.25,1994,7,23,"AI",166,95,9,7.6,4.4,542,"97-26","1994-07-23",321
11011843,9783703,8827010501,"Pleurogrammus monopterygius (Atka mackerel)",6.11e+09,"Ostracoda",NA,0.16,15.08,42,7,924.2,8,5,"C",2,NA,95,199401,94,"Race_Groundfish",51.88,-174.55,1994,6,29,"AI",252,145,15,5.2,4.3,541,"207-21","1994-06-29",612
11011843,9783703,8827010501,"Pleurogrammus monopterygius (Atka mackerel)",6.118e+09,"Calanoida (copepod)",NA,0.32,15.08,42,7,924.2,8,4,"C",2,NA,95,199401,94,"Race_Groundfish",51.88,-174.55,1994,6,29,"AI",252,145,15,5.2,4.3,541,"207-21","1994-06-29",612
11011843,9783703,8827010501,"Pleurogrammus monopterygius (Atka mackerel)",6.174e+09,"Euphausiacea (euphausiid)",NA,14.28,15.08,42,7,924.2,8,5,"C",2,NA,95,199401,94,"Race_Groundfish",51.88,-174.55,1994,6,29,"AI",252,145,15,5.2,4.3,541,"207-21","1994-06-29",612
11011843,9783703,8827010501,"Pleurogrammus monopterygius (Atka mackerel)",8.413e+09,"Copelata (larvacea)",NA,0.16,15.08,42,7,924.2,8,4,"C",2,NA,95,199401,94,"Race_Groundfish",51.88,-174.55,1994,6,29,"AI",252,145,15,5.2,4.3,541,"207-21","1994-06-29",612
11011843,9783703,8827010501,"Pleurogrammus monopterygius (Atka mackerel)",6170011000,"Themisto sp. (amphipod)",NA,0.16,15.08,42,7,924.2,8,5,"C",2,NA,95,199401,94,"Race_Groundfish",51.88,-174.55,1994,6,29,"AI",252,145,15,5.2,4.3,541,"207-21","1994-06-29",612
11011846,9783704,8827010501,"Pleurogrammus monopterygius (Atka mackerel)",5.1e+09,"Gastropoda (snail)",NA,0.02,0.31,45,3,1173.4,8,5,"C",2,NA,95,199401,97,"Race_Groundfish",51.87,-174.95,1994,6,30,"AI",274,156,10,5.8,4.5,541,"201-21","1994-06-30",612
11011846,9783704,8827010501,"Pleurogrammus monopterygius (Atka mackerel)",6.118e+09,"Calanoida (copepod)",NA,0.04,0.31,45,3,1173.4,8,3,"C",2,NA,95,199401,97,"Race_Groundfish",51.87,-174.95,1994,6,30,"AI",274,156,10,5.8,4.5,541,"201-21","1994-06-30",612
11011846,9783704,8827010501,"Pleurogrammus monopterygius (Atka mackerel)",6.174e+09,"Euphausiacea (euphausiid)",NA,0.25,0.31,45,3,1173.4,8,3,"C",2,NA,95,199401,97,"Race_Groundfish",51.87,-174.95,1994,6,30,"AI",274,156,10,5.8,4.5,541,"201-21","1994-06-30",612
11011846,9783705,8827010501,"Pleurogrammus monopterygius (Atka mackerel)",5.001e+09,"Polychaeta (worm)",NA,0.01,2.75,43,4,1002.6,8,5,"C",2,NA,95,199401,97,"Race_Groundfish",51.87,-174.95,1994,6,30,"AI",274,156,10,5.8,4.5,541,"201-21","1994-06-30",612
11011846,9783705,8827010501,"Pleurogrammus monopterygius (Atka mackerel)",6.169e+09,"Gammaridea (amphipod)",NA,0.02,2.75,43,4,1002.6,8,4,"C",2,NA,95,199401,97,"Race_Groundfish",51.87,-174.95,1994,6,30,"AI",274,156,10,5.8,4.5,541,"201-21","1994-06-30",612
