"year","stratum_bin","haul_count","mean_bottom_temp","mean_surface_temp"
1980,"BeringGoa",18,NA,5.48235294117647
1980,"Central",51,4.63,6.94242424242424
1980,"East",46,4.9,5.84210526315789
1980,"West",11,4.37272727272727,8.4
1983,"BeringGoa",34,5.38,7.71470588235294
1983,"Central",96,4.67111111111111,7.075
1983,"East",97,4.78295454545455,7.48556701030928
1983,"West",63,4.29193548387097,7.13650793650794
1986,"BeringGoa",63,4.65384615384615,6.75744680851064
1986,"Central",121,4.33584905660377,6.49396551724138
1986,"East",118,4.59666666666667,6.6353982300885
1986,"West",81,4.13235294117647,7.58481012658228
1991,"BeringGoa",55,4.7,7.26153846153846
1991,"Central",91,4.76923076923077,7.14666666666667
1991,"East",129,4.20416666666667,7.07368421052632
1991,"West",56,4.55555555555556,8.60909090909091
1994,"BeringGoa",64,4.36984126984127,5.32539682539683
1994,"Central",114,4.23771929824561,5.84690265486726
1994,"East",133,4.06356589147287,5.49541984732824
1994,"West",69,4.18676470588235,7.64347826086957
1997,"BeringGoa",52,4.83333333333333,6.04117647058824
1997,"Central",116,4.65689655172414,6.59655172413793
1997,"East",136,4.38,6.14
1997,"West",92,4.78369565217391,8.47282608695652
2000,"BeringGoa",58,4.23157894736842,5.01551724137931
2000,"Central",110,3.91214953271028,5.19818181818182
2000,"East",138,3.97293233082707,5.41605839416058
2000,"West",113,3.68899082568807,6.3972972972973
2002,"BeringGoa",61,4.30983606557377,5.15245901639344
2002,"Central",114,4.11842105263158,5.10526315789474
2002,"East",132,4.22727272727273,6.6030303030303
2002,"West",107,3.87663551401869,5.53457943925234
2004,"BeringGoa",53,4.63018867924528,5.8377358490566
2004,"Central",130,4.42461538461538,6.13
2004,"East",112,4.26330275229358,6.10178571428571
2004,"West",124,4.36280991735537,8.12520325203252
2006,"BeringGoa",44,4.4,5.86136363636364
2006,"Central",110,4.37614678899083,5.71181818181818
2006,"East",91,4.12747252747253,5.72197802197802
2006,"West",112,4.19464285714286,6.88214285714286
2010,"BeringGoa",51,4.558,5.348
2010,"Central",128,4.48828125,5.465625
2010,"East",121,4.20083333333333,5.3725
2010,"West",118,4.3698275862069,7.88189655172414
2012,"BeringGoa",55,3.83272727272727,4.76
2012,"Central",113,4.08611111111111,5.25740740740741
2012,"East",132,4.02204724409449,5.10238095238095
2012,"West",120,3.99661016949153,7.49830508474576
2014,"BeringGoa",44,4.72790697674419,6.44651162790698
2014,"Central",110,4.71,6.46909090909091
2014,"East",122,4.54583333333333,6.265
2014,"West",134,4.30746268656716,9.32985074626866
2016,"BeringGoa",43,5.4046511627907,7.20697674418605
2016,"Central",114,4.90176991150442,6.57818181818182
2016,"East",127,4.71190476190476,6.96370967741935
2016,"West",135,4.81777777777778,9.18507462686567
2018,"BeringGoa",45,4.86444444444444,6.06976744186047
2018,"Central",120,4.755,6.05811965811966
2018,"East",126,4.56507936507936,5.81428571428571
2018,"West",129,4.73720930232558,8.59365079365079
2022,"BeringGoa",47,4.49130434782609,6.32222222222222
2022,"Central",112,4.66517857142857,6.31621621621622
2022,"East",131,4.45496183206107,5.89140625
2022,"West",108,4.58148148148148,9.31320754716981
