"survey","Species","RACE","stratum","haul_count","catch_count","mean_wgt_cpue","mean_num_cpue","new.stratum_biomass","stratum_pop","INPFC_AREA","MAX_DEPTH","REGULATORY_AREA_NAME","NODC","NAME","ECOPATH_PRED"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOA","Other Sebastes",30040,10,176,0,0,0,18.7106489222941,0,"Shumagin",100,"WESTERN GOA",8826010100,"Sebastes sp. (rockfish)","Gen. Sebastes"
"GOA","Other Sebastes",30040,11,321,1,0.0663882696615049,0.069589381196546,242688.151870434,952.069095190814,"Shumagin",100,"WESTERN GOA",8826010100,"Sebastes sp. (rockfish)","Gen. Sebastes"
"GOA","Other Sebastes",30040,12,186,0,0,0,226.308704874086,0,"Shumagin",100,"WESTERN GOA",8826010100,"Sebastes sp. (rockfish)","Gen. Sebastes"
"GOA","Other Sebastes",30040,13,233,9,0.288914313124875,4.01082765168018,1111738.29426358,49729.4057685481,"Shumagin",100,"WESTERN GOA",8826010100,"Sebastes sp. (rockfish)","Gen. Sebastes"
"GOA","Other Sebastes",30040,20,144,0,NA,NA,NA,NA,"Chirikof",100,"CENTRAL GOA",8826010100,"Sebastes sp. (rockfish)","Gen. Sebastes"
"GOA","Other Sebastes",30040,21,161,2,NA,NA,NA,NA,"Chirikof",100,"CENTRAL GOA",8826010100,"Sebastes sp. (rockfish)","Gen. Sebastes"
"GOA","Other Sebastes",30040,22,235,0,0,0,27680.7361707884,0,"Chirikof",100,"CENTRAL GOA",8826010100,"Sebastes sp. (rockfish)","Gen. Sebastes"
"GOA","Other Sebastes",30040,30,134,1,0.0410028576679233,1.36676192226411,97449.07396886,7880.85175091903,"Kodiak",100,"CENTRAL GOA",8826010100,"Sebastes sp. (rockfish)","Gen. Sebastes"
"GOA","Other Sebastes",30040,31,347,1,0.155014323572063,0.16947630128141,654648.538713747,2610.46838165385,"Kodiak",100,"CENTRAL GOA",8826010100,"Sebastes sp. (rockfish)","Gen. Sebastes"
"GOA","Other Sebastes",30040,32,142,0,0,0,79.0844855814181,0,"Kodiak",100,"CENTRAL GOA",8826010100,"Sebastes sp. (rockfish)","Gen. Sebastes"
"GOA","Other Sebastes",30040,33,70,1,0.000703974439758134,0,363077.115076107,0,"Kodiak",100,"CENTRAL GOA",8826010100,"Sebastes sp. (rockfish)","Gen. Sebastes"
"GOA","Other Sebastes",30040,35,55,0,0,0,35110.7328311214,0,"Kodiak",100,"CENTRAL GOA",8826010100,"Sebastes sp. (rockfish)","Gen. Sebastes"
"GOA","Other Sebastes",30040,40,120,6,0.0735356086693994,3.17352049109678,1237923.49681944,31567.4335766854,"Yakutat",100,"EASTERN GOA",8826010100,"Sebastes sp. (rockfish)","Gen. Sebastes"
"GOA","Other Sebastes",30040,41,88,1,7.66429819831523,171.522785181092,13514566.1540858,1151657.15176925,"Yakutat",100,"EASTERN GOA",8826010100,"Sebastes sp. (rockfish)","Gen. Sebastes"
"GOA","Other Sebastes",30040,50,41,1,0.00552928591815838,2.76464295907919,14557495.7288015,18098.2513190941,"Southeastern",100,"EASTERN GOA",8826010100,"Sebastes sp. (rockfish)","Gen. Sebastes"
