"survey","Species","RACE","stratum","haul_count","catch_count","mean_wgt_cpue","mean_num_cpue","new.stratum_biomass","stratum_pop","INPFC_AREA","MAX_DEPTH","REGULATORY_AREA_NAME","NODC","NAME","ECOPATH_PRED"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOA","Other skates",471,10,176,11,9.66191283088858,1.79684989516285,1629536.46695189,14972.6434647216,"Shumagin",100,"WESTERN GOA",8713040107,"Bathyraja parmifera (Alaska skate)","AK Skate"
"GOA","Other skates",471,11,321,25,17.6024905978176,3.39253572237108,3205497.32729892,46414.0988188678,"Shumagin",100,"WESTERN GOA",8713040107,"Bathyraja parmifera (Alaska skate)","AK Skate"
"GOA","Other skates",471,12,186,7,5.10267034853421,1.00145989988869,437314.242763377,6885.86101323234,"Shumagin",100,"WESTERN GOA",8713040107,"Bathyraja parmifera (Alaska skate)","AK Skate"
"GOA","Other skates",471,13,233,5,3.81275399202029,0.701481349880778,1395254.29945866,8697.51924460694,"Shumagin",100,"WESTERN GOA",8713040107,"Bathyraja parmifera (Alaska skate)","AK Skate"
"GOA","Other skates",471,20,144,2,NA,NA,NA,NA,"Chirikof",100,"CENTRAL GOA",8713040107,"Bathyraja parmifera (Alaska skate)","AK Skate"
"GOA","Other skates",471,21,161,2,NA,NA,NA,NA,"Chirikof",100,"CENTRAL GOA",8713040107,"Bathyraja parmifera (Alaska skate)","AK Skate"
"GOA","Other skates",471,22,235,6,4.04405098301154,0.522687572067671,1080896.91569252,5640.85055000517,"Chirikof",100,"CENTRAL GOA",8713040107,"Bathyraja parmifera (Alaska skate)","AK Skate"
"GOA","Other skates",471,30,134,11,11.901532468293,1.87501336589122,1052660.69478813,10811.4676937312,"Kodiak",100,"CENTRAL GOA",8713040107,"Bathyraja parmifera (Alaska skate)","AK Skate"
"GOA","Other skates",471,31,347,3,1.49947438011333,0.211925090598008,1711763.3561928,3264.31332346944,"Kodiak",100,"CENTRAL GOA",8713040107,"Bathyraja parmifera (Alaska skate)","AK Skate"
