"survey","Species","RACE","stratum","haul_count","catch_count","mean_wgt_cpue","mean_num_cpue","new.stratum_biomass","stratum_pop","INPFC_AREA","MAX_DEPTH","REGULATORY_AREA_NAME","NODC","NAME","ECOPATH_PRED"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOA","N. Rock sole",10261,10,176,209,535.147624658257,1082.9190005366,6366386.7233432,9023658.64831331,"Shumagin",100,"WESTERN GOA",8857040803,"Lepidopsetta polyxystra (northern rock sole)","N Rock Sole"
"GOA","N. Rock sole",10261,11,321,439,817.677440225561,2533.40238901757,14215115.4733059,34660088.6341251,"Shumagin",100,"WESTERN GOA",8857040803,"Lepidopsetta polyxystra (northern rock sole)","N Rock Sole"
"GOA","N. Rock sole",10261,12,186,248,1617.85338298212,4578.01515034153,12575657.0554669,31477621.8650667,"Shumagin",100,"WESTERN GOA",8857040803,"Lepidopsetta polyxystra (northern rock sole)","N Rock Sole"
"GOA","N. Rock sole",10261,13,233,318,633.18060302401,1533.73647593293,9525730.074847,19016474.9466959,"Shumagin",100,"WESTERN GOA",8857040803,"Lepidopsetta polyxystra (northern rock sole)","N Rock Sole"
"GOA","N. Rock sole",10261,20,144,140,NA,NA,NA,NA,"Chirikof",100,"CENTRAL GOA",8857040803,"Lepidopsetta polyxystra (northern rock sole)","N Rock Sole"
"GOA","N. Rock sole",10261,21,161,113,NA,NA,NA,NA,"Chirikof",100,"CENTRAL GOA",8857040803,"Lepidopsetta polyxystra (northern rock sole)","N Rock Sole"
"GOA","N. Rock sole",10261,22,235,287,635.59977661406,1034.71158702895,8195815.98030316,11166619.8637555,"Chirikof",100,"CENTRAL GOA",8857040803,"Lepidopsetta polyxystra (northern rock sole)","N Rock Sole"
"GOA","N. Rock sole",10261,30,134,173,764.798789623871,1180.15925973994,4999955.50626278,6804886.80360498,"Kodiak",100,"CENTRAL GOA",8857040803,"Lepidopsetta polyxystra (northern rock sole)","N Rock Sole"
"GOA","N. Rock sole",10261,31,347,313,338.560932883361,634.011711347204,8619658.87875715,9765775.58960256,"Kodiak",100,"CENTRAL GOA",8857040803,"Lepidopsetta polyxystra (northern rock sole)","N Rock Sole"
"GOA","N. Rock sole",10261,32,142,107,149.697353838572,481.465431774434,2116918.97491197,4760190.94810202,"Kodiak",100,"CENTRAL GOA",8857040803,"Lepidopsetta polyxystra (northern rock sole)","N Rock Sole"
"GOA","N. Rock sole",10261,33,70,13,16.8661170402407,26.3302178833705,159319.524877243,138499.105144395,"Kodiak",100,"CENTRAL GOA",8857040803,"Lepidopsetta polyxystra (northern rock sole)","N Rock Sole"
"GOA","N. Rock sole",10261,35,55,64,326.139973468458,680.574551097921,1092880.73442411,1497006.75523511,"Kodiak",100,"CENTRAL GOA",8857040803,"Lepidopsetta polyxystra (northern rock sole)","N Rock Sole"
"GOA","N. Rock sole",10261,40,120,1,0.474938638976762,0.285419855154304,5964.78708746353,2839.10954548045,"Yakutat",100,"EASTERN GOA",8857040803,"Lepidopsetta polyxystra (northern rock sole)","N Rock Sole"
"GOA","N. Rock sole",10261,41,88,0,0,0,107233.820153551,0,"Yakutat",100,"EASTERN GOA",8857040803,"Lepidopsetta polyxystra (northern rock sole)","N Rock Sole"
"GOA","N. Rock sole",10261,50,41,3,1.52380695227852,5.2690810718464,10640.593358805,34493.1171476549,"Southeastern",100,"EASTERN GOA",8857040803,"Lepidopsetta polyxystra (northern rock sole)","N Rock Sole"
"GOA","N. Rock sole",10261,110,108,17,4.4175343715194,8.73672155763557,194480.465270697,37090.1438161752,"Shumagin",200,"WESTERN GOA",8857040803,"Lepidopsetta polyxystra (northern rock sole)","N Rock Sole"
"GOA","N. Rock sole",10261,111,263,192,NA,NA,NA,NA,"Shumagin",200,"WESTERN GOA",8857040803,"Lepidopsetta polyxystra (northern rock sole)","N Rock Sole"
"GOA","N. Rock sole",10261,112,56,11,2.37446947531458,6.51524006231829,25059.1049407626,14843.2935500561,"Shumagin",200,"WESTERN GOA",8857040803,"Lepidopsetta polyxystra (northern rock sole)","N Rock Sole"
"GOA","N. Rock sole",10261,120,269,16,4.36255756635511,8.5862181383806,385886.078351428,95341.7010710856,"Chirikof",200,"CENTRAL GOA",8857040803,"Lepidopsetta polyxystra (northern rock sole)","N Rock Sole"
"GOA","N. Rock sole",10261,121,219,12,3.60479484919698,10.6524456796222,666431.51847254,82392.6087500735,"Chirikof",200,"CENTRAL GOA",8857040803,"Lepidopsetta polyxystra (northern rock sole)","N Rock Sole"
