NODC_CODE,BASE_NAME,LENFEST_NAME,WEBSITE_NAME,CRAB_TEAM,ECOPATH_PREY,EBS_CRAB,GOA_MED
0,Empty,NA,Empty,Empty,Empty,Empty,Empty
1499999999,Misc. prey,NA,Misc Org,Other,Complete Misc,Oth.nonfish,OTH
1500000000,Phaeophycophyta (brown algae),Brown_Algae,Misc Invert,Other,Algae,Oth.nonfish,Lg.Phytoplankton
3448000000,Foraminiferida (protozoan),Foraminiferida,Misc Invert,Other,Protozoan,Oth.nonfish,Pred.zoop
3450000000,Textulariina (foram),Textulariina,Misc Invert,Other,Protozoan,Oth.nonfish,Pred.zoop
3600000000,Porifera (sponge),Sponges,Misc Invert,Other,Sponge,Epifauna,Structural.epifauna
3630000000,Hyalospongia (glass sponges),Sponges,Misc Invert,Other,Sponge,Epifauna,Structural.epifauna
3666090100,sponge Latrunculia sp.,Sponges,Misc Invert,Other,Sponge,Epifauna,Structural.epifauna
3700000000,Cnidaria,Misc_Cnidaria,Cnidaria,Other,Sponge,Epifauna,Structural.epifauna
3701000000,Hydrozoa,Misc_Cnidaria,Cnidaria,Other,Gen. Hydrozoa,Oth.nonfish,OTH
3702000000,Hydroida (hydroid),Misc_Cnidaria,Cnidaria,Other,Benth. Hydroid,Epifauna,Structural.epifauna
3704050000,Sertulariidae (hydroid),Misc_Cnidaria,Cnidaria,Other,Benth. Hydroid,Epifauna,Structural.epifauna
3704050200,Sertularia sp. (hydroid),Misc_Cnidaria,Cnidaria,Other,Benth. Hydroid,Epifauna,Structural.epifauna
3715000000,Siphonophora,Misc_Cnidaria,Cnidaria,Other,Pel. Gel. Filter Feeder,Oth.nonfish,Pred.zoop
3717010000,Agalmidae,Misc_Cnidaria,Cnidaria,Other,Pel. Gel. Filter Feeder,Oth.nonfish,Pred.zoop
3730000000,Scyphozoa (jellyfish),Scyphozoa,Cnidaria,Other,Scypho Jellies,Oth.nonfish,Jellyfish
3733010100,Atolla sp.,Scyphozoa,Cnidaria,Other,Scypho Jellies,Oth.nonfish,Jellyfish
3733060101,Periphylla periphylla,Scyphozoa,Cnidaria,Other,Scypho Jellies,Oth.nonfish,Jellyfish
3734010201,Chrysaora melanaster (jellyfish),Scyphozoa,Cnidaria,Other,Scypho Jellies,Oth.nonfish,Jellyfish
3734030101,Phacellophora camtchatica,Scyphozoa,Cnidaria,Other,Scypho Jellies,Oth.nonfish,Jellyfish
3734030203,Aurelia labiata (moon jellyfish),Scyphozoa,Cnidaria,Other,Scypho Jellies,Oth.nonfish,Jellyfish
3740000000,Anthozoa (anemome),Anthozoa,Cnidaria,Other,Anemones,Epifauna,Structural.epifauna
3743010000,Cerianthidae (anemone),Anthozoa,Cnidaria,Other,Anemones,Epifauna,Structural.epifauna
3752000000,Pennatulacea (sea pen),Anthozoa,Cnidaria,Other,Sea Pens,Epifauna,Structural.epifauna
3760010900,Liponema sp. (sea anemone),Anthozoa,Cnidaria,Other,Anemones,Epifauna,Structural.epifauna
3760020000,Actinostolidae (anemone),Anthozoa,Cnidaria,Other,Anemones,Epifauna,Structural.epifauna
3760040400,Anemone Actinauge sp.,Anthozoa,Cnidaria,Other,Anemones,Epifauna,Structural.epifauna
3800000000,Ctenophora (comb jelly),Ctenophora,Ctenophora,Other,Pel. Gel. Filter Feeder,Oth.nonfish,Pred.zoop
3807010100,Beroe sp. (ctenophore),Ctenophora,Ctenophora,Other,Pel. Gel. Filter Feeder,Oth.nonfish,Pred.zoop
3900000000,Platyhelminthes,Platyhelminthes,Misc Invert,Other,Misc. Worm. Etc.,Epifauna,Infauna
3935000000,Digenea (flatworm),Platyhelminthes,Misc Invert,Other,Misc. Worm. Etc.,Epifauna,Infauna
3960000000,Cestoda (flatworm),Platyhelminthes,Misc Invert,Other,Misc. Worm. Etc.,Epifauna,Infauna
4300000000,Rhynchocoela,Rhynchocoela,Misc Invert,Other,Misc. Worm. Etc.,Epifauna,Infauna
