"NODCcode","sp_code","sp_Lname","sp_Cname","LW.intercept_a","LW.slope_b","EwEReg","n"
NA,NA,NA,NA,NA,NA,NA,NA
8826010102,30060,"Sebastes alutus","Pacific ocean perch",0.00793953952291447,3.1272,"WGOA",14594
8826010102,30060,"Sebastes alutus","Pacific ocean perch",0.00675413749270418,3.168,"EGOA",5798
8826010102,30060,"Sebastes alutus","Pacific ocean perch",0.00640228705569082,3.1915,"AI",15746
8826010102,30060,"Sebastes alutus","Pacific ocean perch",0.00716605489248236,3.1637,"BS",1846
8826010129,30420,"Sebastes polyspinis","northern rockfish",0.0101052519018585,3.0867,"WGOA",11340
8826010129,30420,"Sebastes polyspinis","northern rockfish",0.0523187742526713,2.6079,"EGOA",13
8826010129,30420,"Sebastes polyspinis","northern rockfish",0.00970125519789161,3.0839,"AI",7016
8826010129,30420,"Sebastes polyspinis","northern rockfish",0.00663033465626613,3.2007,"BS",546
8827010501,21921,"Pleurogrammus monopterygius","Atka mackerel",0.00308346905270846,3.3656,"WGOA",4526
8827010501,21921,"Pleurogrammus monopterygius","Atka mackerel",0.00371157115535794,3.2992,"EGOA",22
8827010501,21921,"Pleurogrammus monopterygius","Atka mackerel",0.00418939058807356,3.2719,"AI",8586
8827010501,21921,"Pleurogrammus monopterygius","Atka mackerel",0.00321862831279653,3.3585,"BS",585
8857040801,10262,"Lepidopsetta bilineata","southern rock sole",0.00393202782567191,3.2926,"WGOA",6767
8857040801,10262,"Lepidopsetta bilineata","southern rock sole",0.00320289561066256,3.342,"EGOA",286
8857040801,10262,"Lepidopsetta bilineata","southern rock sole",0.00323508524670286,3.3373,"AI",492
8857040801,10262,"Lepidopsetta bilineata","southern rock sole",0.00381429281890009,3.2923,"BS",1898
8713040103,420,"Beringraja binoculata","big skate",0.0319398765903154,2.7088,"WGOA",618
8713040103,420,"Beringraja binoculata","big skate",0.00925677095592975,2.9461,"EGOA",181
8713040103,420,"Beringraja binoculata","big skate",0.00194634893977554,3.2767,"BS",12
8831021403,21347,"Hemilepidotus jordani","yellow Irish lord",0.00289462416063456,3.3858,"WGOA",1332
8831021403,21347,"Hemilepidotus jordani","yellow Irish lord",0.00468963746071027,3.2539,"EGOA",91
8831021403,21347,"Hemilepidotus jordani","yellow Irish lord",0.00279478527503684,3.3926,"AI",1517
8831021403,21347,"Hemilepidotus jordani","yellow Irish lord",0.00398586869212829,3.2885,"BS",479
8857040601,10130,"Hippoglossoides elassodon","flathead sole",0.00231603177405049,3.3613,"WGOA",17009
8857040601,10130,"Hippoglossoides elassodon","flathead sole",0.0020074299638495,3.4034,"EGOA",3936
