"","sp_prey","AK Plaice","butter sole","English sole","N. Rock sole","Northern Rock","sand sole","slender sole","southern rock sole","starry flounder","YF. Sole"
"1","AK Plaice",NA,NA,0,NA,NA,NA,NA,0,NA,NA
"2","AK Skate",NA,NA,0,NA,NA,NA,NA,0,NA,NA
"3","Aleutian Skate",NA,NA,0,NA,NA,NA,NA,0,NA,NA
"4","Algae",NA,NA,0,NA,NA,NA,NA,0,NA,NA
"5","Anemones",NA,NA,0,NA,NA,NA,NA,0.00231697973532611,NA,NA
"6","Arrow or Kam",NA,NA,0,NA,NA,NA,NA,0,NA,NA
"7","Arrowtooth",NA,NA,0,NA,NA,NA,NA,0,NA,NA
"8","Atka",NA,NA,0,NA,NA,NA,NA,0,NA,NA
"9","Bairdi",NA,NA,0,NA,NA,NA,NA,0,NA,NA
"10","Bathylagidae",NA,NA,0,NA,NA,NA,NA,0,NA,NA
"11","Benth Amph",NA,NA,0.0144961394795789,NA,NA,NA,NA,0.0144653518954597,NA,NA
"12","Benth. Hydroid",NA,NA,0,NA,NA,NA,NA,0,NA,NA
"13","Benth. Urochordata",NA,NA,0,NA,NA,NA,NA,0.000495367805735635,NA,NA
"14","Bering Skate",NA,NA,0,NA,NA,NA,NA,0,NA,NA
"15","Big Skate",NA,NA,0,NA,NA,NA,NA,0,NA,NA
"16","Bighand Thorny",NA,NA,0,NA,NA,NA,NA,0,NA,NA
"17","Birds",NA,NA,0,NA,NA,NA,NA,0,NA,NA
"18","Black Skate",NA,NA,0,NA,NA,NA,NA,0,NA,NA
"19","Bocaccio",NA,NA,0,NA,NA,NA,NA,0,NA,NA
"20","Brittle Star",NA,NA,0.0440953205698641,NA,NA,NA,NA,0.202673614276278,NA,NA
"21","Canary Rock",NA,NA,0,NA,NA,NA,NA,0,NA,NA
"22","Capelin",NA,NA,0,NA,NA,NA,NA,0,NA,NA
"23","Chaeteg etc.",NA,NA,0,NA,NA,NA,NA,3.55839191569522e-06,NA,NA
"24","Clam",NA,NA,0.0587457631006445,NA,NA,NA,NA,0.217290515248844,NA,NA
"25","Commander Skate",NA,NA,0,NA,NA,NA,NA,0,NA,NA
"26","Complete Misc",NA,NA,0,NA,NA,NA,NA,0,NA,NA
"27","Copepod",NA,NA,0,NA,NA,NA,NA,0,NA,NA
"28","Deepsea Skate",NA,NA,0,NA,NA,NA,NA,0,NA,NA
"29","Dogfish",NA,NA,0,NA,NA,NA,NA,0,NA,NA
"30","Dover Sole",NA,NA,0,NA,NA,NA,NA,0,NA,NA
"31","Dungeness",NA,NA,0,NA,NA,NA,NA,0,NA,NA
"32","Dusky Rock",NA,NA,0,NA,NA,NA,NA,0,NA,NA
"33","Eelpout",NA,NA,0,NA,NA,NA,NA,0,NA,NA
"34","Empty",NA,NA,0,NA,NA,NA,NA,0,NA,NA
"35","Eulachon",NA,NA,0,NA,NA,NA,NA,0,NA,NA
"36","Euphausiid",NA,NA,0.000302875686181555,NA,NA,NA,NA,0,NA,NA
"37","FH Sole",NA,NA,0,NA,NA,NA,NA,0,NA,NA
"38","Fish Eggs",NA,NA,0,NA,NA,NA,NA,0,NA,NA
"39","Gen Rock Sole",NA,NA,0,NA,NA,NA,NA,0,NA,NA
"40","Gen Thorny",NA,NA,0,NA,NA,NA,NA,0,NA,NA
"41","Gen. Cephalopod",NA,NA,0,NA,NA,NA,NA,0,NA,NA
"42","Gen. Clupeids",NA,NA,0,NA,NA,NA,NA,0,NA,NA
"43","Gen. Crab",NA,NA,0.00394227684404413,NA,NA,NA,NA,0.000285987467398694,NA,NA
"44","Gen. Crustacea",NA,NA,0,NA,NA,NA,NA,0,NA,NA
"45","Gen. Echinoderm",NA,NA,0,NA,NA,NA,NA,0.00057290109842693,NA,NA
"46","Gen. Fish",NA,NA,0.000109859028981694,NA,NA,NA,NA,0.14674408595618,NA,NA
"47","Gen. Flatfish",NA,NA,0,NA,NA,NA,NA,0,NA,NA
"48","Gen. Gadid",NA,NA,0,NA,NA,NA,NA,0,NA,NA
"49","Gen. Hexagrammidae",NA,NA,0,NA,NA,NA,NA,0,NA,NA
"50","Gen. Hydrozoa",NA,NA,0,NA,NA,NA,NA,0,NA,NA
"51","Gen. Mollusc",NA,NA,0,NA,NA,NA,NA,0,NA,NA
"52","Gen. Particulate",NA,NA,0,NA,NA,NA,NA,0,NA,NA
"53","Gen. Rockfish",NA,NA,0,NA,NA,NA,NA,0,NA,NA
"54","Gen. Rocks et al",NA,NA,0,NA,NA,NA,NA,0,NA,NA
"55","Gen. Salmoniformes",NA,NA,0,NA,NA,NA,NA,0,NA,NA
"56","Gen. Sebastes",NA,NA,0,NA,NA,NA,NA,0.000399637049919056,NA,NA
"57","Gen. Shark Skate",NA,NA,0,NA,NA,NA,NA,0,NA,NA
"58","Gen. Smelt",NA,NA,0,NA,NA,NA,NA,0,NA,NA
"59","Giant Grenadier",NA,NA,0,NA,NA,NA,NA,0,NA,NA
"60","Glopp",NA,NA,0,NA,NA,NA,NA,0.0109518319963474,NA,NA
"61","Gr. Turbot",NA,NA,0,NA,NA,NA,NA,0,NA,NA
"62","Greenlings",NA,NA,0,NA,NA,NA,NA,0,NA,NA
"63","Hake",NA,NA,0,NA,NA,NA,NA,0,NA,NA
"64","Hermit Crab",NA,NA,0,NA,NA,NA,NA,0,NA,NA
"65","Herring",NA,NA,0,NA,NA,NA,NA,0,NA,NA
"66","Kamchat fl",NA,NA,0,NA,NA,NA,NA,0,NA,NA
"67","King Crab",NA,NA,0,NA,NA,NA,NA,0,NA,NA
"68","Leopard Skate",NA,NA,0,NA,NA,NA,NA,0,NA,NA
"69","Lg Sculpin",NA,NA,0,NA,NA,NA,NA,0,NA,NA
"70","Lingcod",NA,NA,0,NA,NA,NA,NA,0,NA,NA
"71","Longnose Skate",NA,NA,0,NA,NA,NA,NA,0,NA,NA
"72","Longsp Thorny",NA,NA,0,NA,NA,NA,NA,0,NA,NA
"73","Macrouridae",NA,NA,0,NA,NA,NA,NA,0,NA,NA
