"","sp_prey","Rougheye Rock","S. Rock sole","Sharpchin Rock","Shortraker Rock"
"1","AK Plaice",0,0,0,0
"2","AK Skate",0,0,0,0
"3","Aleutian Skate",0,0,0,0
"4","Algae",0,0,0,0
"5","Anemones",0,0.00231697973532611,0,0
"6","Arrow or Kam",0,0,0,0
"7","Arrowtooth",0,0,0,0
"8","Atka",0,0,0,0
"9","Bairdi",0,0,0,0
"10","Bathylagidae",0,0,0,0
"11","Benth Amph",0.0207637207290014,0.0144653518954597,0,0
"12","Benth. Hydroid",0,0,0,0
"13","Benth. Urochordata",0,0.000495367805735635,0,0
"14","Bering Skate",0,0,0,0
"15","Big Skate",0,0,0,0
"16","Bighand Thorny",0,0,0,0
"17","Birds",0,0,0,0
"18","Black Skate",0,0,0,0
"19","Bocaccio",0,0,0,0
"20","Brittle Star",0,0.202673614276278,0,0
"21","Canary Rock",0,0,0,0
"22","Capelin",0,0,0,0
"23","Chaeteg etc.",0.0010169236775204,3.55839191569523e-06,0,0
"24","Clam",0,0.217290515248844,0,0
"25","Commander Skate",0,0,0,0
"26","Complete Misc",0,0,0,0
"27","Copepod",0.0187075488525567,0,0,0
"28","Deepsea Skate",0,0,0,0
"29","Dogfish",0,0,0,0
"30","Dover Sole",0,0,0,0
"31","Dungeness",0,0,0,0
"32","Dusky Rock",0,0,0,0
"33","Eelpout",0,0,0,0
"34","Empty",0,0,0,0
"35","Eulachon",0,0,0,0
"36","Euphausiid",0.128904406798376,0,0.128006857833997,0
"37","FH Sole",0,0,0,0
"38","Fish Eggs",0,0,0,0
"39","Gen Rock Sole",0,0,0,0
"40","Gen Thorny",0,0,0,0
"41","Gen. Cephalopod",0.00612640220442811,0,0,0.0236327882858531
"42","Gen. Clupeids",0,0,0,0
"43","Gen. Crab",0,0.000285987467398694,0,0
"44","Gen. Crustacea",0.00773780865128045,0,0,0.00105230043147143
"45","Gen. Echinoderm",0,0.000572901098426931,0,0
"46","Gen. Fish",0.188794248939602,0.146744085956179,0.155315572587916,0.367276835993898
"47","Gen. Flatfish",0,0,0,0
"48","Gen. Gadid",0,0,0,0
"49","Gen. Hexagrammidae",0,0,0,0
"50","Gen. Hydrozoa",0,0,0,0
"51","Gen. Mollusc",0,0,0,0
"52","Gen. Particulate",0,0,0,0
"53","Gen. Rockfish",0,0,0,0
"54","Gen. Rocks et al",0,0,0,0
"55","Gen. Salmoniformes",0,0,0,0
"56","Gen. Sebastes",0,0.000399637049919057,0,0
"57","Gen. Shark Skate",0,0,0,0
"58","Gen. Smelt",0,0,0,0
"59","Giant Grenadier",0,0,0,0
"60","Glopp",2.7447742336695e-05,0.0109518319963474,0,0.0246793119948705
"61","Gr. Turbot",0,0,0,0
"62","Greenlings",0,0,0,0
"63","Hake",0,0,0,0
"64","Hermit Crab",0.0105591167431791,0,0,0
"65","Herring",0,0,0,0
"66","Kamchat fl",0,0,0,0
"67","King Crab",0,0,0,0
"68","Leopard Skate",0,0,0,0
"69","Lg Sculpin",0,0,0,0
"70","Lingcod",0,0,0,0
"71","Longnose Skate",0,0,0,0
"72","Longsp Thorny",0,0,0,0
"73","Macrouridae",0,0,0,0
"74","Managed Forage",0,0,0,0
"75","Misc. Crab",0,0.0206202720202953,0,0
"76","Misc. Crustacean",0.113857859015569,0.0112396702480111,0,0
"77","Misc. Flatfish",0,0,0,0
"78","Misc. Worm. Etc.",0,0.0456053066106038,0,0
"79","Mud Skate",0,0,0,0
"80","Myctophidae",0,0,0,0
"81","Mysid",0.157777765072069,0,0,0.144122686105839
"82","N Rock Sole",0,0,0,0
"83","Northern Rock",0,0,0,0
"84","NP Shrimp",0.255066598709708,0.00501105436231269,0,0.188025169219961
"85","Octopus",0,0,0,0
"86","Offal",0,0,0,0.229781058434724
"87","Okhotsk Skate",0,0,0,0
"88","Opilo",0,0,0,0
"89","Oth pel. smelt",0,0,0,0
"90","Oth pel. Smelt",0,0,0,0
"91","P. Cod",0,0,0,0
"92","P. Halibut",0,0,0,0
"93","Pacific Grenadier",0,0,0,0
"94","Pandalidae",0.014717371486582,0,0.0902619868935131,0.0214298495333827
"95","Pel Amph",0.0489568531234223,0.000338562754088035,0.626415582684574,0
"96","Pel. Gel. Filter Feeder",0,0,0,0
"97","Polychaete",0,0.224276998235676,0,0
"98","POP",0,0,0,0
"99","Prickle squish deep",0,0,0,0
"100","Prickle squish round",0,0,0,0
"101","Protozoan",0,0,0,0
"102","Pteropod",0,0,0,0
"103","Ratfish",0,0,0,0
"104","Rex sole",0,0,0,0
"105","Rougheye Rock",0,0,0,0
"106","S Rock Sole",0,0,0,0
"107","Sablefish",0,0,0,0
"108","Salmon",0,0,0,0
"109","Sandlance",0,0.0594970923140777,0,0
"110","Sculpin",0.0027283798237816,0.000850455667851159,0,0
"111","Scypho Jellies",0,0,0,0
"112","Sea Pens",0,0,0,0
"113","Sea Star",0,0,0,0
"114","Sebastes",0,0,0,0
"115","Sharpchin Rock",0,0,0,0
"116","Shortraker Rock",0,0,0,0
"117","Shortsp Thorny",0,0,0,0
"118","Sleeper Shark",0,0,0,0
"119","Snail",0,0.00403070067335073,0,0
"120","Sponge",0,0.000511133832369978,0,0
"121","Squid",0.0242575484305878,0,0,0
"122","Unid Bathyraja",0,0,0,0
"123","Unid Chion",0,0,0,0
"124","Unid Rajidae",0,0,0,0
"125","Urchins dollars cucumbers",0,0.031818922359533,0,0
"126","W. Pollock",0,0,0,0
"127","Whitebrow Skate",0,0,0,0
"128","WhtBlotch Skate",0,0,0,0
"129","Widow Rock",0,0,0,0
"130","Yellowtail Rock",0,0,0,0
"131","YF Sole",0,0,0,0
"132",NA,0,0,0,0
