"","sp_prey","Arrowtooth_adult","P.cod_adult","P.halibut_adult","P.ocean perch_adult","Rex Sole_adult","Sablefish_adult","W.pollock_adult","W.pollock_juv"
"1","AK Plaice",0,0,0,0,0,0,0,0
"2","AK Skate",0,0,0,0,0,0,0,0
"3","Aleutian Skate",0,0,0,0,0,0,0,0
"4","Algae",0,0,0,0,0,0,0,0
"5","Anemones",0,0.000990264503903935,0,0,0,0.00118466910297054,0,0
"6","Arrow or Kam",0,0,0,0,0,0,0,0
"7","Arrowtooth",0,0.00102230770207733,0,0,0,0,0,0
"8","Atka",0,0,0,0,0,0,0,0
"9","Bairdi",0,0,0,8.71661121474464e-06,0,0,0,0
"10","Bathylagidae",0,0,0,0,0,0,0,0
"11","Benth Amph",0,0.000873679419266362,0,0.0828894056704579,0.156622309399372,3.392969900543e-05,0.0521375434540177,0.0237859724444359
"12","Benth. Hydroid",0,0,0,0,0,0,0,0
"13","Benth. Urochordata",0,0,0,0,0,0,0,0
"14","Bering Skate",0,0,0,0,0,0,0,0
"15","Big Skate",0,0,0,0,0,0,0,0
"16","Bighand Thorny",0,0,0,0,0,0,0,0
"17","Birds",0,0,0,0,0,0,0,0
"18","Black Skate",0,0,0,0,0,0,0,0
"19","Bocaccio",0,0,0,0,0,0,0,0
"20","Brittle Star",0,0,0.000288399503407721,0,0,0.000612513057964935,0,0
"21","Canary Rock",0,0,0,0,0,0,0,0
"22","Capelin",0,0,0,0,0,0,0,0
"23","Chaeteg etc.",0,0,0,0.0119151521016025,0,0,0.0026863553322117,0
"24","Clam",0,0.000219922746887669,0,0,0.000512747122710216,0.001430543822455,0,0
"25","Commander Skate",0,0,0,0,0,0,0,0
"26","Complete Misc",0,0,0,0,0,0,0,0
"27","Copepod",0,0,0,0.195730941479429,0,0,0.00975535448833845,0.0166984660140975
"28","Deepsea Skate",0,0,0,0,0,0,0,0
"29","Dogfish",0,0,0,0,0,0,0,0
"30","Dover Sole",0,0,0,0,0,0,0,0
"31","Dungeness",0,0,0,0,0,0,0,0
"32","Dusky Rock",0,0,0,0,0,0,0,0
"33","Eelpout",0,0,0,0,0,0,0,0
"34","Empty",0,0,0,0,0,0,0,0
"35","Eulachon",0,0,0,0,0,0,0,0
"36","Euphausiid",0.129183861978385,0.000178054709740956,8.72985698971108e-05,0.495640388336469,0.0181923526484537,0.000164883365449228,0.631160741137345,0.879807019823512
"37","FH Sole",0,0,0,0,0,0,0,0
"38","Fish Eggs",0,0,0,0,0,0,0,0
"39","Gen Rock Sole",0,0,0,0,0,0,0,0
"40","Gen Thorny",0,0,0,0,0,0,0,0
"41","Gen. Cephalopod",0,0,0.00075506560704104,3.94960215721004e-05,0,0.00319034053597864,0,0
"42","Gen. Clupeids",0,0,0,0,0,0,0,0
"43","Gen. Crab",0,0,0.00011505965093968,0.000515556311432718,0,0,0.00146091494707528,0.00220545777544684
"44","Gen. Crustacea",0.000245066978627152,0,0,0.000997323049630294,0,0,0.000221316625988255,0.0382789070699437
"45","Gen. Echinoderm",0,0,0,0,0,0,0,0
"46","Gen. Fish",0.0928337288422638,0.00167240537478255,0.00934341233034942,0.0126665679541913,0,0.0187431722304771,0.00342378344248391,0
"47","Gen. Flatfish",0.00367600467940728,0.010693360116666,0,0.0112066586620375,0,0,0,0
"48","Gen. Gadid",0.12068165595694,0,0.0128361153196977,0,0,0.141797550124596,0,0
"49","Gen. Hexagrammidae",0,0,0,0,0,0,0,0
"50","Gen. Hydrozoa",0,0,0,0,0,0,0,0
"51","Gen. Mollusc",0,0.000644738639750021,0,0,0,0,0,0
"52","Gen. Particulate",0,0,0,0,0,0,0,0
"53","Gen. Rockfish",0,0,0.0435710918026116,0,0,0,0,0
"54","Gen. Rocks et al",0,0.000559735519335182,0.00117690811389374,0,0,0,0,0
"55","Gen. Salmoniformes",0,0,0,0,0,0,0,0
