"","sp_prey","Big skate","Bighand thornyhead","Dover sole","Dusky rockfish","Longnose skate","Longspine thornyhead","Sebastolobus spp.","Shortsp Thorny"
"1","AK Plaice",0,NA,0,0,0,NA,NA,0
"2","AK Skate",0,NA,0,0,0,NA,NA,0
"3","Aleutian Skate",0,NA,0,0,0,NA,NA,0
"4","Algae",0,NA,0.00143356539957109,0,0,NA,NA,0
"5","Anemones",0,NA,0.00149831923782718,0,0,NA,NA,0
"6","Arrow or Kam",0,NA,0,0,0,NA,NA,0
"7","Arrowtooth",0.061659096271808,NA,0,0,0.0294643328286106,NA,NA,0
"8","Atka",0.0182891959945777,NA,0,0,0,NA,NA,0
"9","Bairdi",0.269359971958516,NA,0.000232146434881345,0,0.06822109691834,NA,NA,0.0249638188680835
"10","Bathylagidae",0,NA,0,0,0,NA,NA,0
"11","Benth Amph",1.53266567714733e-05,NA,0.0512353305422274,0.0189026700380033,0,NA,NA,0.055377029728529
"12","Benth. Hydroid",0,NA,0,0,0,NA,NA,0
"13","Benth. Urochordata",0,NA,0.0278172424309418,0,0,NA,NA,0.0024081328796164
"14","Bering Skate",0,NA,0,0,0,NA,NA,0
"15","Big Skate",0,NA,0,0,0,NA,NA,0
"16","Bighand Thorny",0,NA,0,0,0,NA,NA,0
"17","Birds",0,NA,0,0,0,NA,NA,0
"18","Black Skate",0,NA,0,0,0,NA,NA,0
"19","Bocaccio",0,NA,0,0,0,NA,NA,0
"20","Brittle Star",0,NA,0.265910308282004,0,0.000265444439897393,NA,NA,0.00170094861511763
"21","Canary Rock",0,NA,0,0,0,NA,NA,0
"22","Capelin",0,NA,0,0,0.00363079625381071,NA,NA,0
"23","Chaeteg etc.",0,NA,0,0.074309150626438,0,NA,NA,0.000962555493149508
"24","Clam",0.00192863410317284,NA,0.0255831430473207,0,0,NA,NA,2.54744107815985e-05
"25","Commander Skate",0,NA,0,0,0,NA,NA,0
"26","Complete Misc",0,NA,0,0,0,NA,NA,0
"27","Copepod",0,NA,1.99429239837701e-06,0.00200414041260333,0,NA,NA,0.00102408820951777
"28","Deepsea Skate",0,NA,0,0,0,NA,NA,0
"29","Dogfish",0,NA,0,0,0,NA,NA,0
"30","Dover Sole",0,NA,0,0,0,NA,NA,0
"31","Dungeness",0,NA,0,0,0,NA,NA,0
"32","Dusky Rock",0,NA,0,0,0,NA,NA,0
"33","Eelpout",0.00119906090941157,NA,0,0,0.0416136544180278,NA,NA,0.0338875474588368
"34","Empty",0,NA,0,0,0,NA,NA,0
"35","Eulachon",0,NA,0,0,0,NA,NA,0
"36","Euphausiid",2.92856458325599e-05,NA,0.029826860000251,0.101505881953512,0.00579807717897735,NA,NA,0.0305222137283368
"37","FH Sole",0,NA,0,0,0.0829736084706188,NA,NA,0
"38","Fish Eggs",0,NA,0,0,0,NA,NA,0
"39","Gen Rock Sole",0,NA,0,0,0,NA,NA,0
"40","Gen Thorny",0,NA,0,0,0,NA,NA,0
"41","Gen. Cephalopod",0,NA,0.000676137176020727,0.00194396212976861,0,NA,NA,0.00683961633799109
"42","Gen. Clupeids",0,NA,0,0,0,NA,NA,0
"43","Gen. Crab",0.000391886331827431,NA,0.000882613652009588,0.00887669082211849,0.00166469903001594,NA,NA,1.74871019813571e-05
"44","Gen. Crustacea",0,NA,0.0045872575423549,0,0,NA,NA,0.000369684676361336
"45","Gen. Echinoderm",0,NA,0,0,0,NA,NA,0
"46","Gen. Fish",0.0196569436185328,NA,0.000333020130781631,0.5237487173632,0.160655694317386,NA,NA,0.0382956380761586
"47","Gen. Flatfish",0.114610988432897,NA,0,0,0.0252804945385936,NA,NA,0.0183533148904154
"48","Gen. Gadid",0,NA,0,0,0,NA,NA,0.00653843933478398
"49","Gen. Hexagrammidae",0,NA,0,0,0,NA,NA,0
"50","Gen. Hydrozoa",0,NA,0,0,0,NA,NA,0
"51","Gen. Mollusc",0,NA,0.00104811095733367,0,0,NA,NA,0
"52","Gen. Particulate",0,NA,0,0,0,NA,NA,0
"53","Gen. Rockfish",0,NA,0,0,0,NA,NA,0.00756847274630476
"54","Gen. Rocks et al",0,NA,0,0,0,NA,NA,0
"55","Gen. Salmoniformes",0,NA,0,0,0,NA,NA,0
"56","Gen. Sebastes",0,NA,0,0,0,NA,NA,0
"57","Gen. Shark Skate",0,NA,0,0,0,NA,NA,0
"58","Gen. Smelt",0,NA,0,0,0,NA,NA,0
"59","Giant Grenadier",0,NA,0,0,0,NA,NA,0
"60","Glopp",0.00253103770061834,NA,0.00669615093236956,0.0111024126268081,0,NA,NA,0.00116362861423364
"61","Gr. Turbot",0,NA,0,0,0,NA,NA,0
"62","Greenlings",0,NA,0,0,0,NA,NA,0
"63","Hake",0,NA,0,0,0,NA,NA,0
"64","Hermit Crab",0.131119820304384,NA,0.01027096749205,0.0955561910179892,0.000525157111777853,NA,NA,0.0394501195161242
"65","Herring",0,NA,0,0,0.0116973103499051,NA,NA,0
"66","Kamchat fl",0,NA,0,0,0,NA,NA,0
"67","King Crab",0,NA,0,0,0,NA,NA,0.0018989048537286
"68","Leopard Skate",0,NA,0,0,0,NA,NA,0
"69","Lg Sculpin",0,NA,0,0,0,NA,NA,0
"70","Lingcod",0,NA,0,0,0,NA,NA,0
"71","Longnose Skate",0,NA,0,0,0,NA,NA,0
"72","Longsp Thorny",0,NA,0,0,0,NA,NA,0
"73","Macrouridae",0,NA,0,0,0,NA,NA,0.000359583301992249
"74","Managed Forage",0,NA,0,0,0.00407426207682534,NA,NA,0
"75","Misc. Crab",0.0127148046591655,NA,0.000197387845549356,9.37922477926123e-05,0,NA,NA,0.050650054061171
"76","Misc. Crustacean",0,NA,0.0381394966784748,0.0078903918418831,0,NA,NA,0.00720930274954056
"77","Misc. Flatfish",0,NA,0,0,0,NA,NA,0
"78","Misc. Worm. Etc.",0,NA,0.0322302152036388,0,0,NA,NA,0
"79","Mud Skate",0,NA,0,0,0,NA,NA,0
"80","Myctophidae",0,NA,0,0,0,NA,NA,0.00576935404120459
"81","Mysid",0,NA,0.000247648266623912,0.00220947839699637,0.000534797296393237,NA,NA,0.0236504515806612
"82","N Rock Sole",0,NA,0,0,0,NA,NA,0
"83","Northern Rock",0.00651831775380478,NA,0,0,0,NA,NA,0
"84","NP Shrimp",0.116081195269941,NA,0.00365650859078545,0.0198886522452671,0.0278209528287987,NA,NA,0.232933953113033
"85","Octopus",0,NA,0,0,0,NA,NA,0.0127288477659649
"86","Offal",0,NA,0,0,0.147852977904525,NA,NA,0.106796678937507
"87","Okhotsk Skate",0,NA,0,0,0,NA,NA,0
"88","Opilo",0,NA,0,0,0,NA,NA,0
"89","Oth pel. smelt",0,NA,0,0,0,NA,NA,0
"90","Oth pel. Smelt",0,NA,0,0,0,NA,NA,0
"91","P. Cod",0.0154280404023738,NA,0,0,0,NA,NA,0
"92","P. Halibut",0,NA,0,0,0,NA,NA,0
"93","Pacific Grenadier",0,NA,0,0,0,NA,NA,0
"94","Pandalidae",0.002182121694557,NA,0,0.019243028601551,0.159708727764714,NA,NA,0.165771969502012
"95","Pel Amph",0,NA,0.00790478497279246,0,0,NA,NA,0.00583589186027197
"96","Pel. Gel. Filter Feeder",0,NA,0.000108019435864673,0.10085020740308,0,NA,NA,0.00154428106608183
"97","Polychaete",0,NA,0.470508396089586,0.00197259796047078,0,NA,NA,0.0559339327892338
"98","POP",0,NA,0,0,0,NA,NA,0
"99","Prickle squish deep",0,NA,0,0,0,NA,NA,0
"100","Prickle squish round",0.0123176633395456,NA,0,0,0,NA,NA,0.0209494782231138
"101","Protozoan",0,NA,5.4791492667164e-05,0,0,NA,NA,0
"102","Pteropod",0,NA,0,0,0,NA,NA,0.000505064890388917
"103","Ratfish",0,NA,0,0,0,NA,NA,0
"104","Rex sole",0,NA,0,0,0,NA,NA,0
"105","Rougheye Rock",0,NA,0,0,0,NA,NA,0
"106","S Rock Sole",0,NA,0,0,0,NA,NA,0
"107","Sablefish",0,NA,0,0,0,NA,NA,0
"108","Salmon",0,NA,0,0,0,NA,NA,0
"109","Sandlance",0.0840371269991874,NA,0,0,0.0323582182037349,NA,NA,0
"110","Sculpin",0.0252333025110836,NA,0.00159311482453547,0,0.0763684161752425,NA,NA,0.000810765864725412
"111","Scypho Jellies",0,NA,0,0.00986298980235388,0,NA,NA,0
"112","Sea Pens",0,NA,0,0,0,NA,NA,0
"113","Sea Star",0,NA,0.000759792670718271,0,0,NA,NA,0
"114","Sebastes",0,NA,0,0,0,NA,NA,0
"115","Sharpchin Rock",0,NA,0,0,0,NA,NA,0
"116","Shortraker Rock",0,NA,0,0,0,NA,NA,0
"117","Shortsp Thorny",0,NA,0,0,0,NA,NA,0.0173859147270111
"118","Sleeper Shark",0,NA,0,0,0,NA,NA,0
"119","Snail",0,NA,0.00195648612475958,2.1195591231675e-05,0,NA,NA,0.00301319268470621
"120","Sponge",0,NA,0.00018567660319328,0,0,NA,NA,0
"121","Squid",0,NA,0.00238461285012826,1.78489189319368e-05,0.000861971439843342,NA,NA,0.00305946402342467
"122","Unid Bathyraja",0,NA,0,0,0,NA,NA,0
"123","Unid Chion",0.0730603058943822,NA,0,0,0,NA,NA,0.00166668430721492
"124","Unid Rajidae",0,NA,0,0,0.00509671825943587,NA,NA,0
"125","Urchins dollars cucumbers",0,NA,0.0120399008003392,0,0,NA,NA,0.00968952305093444
"126","W. Pollock",0.0316358735476088,NA,0,0,0.113532592194525,NA,NA,0.00236849591975435
"127","Whitebrow Skate",0,NA,0,0,0,NA,NA,0
"128","WhtBlotch Skate",0,NA,0,0,0,NA,NA,0
"129","Widow Rock",0,NA,0,0,0,NA,NA,0
"130","Yellowtail Rock",0,NA,0,0,0,NA,NA,0
"131","YF Sole",0,NA,0,0,0,NA,NA,0
"132",NA,0,0,0,0,0,0,NA,0
