"","sp_prey","AK Plaice","butter sole","English sole","N. Rock sole","Northern Rock","sand sole","slender sole","southern rock sole","starry flounder","YF. Sole"
"1","AK Plaice",0,0,0,0,0,0,0,0,0,0
"2","AK Skate",0,0,0,0,0,0,0,0,0,0
"3","Aleutian Skate",0,0,0,0,0,0,0,0,0,0
"4","Algae",0,0,0,0,0,0,0,0,0,0
"5","Anemones",0,0,0,0.0369935130922498,0,0,0,0.000417875213534479,0,0
"6","Arrow or Kam",0,0,0,0,0,0,0,0,0,0
"7","Arrowtooth",0,0,0,0,0.000353875016288822,0,0,0.0289200381686768,0,0
"8","Atka",0,0,0,0,0,0,0,0,0,0
"9","Bairdi",0,0,0,6.51306303648885e-05,5.37548821874231e-05,0,0,0.0036570520530977,0,0
"10","Bathylagidae",0,0,0,0,0,0,0,0,0,0
"11","Benth Amph",0.000555728927844093,0.0310327868487531,0.0115248894826705,0.0490909040008417,0.0312300843528889,0,0,0.0846663876953273,6.68888318874778e-05,0.0143593849700856
"12","Benth. Hydroid",0,0,0,0,0,0,0,0,0,0
"13","Benth. Urochordata",0,0,0,0.00090552570484765,0.000105278232731834,0,0,0.000328070677052714,0,0
"14","Bering Skate",0,0,0,0,0,0,0,0,0,0
"15","Big Skate",0,0,0,0,0,0,0,0,0,0
"16","Bighand Thorny",0,0,0,0,0,0,0,0,0,0
"17","Birds",0,0,0,0,0,0,0,0,0,0
"18","Black Skate",0,0,0,0,0,0,0,0,0,0
"19","Bocaccio",0,0,0,0,0,0,0,0,0,0
"20","Brittle Star",0.00165927365114181,0.0585200396544665,0.208583874660295,0.0572466901195474,0,0,0,0.0501654260739282,0.000567266977155349,0.0733445268999876
"21","Canary Rock",0,0,0,0,0,0,0,0,0,0
"22","Capelin",0,0,0,0,0,0,0,0,0.203133233604967,0
"23","Chaeteg etc.",0,0,0,0,0.00143596117674898,0,0,0,0,0
"24","Clam",0.416382965795377,0.133609031889728,0.506125671625442,0.0586305974381536,0,0,0,0.168211621279536,0.790030863886288,0.121864066820916
"25","Commander Skate",0,0,0,0,0,0,0,0,0,0
"26","Complete Misc",0,0,0,0,0,0,0,0,0,0
"27","Copepod",0,0,0,6.69091240228686e-05,0.0925075665727725,0,0,0,0,0.00015856878519279
"28","Deepsea Skate",0,0,0,0,0,0,0,0,0,0
"29","Dogfish",0,0,0,0,0,0,0,0,0,0
"30","Dover Sole",0,0,0,0,0,0,0,0,0,0
"31","Dungeness",0,0,0,0,0,0,0,0,0,0
"32","Dusky Rock",0,0,0,0,0,0,0,0,0,0
"33","Eelpout",0,0,0,0,0.0148655809348528,0,0,0,0,0
"34","Empty",0,0,0,0,0,0,0,0,0,0
"35","Eulachon",0,0,0,0,0,0,0,0,0,0
"36","Euphausiid",0,0,0,0.0250449947682348,0.592553172026356,0,0,0.000468493291388885,0,0
"37","FH Sole",0,0,0,0,0,0,0,0,0,0
"38","Fish Eggs",0,0,0,0,0,0,0,0,0,0
"39","Gen Rock Sole",0,0,0,0,0,0.355890126709505,0,0.002618022066358,0,0
"40","Gen Thorny",0,0,0,0,0,0,0,0,0,0
"41","Gen. Cephalopod",0,0,0,0.000847423052150797,0.00342252858628098,0,0,0.00218196106083898,0,0
"42","Gen. Clupeids",0,0,0,0,0,0,0,0,0,0
