"","sp_prey","Rougheye Rock","S. Rock sole","Sharpchin Rock","Shortraker Rock"
"1","AK Plaice",0,0,0,0
"2","AK Skate",0,0,0,0
"3","Aleutian Skate",0,0,0,0
"4","Algae",0,0,0,0
"5","Anemones",0,0.000417875213534479,0,0
"6","Arrow or Kam",0,0,0,0
"7","Arrowtooth",0.000298134491112987,0.0289200381686768,0,0
"8","Atka",0,0,0,0
"9","Bairdi",0.00919346758504602,0.00365705205309769,0,0
"10","Bathylagidae",0,0,0,0.0152944257696188
"11","Benth Amph",0.0335441285864354,0.0846663876953273,0.0449097477914437,0.017196046693762
"12","Benth. Hydroid",0,0,0,0
"13","Benth. Urochordata",0,0.000328070677052714,0,0
"14","Bering Skate",0,0,0,0
"15","Big Skate",0,0,0,0
"16","Bighand Thorny",0,0,0,0
"17","Birds",0,0,0,0.0176748680500225
"18","Black Skate",0,0,0,0
"19","Bocaccio",0,0,0,0
"20","Brittle Star",0,0.0501654260739282,0,0
"21","Canary Rock",0,0,0,0
"22","Capelin",0.0094910937909579,0,0,0
"23","Chaeteg etc.",0.00154828229478465,0,0.0455093514271188,0
"24","Clam",0.000102130464092221,0.168211621279536,0,0.0394987384392761
"25","Commander Skate",0,0,0,0
"26","Complete Misc",0,0,0,0
"27","Copepod",0.00274028247424276,0,0.422820150321258,0
"28","Deepsea Skate",0,0,0,0
"29","Dogfish",0,0,0,0
"30","Dover Sole",0,0,0,0
"31","Dungeness",0,0,0,0
"32","Dusky Rock",0,0,0,0
"33","Eelpout",0,0,0,0
"34","Empty",0,0,0,0
"35","Eulachon",0.000693759668134569,0,0,0
"36","Euphausiid",0.0241194777408433,0.000468493291388884,0.369967055616417,0.183790524505063
"37","FH Sole",0,0,0,0
"38","Fish Eggs",0,0,0,0
"39","Gen Rock Sole",0,0.00261802206635801,0,0
"40","Gen Thorny",0,0,0,0
"41","Gen. Cephalopod",0.010713036900188,0.00218196106083899,0,0.0262149302003485
"42","Gen. Clupeids",0,0,0,0
"43","Gen. Crab",0.0013308162364331,0.00308628075504752,0,0
"44","Gen. Crustacea",5.39040690409861e-05,0,0.000473250517527344,0
"45","Gen. Echinoderm",0,0,0,0
"46","Gen. Fish",0.0225957803844023,0.0269243207102967,0,0.307814376453329
"47","Gen. Flatfish",7.0894255680782e-06,0.0192443828243965,0,0
"48","Gen. Gadid",0,0,0,0
"49","Gen. Hexagrammidae",0,0,0,0
"50","Gen. Hydrozoa",0,0,0,0
"51","Gen. Mollusc",0,0.00136999286897936,0,0
"52","Gen. Particulate",0,0,0,0
"53","Gen. Rockfish",0,0,0,0
"54","Gen. Rocks et al",0,0,0,0
"55","Gen. Salmoniformes",0,0,0,0
"56","Gen. Sebastes",0,0,0,0
"57","Gen. Shark Skate",0,0,0,0
"58","Gen. Smelt",0.0256201993089434,0,0,0
"59","Giant Grenadier",0,0,0,0
"60","Glopp",0.00236301809272382,0.0153748180848364,0,0.00444070039398117
"61","Gr. Turbot",0,0,0,0
"62","Greenlings",0,0,0,0
"63","Hake",0,0,0,0
"64","Hermit Crab",0.000523594857986504,0.0357042784359557,0.000658312278991712,0
"65","Herring",7.39143691415247e-05,0,0,0
"66","Kamchat fl",0,0,0,0
"67","King Crab",0,0,0,0
"68","Leopard Skate",0,0,0,0
"69","Lg Sculpin",0,0,0,0
"70","Lingcod",0,0,0,0
"71","Longnose Skate",0,0,0,0
"72","Longsp Thorny",0,0,0,0
"73","Macrouridae",0,0,0,0
"74","Managed Forage",0,0,0,0
"75","Misc. Crab",0.000152916729295936,0.0367291757707985,0,0
"76","Misc. Crustacean",0.0315579555271149,0.0349803834605954,0.000829909447164508,0
"77","Misc. Flatfish",0,0,0,0
"78","Misc. Worm. Etc.",6.65117950058804e-07,0.012884621059424,0,0
"79","Mud Skate",0,0,0,0
"80","Myctophidae",0.00165561260252953,0,0,0.045339701188802
"81","Mysid",0.0940444034616903,0.000336319723357287,0.0123917687371242,0.0618764712082914
"82","N Rock Sole",0,0,0,0
"83","Northern Rock",0,0,0,0
"84","NP Shrimp",0.0732656908946419,0.0739019955878136,0.0483463613031827,0.0920120622837984
"85","Octopus",0.0351784763767435,0.00111328199322676,0,0
"86","Offal",0,0,0,0
"87","Okhotsk Skate",0,0,0,0
"88","Opilo",0,0,0,0
"89","Oth pel. smelt",0,0,0,0
"90","Oth pel. Smelt",0,0,0,0
"91","P. Cod",0,0,0,0
"92","P. Halibut",0,0.000629421906871221,0,0
"93","Pacific Grenadier",0,0,0,0
"94","Pandalidae",0.364938979364148,0,0.029021299745987,0.119277096685522
"95","Pel Amph",0.0221839091212007,0.000920870764202964,0.0149587694055609,4.33643534884633e-05
"96","Pel. Gel. Filter Feeder",0,0,0,0
"97","Polychaete",0.00233565373169215,0.126290894524951,0,0
"98","POP",0,0,0,0
"99","Prickle squish deep",0,0,0,0
"100","Prickle squish round",0.00251952199682575,0.00361979916764577,0,9.10067892294255e-05
"101","Protozoan",0,1.38969345497953e-07,0,0
"102","Pteropod",1.36850797047559e-05,0,0.0101140234082243,0
"103","Ratfish",0,0,0,0
"104","Rex sole",0,0,0,0
"105","Rougheye Rock",0,0,0,0
"106","S Rock Sole",0,0.0898981143155319,0,0
"107","Sablefish",0,0,0,0
"108","Salmon",0,0,0,0
"109","Sandlance",6.84326175790678e-05,0.123102165877393,0,0
"110","Sculpin",0.000753809438813091,0.000332784205869177,0,0
"111","Scypho Jellies",0,0,0,0
"112","Sea Pens",0,0,0,0
"113","Sea Star",0,0,0,0
"114","Sebastes",0,0,0,0
"115","Sharpchin Rock",0,0,0,0
"116","Shortraker Rock",0,0,0,0
"117","Shortsp Thorny",0,0,0,0
"118","Sleeper Shark",0,0,0,0
"119","Snail",0.00126482444288013,0.00135468316814974,0,0
"120","Sponge",0,2.52540094617041e-06,0,0
"121","Squid",0.224585690011272,0,0,0.0694356869854673
"122","Unid Bathyraja",0,0,0,0
"123","Unid Chion",0.000467662745840995,0.00134216536185224,0,0
"124","Unid Rajidae",0,0,0,0
"125","Urchins dollars cucumbers",0,0.0427593333493864,0,0
"126","W. Pollock",0,0.00646230413338818,0,0
"127","Whitebrow Skate",0,0,0,0
"128","WhtBlotch Skate",0,0,0,0
"129","Widow Rock",0,0,0,0
"130","Yellowtail Rock",0,0,0,0
"131","YF Sole",0,0,0,0
"132",NA,0,0,0,0
