"","sp_prey","Arrowtooth_adult","Arrowtooth_juv","FH. Sole_adult","FH. Sole_juv","P.cod_adult","P.cod_juv","P.halibut_adult","P.halibut_juv","P.ocean perch_adult","P.ocean perch_juv","P.ocean perch_NA","Rex Sole_adult","Rex Sole_juv","Sablefish_adult","W.pollock_adult","W.pollock_juv"
"1","AK Plaice",0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
"2","AK Skate",0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
"3","Aleutian Skate",0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
"4","Algae",0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
"5","Anemones",0,0,0,0,0.0011198849831256,0,0.00284593755108845,0,0,0,NA,0,0,0,0,0
"6","Arrow or Kam",0,0,0,0,0,0,0.000706321287640946,0,0,0,NA,0,0,0,0,0
"7","Arrowtooth",0.0285352331530957,0.00242567169907116,0,0,0.00902392695036375,0,0.00679975434489292,0,4.32380659918173e-05,0,NA,0,0,0,0.00057286893776116,0
"8","Atka",0,0,0,0,0,0,0.0161936980350813,0,0,0,NA,0,0,0,0,0
"9","Bairdi",7.21764465492337e-05,0,0.0637558884439467,0,0.0568272177851243,0.0034327654197083,0.0429897713942655,0,0,0,NA,0.000204021759290361,0,0.000138306603493273,0.0016914610553279,0
"10","Bathylagidae",0.000775454488190549,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
"11","Benth Amph",0.000180156278794831,0,0.000641819572759186,0,0.00793552696300156,0.146338457613415,6.53646546939015e-05,0.190668537310468,0.00930049699792817,0,NA,0.141710883956081,0.0613966273075796,0.0247730968437634,0.0149535566101045,0.059756475429768
"12","Benth. Hydroid",0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
"13","Benth. Urochordata",0,0,0,0,0.000285402224325548,0,0,0,0,0,NA,0,0,0.00162193667863057,0,0
"14","Bering Skate",0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
"15","Big Skate",0,0,0,0,0,0,0.0214131630935818,0,0,0,NA,0,0,0,0,0
"16","Bighand Thorny",0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
"17","Birds",0,0,0,0,0,0,0,0,0,0,NA,0,0,0,4.18623426366975e-06,0
"18","Black Skate",0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
"19","Bocaccio",0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
"20","Brittle Star",0,0,0.476907500457784,0,0.000309386974971697,0,9.02170469390867e-05,0,0,0,NA,0.00179651383275421,0,0.00379997328569059,8.14510784857283e-08,0
"21","Canary Rock",0,0,0,0,0,0,0.00272209062643523,0,0,0,NA,0,0,0,0,0
"22","Capelin",0.0713369558070365,0.300400397574531,0,0,0.020345870993888,0,0.0155901738935434,0,0.0206105764002155,0,NA,0,0,0.00682373873993076,0.0334336249907083,0.0838396688335979
"23","Chaeteg etc.",4.1388477885144e-05,0,0,0,3.73194416885658e-05,0,0,0,0.00420028153232081,0,NA,0,0,0,0.00078658877512269,0.0183412917830294
