"Model","Predator","Year","Stratgroup","Lbin","Pred_n","Prey_guild","SCI_mean","X0.","X2.5.","X25.","X50.","X75.","X97.5.","X100."
"AI","Pacific_cod",1991,"Central_Aleutians","[30,60)",85,"Invertebrates",0.00533368833183208,0.00377361165523055,0.00443997842889492,0.00500052197809245,0.0053117769890851,0.00563988637105993,0.00627205314697008,0.00714039222959893
"AI","Pacific_cod",1991,"Central_Aleutians","[30,60)",85,"MISC_NA",0.000142371181438366,0,0,1.3086845615812e-05,0.000133517758811851,0.000260685383139757,0.00041508505444661,0.000934339109231475
"AI","Pacific_cod",1991,"Central_Aleutians","[30,60)",85,"Other_fish",0.00168624434963414,0.000605354903814896,0.00103011790340407,0.00142822549366095,0.00167221607238129,0.00192633434931391,0.00245443234114101,0.00329569397884213
"AI","Pacific_cod",1991,"Central_Aleutians","[30,60)",85,"Atka_mackerel",0.00132399434310609,0,0,0.000216166719826724,0.00128213796721052,0.00229936799834985,0.0037976726853871,0.00817335712191118
"AI","Pacific_cod",1991,"Central_Aleutians","[60,85)",52,"Invertebrates",0.00485407367704637,0.000911797129680051,0.00248162744124084,0.00394231856645788,0.00477128252868081,0.00570034647628832,0.00769463325885543,0.0111013387343905
"AI","Pacific_cod",1991,"Central_Aleutians","[60,85)",52,"MISC_NA",7.23898337918362e-05,0,0,3.0085957380738e-07,7.23898337918362e-05,0.000144177948436058,0.000216868641801701,0.00043283470488198
"AI","Pacific_cod",1991,"Central_Aleutians","[60,85)",52,"Other_fish",0.00435866485573961,0.000626147732701229,0.00144684142118991,0.00300826102890041,0.00417660140393404,0.00551007430704409,0.00849763253069469,0.0140895388549212
"AI","Pacific_cod",1991,"Central_Aleutians","[60,85)",52,"Atka_mackerel",0.00944151786647568,0.00191612272994588,0.00480026743090136,0.00760562855883175,0.00931830371138741,0.0111091986190335,0.0151051011952619,0.0205888181622009
"AI","Pacific_cod",1991,"Eastern_Aleutians","[30,60)",168,"Invertebrates",0.00854465021559553,0.00646749479742375,0.00745097061583143,0.00814198106767771,0.00852672658020672,0.00892134133117695,0.00972338739593657,0.0107479666614719
"AI","Pacific_cod",1991,"Eastern_Aleutians","[30,60)",168,"MISC_NA",1.98288544785934e-05,0,1.21158977724839e-06,6.00181135794122e-06,1.83033123892949e-05,3.03873327730855e-05,5.38005196353218e-05,0.000108997881076698
"AI","Pacific_cod",1991,"Eastern_Aleutians","[30,60)",168,"Other_fish",0.00169436358211898,0.000874644955018364,0.00117312281944214,0.00149355596457921,0.00168013802338263,0.0018806679114295,0.00228756237598043,0.00301625664136997
"AI","Pacific_cod",1991,"Eastern_Aleutians","[30,60)",168,"Atka_mackerel",0,0,0,0,0,0,0,0
"AI","Pacific_cod",1991,"Eastern_Aleutians","[60,85)",134,"Invertebrates",0.00464199098371938,0.00251440229467959,0.0034435121855427,0.0041774308798225,0.00461418196012865,0.0050734825601036,0.0060721238782083,0.00831407468870854
"AI","Pacific_cod",1991,"Eastern_Aleutians","[60,85)",134,"MISC_NA",0.000220343516338512,9.07454652921011e-06,7.47766226080425e-05,0.000156351376691027,0.000212575124825554,0.000275027382018913,0.000407337816176092,0.00064821271030919
"AI","Pacific_cod",1991,"Eastern_Aleutians","[60,85)",134,"Other_fish",0.0075587705598165,0.00400250013834654,0.00540224197173351,0.00672658887551875,0.00749451821257587,0.00834055235988335,0.00999810304047523,0.0129716002462956
"AI","Pacific_cod",1991,"Eastern_Aleutians","[60,85)",134,"Atka_mackerel",0.00091560394930065,0,0,0.000385717129561452,0.000879009335064292,0.00126472646462574,0.0023610947183405,0.00459042584000636
"AI","Pacific_cod",1991,"Eastern_Aleutians","[85,999)",12,"Invertebrates",0.00451087956597438,0.000102781696026348,0.000538825058683581,0.00281026071419645,0.00439869838926461,0.00602657594744196,0.00993295576676612,0.017103426588175
"AI","Pacific_cod",1991,"Eastern_Aleutians","[85,999)",12,"MISC_NA",1.20071961051003e-05,0,0,0,1.20071961051003e-05,2.40143922102005e-05,3.60215883153008e-05,7.20431766306015e-05
"AI","Pacific_cod",1991,"Eastern_Aleutians","[85,999)",12,"Other_fish",0.0136396761144228,0.00444259650421993,0.00861487157702627,0.0117082483588288,0.0134874108219919,0.0154147660602002,0.0192508775767338,0.0243126547426791
"AI","Pacific_cod",1991,"Eastern_Aleutians","[85,999)",12,"Atka_mackerel",0.00152258405366612,0,0,0,0.00152258405366612,0.00304516810733224,0.00456775216099836,0.00913550432199673
"AI","Pacific_cod",1991,"Southern_Bering","[0,20)",14,"Invertebrates",0.00828871338519099,0.00297434924843609,0.00535739037395617,0.00721166628421742,0.00826756223831214,0.00933594910633041,0.0114021575114558,0.0144568610282403
"AI","Pacific_cod",1991,"Southern_Bering","[0,20)",14,"MISC_NA",0.000395755376090993,0,0,0.00011583084178273,0.000395755376090993,0.000675679910399256,0.00112935070738161,0.00208495515208913
"AI","Pacific_cod",1991,"Southern_Bering","[0,20)",14,"Other_fish",0.0013119351671943,5.79894085653433e-05,0.000381348658850281,0.000889829810943238,0.00124864973399697,0.00166162397630882,0.0025734527709711,0.00385947818899149
"AI","Pacific_cod",1991,"Southern_Bering","[0,20)",14,"Atka_mackerel",0,0,0,0,0,0,0,0
"AI","Pacific_cod",1991,"Southern_Bering","[20,30)",20,"Invertebrates",0.004407353348178,0.000847038171816888,0.0024334199842046,0.00365151424476092,0.00435881942177624,0.00512329297477871,0.0065616176277263,0.00927815785795231
"AI","Pacific_cod",1991,"Southern_Bering","[20,30)",20,"MISC_NA",0,0,0,0,0,0,0,0
"AI","Pacific_cod",1991,"Southern_Bering","[20,30)",20,"Other_fish",0.00168640145479878,0,4.55824827436778e-05,0.000926015387952375,0.00160852625824338,0.00225196033452841,0.00390364887556605,0.00605008357142871
"AI","Pacific_cod",1991,"Southern_Bering","[20,30)",20,"Atka_mackerel",0,0,0,0,0,0,0,0
"AI","Pacific_cod",1991,"Southern_Bering","[30,60)",26,"Invertebrates",0.00408550300582539,0.0014532706685569,0.00218458703790643,0.00319847230292392,0.00394038997901467,0.00484282196048621,0.00674697434360712,0.00988971535608964
"AI","Pacific_cod",1991,"Southern_Bering","[30,60)",26,"MISC_NA",0.000876057961953787,0,1.66268027580974e-06,0.00012930281950071,0.000863222313359536,0.00154152751873154,0.00250838135440328,0.0048986328576243
"AI","Pacific_cod",1991,"Southern_Bering","[30,60)",26,"Other_fish",0.00615548619315994,0.000162945755450592,0.00127843486094777,0.00389474068454719,0.00585548063685916,0.00799393331398504,0.0127393004845715,0.0221060089741324
"AI","Pacific_cod",1991,"Southern_Bering","[30,60)",26,"Atka_mackerel",0,0,0,0,0,0,0,0
"AI","Pacific_cod",1991,"Southern_Bering","[60,85)",14,"Invertebrates",0.00278249528544268,0.000168579792554962,0.000738700552479484,0.00182449334045084,0.00262944752761527,0.00358752685548557,0.00566489991670139,0.00923629678950285
"AI","Pacific_cod",1991,"Southern_Bering","[60,85)",14,"MISC_NA",0,0,0,0,0,0,0,0
"AI","Pacific_cod",1991,"Southern_Bering","[60,85)",14,"Other_fish",0.00457267399952295,9.57161955017261e-05,0.00073766110206156,0.00284857561840018,0.00440929100370515,0.00607474753755657,0.00952046129822927,0.0168163797319075
"AI","Pacific_cod",1991,"Southern_Bering","[60,85)",14,"Atka_mackerel",0,0,0,0,0,0,0,0
"AI","Pacific_cod",1991,"Western_Aleutians","[30,60)",37,"Invertebrates",0.00575972559418792,0.00302937081144667,0.00406676099600686,0.00509591928665478,0.00569844934716405,0.00633996254888637,0.00773953378672967,0.0105758778750925
"AI","Pacific_cod",1991,"Western_Aleutians","[30,60)",37,"MISC_NA",3.72988521405345e-05,0,0,4.80754850973925e-06,3.58741980916595e-05,6.78319153593407e-05,0.000107089007911864,0.000308626513577897
"AI","Pacific_cod",1991,"Western_Aleutians","[30,60)",37,"Other_fish",0.00248811127560292,0.000949875578124965,0.00156421912120241,0.00212146494934977,0.00245999049830516,0.00281761387950634,0.00352842830224922,0.00462113391538848
"AI","Pacific_cod",1991,"Western_Aleutians","[30,60)",37,"Atka_mackerel",0.00156013405326484,0,0,0,0.00156013405326484,0.00312026810652967,0.00468040215979451,0.0140412064793835
"AI","Pacific_cod",1991,"Western_Aleutians","[60,85)",78,"Invertebrates",0.00634866829866351,0.00172626008570123,0.00282754712457797,0.00473325902494527,0.00619816023087276,0.00786368877371545,0.0114071912333857,0.0173038856619438
"AI","Pacific_cod",1991,"Western_Aleutians","[60,85)",78,"MISC_NA",5.78711305117666e-05,0,8.01166894920598e-06,2.96385951789226e-05,5.28260739757885e-05,7.95180166659348e-05,0.000137667362749729,0.000252019236709
"AI","Pacific_cod",1991,"Western_Aleutians","[60,85)",78,"Other_fish",0.00449422109347189,0.000957897809322551,0.00216936136870072,0.00350544233155476,0.00438160503316276,0.00538977574757801,0.00758146768789028,0.0108637856684741
"AI","Pacific_cod",1991,"Western_Aleutians","[60,85)",78,"Atka_mackerel",0.00814097681334723,0.000291737015611441,0.00257610068228394,0.00573613206208309,0.00778548897186233,0.0100721558090748,0.0150702556318634,0.0228395166460417
"AI","Pacific_cod",1994,"Central_Aleutians","[30,60)",83,"Invertebrates",0.00502497018308144,0.00318998458426798,0.00412324373597911,0.00469454582400016,0.00501427778723354,0.00533003414476434,0.00598699477067816,0.00679027220487588
"AI","Pacific_cod",1994,"Central_Aleutians","[30,60)",83,"MISC_NA",0.000279250370354533,0,0,7.3926139848611e-05,0.000279250370354533,0.000410648461011844,0.000763824971214988,0.00158512189323868
"AI","Pacific_cod",1994,"Central_Aleutians","[30,60)",83,"Other_fish",0.00319797937184402,0.001125888768311,0.00163802059045733,0.0024957709965798,0.00310285914754837,0.00381769799670956,0.00543777341290886,0.00925033955429871
"AI","Pacific_cod",1994,"Central_Aleutians","[30,60)",83,"Atka_mackerel",0.00353216590288817,0,0.000173079781706854,0.00188763667029023,0.00340146566592958,0.00501326650466263,0.00855695523981619,0.0137094994666108
