prey_guild,eco_guild
Amphipods,Mesozooplankton
Atka_mackerel,Pelagic Foragers
Copepods,Copepods
Detritus,Detritus
Eelpout,Motile epifauna
Euphausiids,Mesozooplankton
Flatfish,Benthic foragers
Gelatinous,Mesozooplankton
Grenadiers,Benthic foragers
Infauna,Infauna
King_crab,Motile epifauna
MISC_NA,NA
MISSING,MISSING
Motile_epifauna,Motile epifauna
Octopus,Motile epifauna
Offal,Detritus
Pacific_cod,Apex predators
Phyto_microzooplankton,Pelagic production
Polychaete,Mesozooplankton
Rockfish,Pelagic foragers
Sablefish,Apex predators
Salmon,Pelagic Foragers
Sessile_epifauna,Structural epifauna
Shelf_demersals,Benthic foragers
Shelf_forage_fish,Pelagic Foragers
Shrimp,Mesozooplankton
Slope_forage_fish,Pelagic Foragers
Snow_crab,Motile epifauna
Squid,Pelagic Foragers
Tanner_crab,Motile epifauna
Walleye_pollock,Pelagic Foragers
