NN,GROUP,TL,BB,SS91,QQ,GUILD,Bindex
1,transient_killers,4.825993538,0.000135059,#N/A,0,XXApex predators,n/a
2,sperm_whales,4.724488735,0.017674729,#N/A,0,XXApex predators,n/a
3,resident_killers,4.684011936,0.00135018,#N/A,0,XXApex predators,n/a
4,porpoises,4.630122185,0.003618792,#N/A,0,XXApex predators,n/a
5,belugas,4.594192505,0.01225278,#N/A,0,XXApex predators,n/a
6,gray_whales,3.511069298,0.032667201,#N/A,0,XXBenthic foragers,n/a
7,humpbacks,3.943032503,0.01209702,#N/A,0,XXPelagic foragers,n/a
8,fin_whales,3.731283903,0.454739988,#N/A,0,XXPelagic foragers,n/a
9,sei_whales,3.665329456,0.006334031,#N/A,0,XXPelagic foragers,n/a
10,right_whales,3.501749992,0.003554848,#N/A,0,XXPelagic foragers,n/a
11,minke_whales,4.120175362,0.024038279,#N/A,0,XXApex predators,n/a
12,bowhead_whales,3.524302959,0.007173534,#N/A,0,XXPelagic foragers,n/a
13,otters,3.738600731,0.000750327,#N/A,0,XXApex predators,n/a
14,walrus_bd_seals,3.573738575,0.114248402,#N/A,0,XXBenthic foragers,n/a
15,nf_seal_juv,4.58318758,0.000878013,#N/A,0,XXApex predators,n/a
16,nf_seal,4.58318758,0.03262547,#N/A,0,XXApex predators,n/a
17,steller_sl_juv,4.65362215,2.68E-05,#N/A,0,XXApex predators,n/a
18,steller_sl,4.658423424,0.001466855,#N/A,0,XXApex predators,n/a
19,resident_seals,4.528830051,0.01344924,#N/A,0,XXApex predators,n/a
20,wintering_seals,4.579491138,0.03029022,#N/A,0,XXApex predators,n/a
21,shearwater,4.536387444,0.0004,#N/A,0,XXApex predators,n/a
22,murres,4.433144093,0.008142997,#N/A,0,XXApex predators,n/a
23,kittiwakes,4.400294781,0.000662705,#N/A,0,XXApex predators,n/a
24,auklets,3.570476055,0.001754495,#N/A,0,XXPelagic foragers,n/a
25,puffins,4.397296429,0.000474985,#N/A,0,XXApex predators,n/a
26,fulmars,4.58780098,0.000520162,#N/A,0,XXApex predators,n/a
27,storm_petrels,4.280564785,1.75E-06,#N/A,0,XXApex predators,n/a
28,cormorants,4.485171318,0.000149799,#N/A,0,XXApex predators,n/a
29,gulls,4.469694614,0.00010491,#N/A,0,XXApex predators,n/a
30,albatross_jaeger,4.605689526,1.00E-04,#N/A,0,XXApex predators,n/a
31,sleeper_shark,4.685585022,0.053247299,0,1,Poor Apex predators,poor survey est
32,pollock_juv,3.546344995,4.492683887,#N/A,0,XXPelagic foragers,poor survey est
33,pollock,3.681783676,18.48620987,10.17315422,1.817156162,Pelagic foragers,good index
34,pcod_juv,3.620096684,0.185954094,#N/A,0,XXBenthic foragers,poor survey est
35,pcod,4.104910374,2.46496892,1.096357307,2.248326256,Apex predators,good index
36,herring_juv,3.521964073,0.171157703,#N/A,0,XXPelagic foragers,poor survey est
37,herring,3.52392602,0.61155802,0.067040119,9.122269319,Pelagic foragers,good index
38,arrowtooth_juv,3.976933002,0.00624092,#N/A,0,XXBenthic foragers,poor survey est
