nodc_preycat,ebs_ecopath_preycat,ebs_preyguild,Walleye_pollock_EBS,Pacific_cod_EBS
Empty,MISC_NA,NA,NA,NA
Complete Misc,MISC_NA,UNID,Benthos,Benthos
Algae,macroalgae,Pelagic production,Other plankton,Plankton
Protozoan,benthic_microbes,Benthic production,Other plankton,Plankton
Sponge,sponges,Structural epifauna,Benthos,Benthos
Gen. Hydrozoa,hydroids,Structural epifauna,Benthos,Benthos
Benth. Hydroid,hydroids,Structural epifauna,Benthos,Benthos
Pel. Gel. Filter Feeder,gelatinous_filter_feeders,Mesozooplankton,Other plankton,Plankton
Scypho Jellies,scyphozoid_jellies,Pelagic foragers,Other plankton,Plankton
Anemones,anemones,Structural epifauna,Benthos,Benthos
Sea Pens,sea_pens,Structural epifauna,Benthos,Benthos
Misc. Worm. Etc.,misc_worms,Infauna,Benthos,Benthos
Polychaete,polychaetes,Infauna,Benthos,Benthos
Gen. Mollusc,GEN_mollusk,Motile epifauna,Benthos,Benthos
Snail,snails,Motile epifauna,Benthos,Benthos
Pteropod,pteropods,Mesozooplankton,Other plankton,Plankton
Clam,bivalves,Infauna,Benthos,Benthos
Gen. Cephalopod,GEN_cephalopod,Pelagic foragers,Other fish,Other fish
Squid,squids,Pelagic foragers,Other fish,Other fish
Octopus,octopus,Motile epifauna,Other fish,Octopus
Misc. Crustacean,misc_crustaceans,Infauna,Benthos,Benthos
Gen. Crustacea,GEN_crustacea,Motile epifauna,Benthos,Benthos
Copepod,copepods,Copepods,Copepods,Plankton
Mysid,mysids,Mesozooplankton,Other plankton,Plankton
Benth Amph,benthic_amphipods,Infauna,Amphipods,Plankton
Pel Amph,pelagic_amphipods,Mesozooplankton,Amphipods,Plankton
Euphausiid,euphausiids,Mesozooplankton,Euphausiids,Plankton
Gen. Particulate,GEN_particulate,Structural epifauna,Benthos,Benthos
NP Shrimp,np_shrimp,Shrimp,Shrimp,Plankton
Pandalidae,pandalid,Shrimp,Shrimp,Plankton
Gen. Crab,GEN_crab,Motile epifauna,Benthos,Benthos
Misc. Crab,misc_crabs,Motile epifauna,Benthos,Benthos
Hermit Crab,hermits,Motile epifauna,Benthos,Benthos
King Crab,king_crabs,Motile epifauna,Benthos,Benthos
Unid Chion,hybrid_chion,Motile epifauna,Benthos,Snow crab
Opilio,opilio,Motile epifauna,Benthos,Snow crab
Bairdi,bairdi,Motile epifauna,Benthos,Tanner crab
