model,WGOA,,,,,,,,,
,,,,,,,,,,
Sum of tot_vonb_tons,Column Labels,,,,,,,,,
Row Labels,POP,Walleye_pollock,Arrowtooth_flounder,Pacific_cod,Pacific_halibut,Sablefish,Grand Total,,,
1990,58874.01113,882294.4067,965423.5338,292037.7344,77272.26307,171295.9885,2447197.938,,,
1993,289012.0336,813648.205,828151.6144,329939.6841,162262.6923,257309.6133,2680323.843,,,
1996,493082.2258,804932.1473,784729.741,395227.0251,137975.0229,131574.0222,2747520.184,,,
1999,407632.6143,662560.3843,538109.7341,235562.0262,160831.0422,109832.1409,2114527.942,,,
2001,544368.2839,313884.2484,756064.0985,226051.7436,111161.8478,214228.7494,2165758.972,,,
2003,315187.4092,546441.2349,1385723.466,260696.8816,179107.2456,220161.5732,2907317.811,,,
2005,542520.9074,437591.985,980491.9323,233142.3838,176677.3266,198878.3951,2569302.93,,,
2007,490668.7266,346114.8692,974696.3455,213253.8462,125600.8405,142376.3769,2292711.005,,,
2009,477100.2256,764273.9866,795032.0593,657943.8826,164394.1176,126735.7108,2985479.982,,,
2011,537686.7735,742147.6616,755471.1918,445487.6979,121311.2115,105968.0846,2708072.621,,,
2013,943398.3893,1014938.097,579245.3672,435931.7276,71768.62487,51432.82372,3096715.03,,,
2015,1010534.161,935312.2186,768797.6227,244504.8386,101456.0282,79911.56571,3140516.435,,,
2017,1059839.648,336790.8019,514410.0637,82388.01027,86197.43507,155771.9875,2235397.947,,,
2019,849607.5118,345837.8176,532774.4948,140101.5518,80359.60527,323564.7687,2272245.75,,,
2021,1303103.023,848524.0009,627515.1095,124191.5941,76190.7088,423096.3731,3402620.809,,,
2023,605682.3484,1208468.886,529790.8701,177747.0384,62160.388,161483.5294,2745333.06,,,
Grand Total,9928298.293,11003760.95,12316427.25,4494207.666,1894726.4,2873621.703,42511042.26,,,
,,,,,,,,,,
,,,,,,,,,,
model,WGOA,,,,,,,,,
,,,,,,,,,,
Sum of tot_vonb_tons,Column Labels,,,,,,,,,
,POP,Walleye_pollock,Arrowtooth_flounder,Pacific_cod,Pacific_halibut,Sablefish,,,,
1990,58874.01113,882294.4067,965423.5338,292037.7344,77272.26307,171295.9885,,,,
1993,289012.0336,813648.205,828151.6144,329939.6841,162262.6923,257309.6133,,,,
1996,493082.2258,804932.1473,784729.741,395227.0251,137975.0229,131574.0222,,,,
1999,407632.6143,662560.3843,538109.7341,235562.0262,160831.0422,109832.1409,,,,
2001,544368.2839,313884.2484,756064.0985,226051.7436,111161.8478,214228.7494,,,,
2003,315187.4092,546441.2349,1385723.466,260696.8816,179107.2456,220161.5732,,,,
2005,542520.9074,437591.985,980491.9323,233142.3838,176677.3266,198878.3951,,,,
2007,490668.7266,346114.8692,974696.3455,213253.8462,125600.8405,142376.3769,,,,
2009,477100.2256,764273.9866,795032.0593,657943.8826,164394.1176,126735.7108,,,,
2011,537686.7735,742147.6616,755471.1918,445487.6979,121311.2115,105968.0846,,,,
2013,943398.3893,1014938.097,579245.3672,435931.7276,71768.62487,51432.82372,,,,
2015,1010534.161,935312.2186,768797.6227,244504.8386,101456.0282,79911.56571,,,,
2017,1059839.648,336790.8019,514410.0637,82388.01027,86197.43507,155771.9875,,,,
2019,849607.5118,345837.8176,532774.4948,140101.5518,80359.60527,323564.7687,,,,
2021,1303103.023,848524.0009,627515.1095,124191.5941,76190.7088,423096.3731,,,,
2023,605682.3484,1208468.886,529790.8701,177747.0384,62160.388,161483.5294,,,,
,,,,,,,,,,
,Column Labels,,,,,,,,,
,Sablefish,Pacific halibut,Pacific cod,Arrowtooth flounder,Walleye pollock,Pacific Ocean perch,,,,
1990,158874.0111,882294.4067,965423.5338,292037.7344,77272.26307,171295.9885,,,,
1993,289012.0336,813648.205,828151.6144,329939.6841,162262.6923,257309.6133,,,,
1996,493082.2258,804932.1473,784729.741,395227.0251,137975.0229,131574.0222,,,,
1999,407632.6143,662560.3843,538109.7341,235562.0262,160831.0422,109832.1409,,,,
2001,544368.2839,313884.2484,756064.0985,226051.7436,111161.8478,214228.7494,,,,
2003,315187.4092,546441.2349,1385723.466,260696.8816,179107.2456,220161.5732,,,,
2005,542520.9074,437591.985,980491.9323,233142.3838,176677.3266,198878.3951,,,,
2007,490668.7266,346114.8692,974696.3455,213253.8462,125600.8405,142376.3769,,,,
