"YEAR","goa_INPFC_area","goa_name","qq_cpue","guild","stat_count","area_km2","ave_bio_tkm2","tot_bio_tons"
1984,"Chirikof","AK Plaice",2.62271184861802,"Benthic foragers",183,68054,0.0143317587356176,975.333508993722
1987,"Chirikof","AK Plaice",11.4060996711595,"Benthic foragers",195,68054,0.058492818826459,3980.67029241584
1990,"Chirikof","AK Plaice",4.44333127325552,"Benthic foragers",156,68054,0.028482892777279,1938.37478506494
1993,"Chirikof","AK Plaice",2.58237441420388,"Benthic foragers",172,68054,0.0150138047337435,1021.74946735018
1996,"Chirikof","AK Plaice",6.28876091038789,"Benthic foragers",183,68054,0.0343648137179666,2338.6630327625
1999,"Chirikof","AK Plaice",1.62921280553185,"Benthic foragers",154,68054,0.010579303932025,719.963949790029
2001,"Chirikof","AK Plaice",0.9746434461946,"Benthic foragers",140,68054,0.00696173890139,473.774179195195
2003,"Chirikof","AK Plaice",6.35846551720915,"Benthic foragers",169,68054,0.037624056314847,2560.4675284506
2005,"Chirikof","AK Plaice",14.9127483863381,"Benthic foragers",168,68054,0.0887663594424886,6040.90582549912
2007,"Chirikof","AK Plaice",26.9799100315819,"Benthic foragers",187,68054,0.144277593751775,9818.66736518329
2009,"Chirikof","AK Plaice",6.05642778897079,"Benthic foragers",182,68054,0.0332770757635758,2264.63811401439
2011,"Chirikof","AK Plaice",23.8294235304336,"Benthic foragers",150,68054,0.158862823536224,10811.2505929342
2013,"Chirikof","AK Plaice",7.69906130325921,"Benthic foragers",123,68054,0.0625939943354407,4259.77169050408
2015,"Chirikof","AK Plaice",1.47373046961586,"Benthic foragers",172,68054,0.00856820040474338,583.100310344406
2017,"Chirikof","AK Plaice",16.5653638525209,"Benthic foragers",115,68054,0.144046642195834,9802.95018799526
2019,"Chirikof","AK Plaice",2.63064901420465,"Benthic foragers",118,68054,0.0222936357135987,1517.17108485325
2021,"Chirikof","AK Plaice",3.80571174495459,"Benthic foragers",112,68054,0.0339795691513803,2312.44559902804
2023,"Chirikof","AK Plaice",2.07906159054073,"Benthic foragers",120,68054,0.0173255132545061,1179.07047902216
1984,"Kodiak","AK Plaice",0.780321547390392,"Benthic foragers",264,101489,0.00295576343708482,299.977475466301
1987,"Kodiak","AK Plaice",0.842901824538608,"Benthic foragers",234,101489,0.00360214454931029,365.578048164952
1990,"Kodiak","AK Plaice",1.0740132126413,"Benthic foragers",215,101489,0.00499541029135486,506.979195059314
1993,"Kodiak","AK Plaice",0.668787102986625,"Benthic foragers",240,101489,0.00278661292911094,282.81055956254
1996,"Kodiak","AK Plaice",4.63751959491911,"Benthic foragers",210,101489,0.022083426642472,2241.22488651784
1999,"Kodiak","AK Plaice",8.93116117328167,"Benthic foragers",231,101489,0.0386630353821718,3923.87279790123
2001,"Kodiak","AK Plaice",3.73765153588053,"Benthic foragers",210,101489,0.0177983406470501,1806.33579392847
2003,"Kodiak","AK Plaice",3.46654839921441,"Benthic foragers",246,101489,0.0140916601594082,1430.14849791817
2005,"Kodiak","AK Plaice",7.53597675063534,"Benthic foragers",285,101489,0.0264420236864398,2683.57454191309
2007,"Kodiak","AK Plaice",11.2061291475413,"Benthic foragers",261,101489,0.0429353607185491,4357.46682396483
2009,"Kodiak","AK Plaice",4.42826206315015,"Benthic foragers",272,101489,0.0162803752321697,1652.27900193767
2011,"Kodiak","AK Plaice",1.13032534993787,"Benthic foragers",224,101489,0.00504609531222262,512.123167142161
2013,"Kodiak","AK Plaice",2.32089636994356,"Benthic foragers",185,101489,0.0125453857834787,1273.21865777947
2015,"Kodiak","AK Plaice",1.81059737788432,"Benthic foragers",248,101489,0.0073007958785658,740.950472919764
2017,"Kodiak","AK Plaice",4.10000832081452,"Benthic foragers",176,101489,0.0232955018228098,2364.23718449514
2019,"Kodiak","AK Plaice",2.21099797483236,"Benthic foragers",175,101489,0.0126342741418992,1282.23984838721
2021,"Kodiak","AK Plaice",0.379522875262116,"Benthic foragers",175,101489,0.00216870214435495,220.09941192844
2023,"Kodiak","AK Plaice",0.921895095480896,"Benthic foragers",180,101489,0.00512163941933831,519.790063029226
1984,"Shumagin","AK Plaice",1.37519071450438,"Benthic foragers",222,65228,0.00619455276803773,404.058287953565
1987,"Shumagin","AK Plaice",6.72350321063782,"Benthic foragers",172,65228,0.0390901349455687,2549.77132222956
1990,"Shumagin","AK Plaice",6.25682587446238,"Benthic foragers",135,65228,0.0463468583293509,3023.1128751069
1993,"Shumagin","AK Plaice",6.43334399889701,"Benthic foragers",170,65228,0.0378431999935118,2468.43624917679
1996,"Shumagin","AK Plaice",11.6608828720925,"Benthic foragers",200,65228,0.0583044143604626,3803.08033990425
1999,"Shumagin","AK Plaice",20.1699849984486,"Benthic foragers",141,65228,0.143049538996089,9330.8353296369
2001,"Shumagin","AK Plaice",9.37377794512687,"Benthic foragers",139,65228,0.0674372514037904,4398.79703456644
2003,"Shumagin","AK Plaice",21.6043148665005,"Benthic foragers",226,65228,0.0955943135685861,6235.42588545174
2005,"Shumagin","AK Plaice",14.342610207271,"Benthic foragers",174,65228,0.082428794294661,5376.66539425215
2007,"Shumagin","AK Plaice",21.397036063616,"Benthic foragers",198,65228,0.108065838705131,7048.9185270583
2009,"Shumagin","AK Plaice",30.9645234250549,"Benthic foragers",191,65228,0.162117923691387,10574.6279265418
2011,"Shumagin","AK Plaice",22.6049791525365,"Benthic foragers",160,65228,0.141281119703353,9215.48487601031
2013,"Shumagin","AK Plaice",20.2664132326624,"Benthic foragers",133,65228,0.152379046862124,9939.38046872259
2015,"Shumagin","AK Plaice",19.9326073658763,"Benthic foragers",184,65228,0.108329387858023,7066.10931120313
2017,"Shumagin","AK Plaice",15.1358659577152,"Benthic foragers",123,65228,0.123055820794433,8026.68507877926
2019,"Shumagin","AK Plaice",9.85854930828797,"Benthic foragers",121,65228,0.0814756141180824,5314.49135769428
2021,"Shumagin","AK Plaice",3.74790529090675,"Benthic foragers",112,65228,0.0334634400973817,2182.75327067201
2023,"Shumagin","AK Plaice",9.83809592193914,"Benthic foragers",116,65228,0.0848111717408547,5532.06311031247
1984,"Yakutat","AK Plaice",0.0689197806838405,"Benthic foragers",110,57198,0.000626543460762186,35.8370328686755
1987,"Yakutat","AK Plaice",0.0620770608466955,"Benthic foragers",109,57198,0.000569514319694454,32.5750800578834
1984,"Chirikof","Anemones",2.24515217226864,"Structural epifauna",183,68054,0.0122685911052931,834.926699079616
1987,"Chirikof","Anemones",3.41422664998225,"Structural epifauna",195,68054,0.0175088546152936,1191.54759198919
1990,"Chirikof","Anemones",7.14866361614571,"Structural epifauna",156,68054,0.0458247667701648,3118.5586777768
1993,"Chirikof","Anemones",8.45254764044729,"Structural epifauna",172,68054,0.0491427188398098,3344.35858792442
1996,"Chirikof","Anemones",64.765900366763,"Structural epifauna",183,68054,0.353912023862093,24085.1288719109
1999,"Chirikof","Anemones",24.0668851495016,"Structural epifauna",154,68054,0.156278474996764,10635.3753374297
2001,"Chirikof","Anemones",38.7793261802951,"Structural epifauna",140,68054,0.276995187002108,18850.6304562414
2003,"Chirikof","Anemones",33.865921267223,"Structural epifauna",169,68054,0.200390066669959,13637.3455971574
2005,"Chirikof","Anemones",24.8713363161225,"Structural epifauna",168,68054,0.148043668548348,10074.9638193893
2007,"Chirikof","Anemones",33.2565531914868,"Structural epifauna",187,68054,0.177842530435758,12102.8955662751
2009,"Chirikof","Anemones",77.7081816229953,"Structural epifauna",182,68054,0.426968030895579,29056.8823745677
2011,"Chirikof","Anemones",19.2829589122127,"Structural epifauna",150,68054,0.128553059414751,8748.54990541149
2013,"Chirikof","Anemones",23.1089155157134,"Structural epifauna",123,68054,0.187877361916369,12785.8059878566
2015,"Chirikof","Anemones",19.1401518062136,"Structural epifauna",172,68054,0.111279952361707,7573.04587802361
2017,"Chirikof","Anemones",30.9990558973542,"Structural epifauna",115,68054,0.26955700780308,18344.4326090308
2019,"Chirikof","Anemones",29.0190805659767,"Structural epifauna",118,68054,0.245924411576074,16736.1399053981
2021,"Chirikof","Anemones",24.4594527515907,"Structural epifauna",112,68054,0.218387970996346,14862.1749781853
2023,"Chirikof","Anemones",16.1628816200908,"Structural epifauna",120,68054,0.134690680167423,9166.23954811382
1984,"Kodiak","Anemones",11.7985307499394,"Structural epifauna",264,101489,0.0446914043558309,4535.68593666892
1987,"Kodiak","Anemones",4.61109662640807,"Structural epifauna",234,101489,0.019705541138496,1999.89566460482
1990,"Kodiak","Anemones",13.3750820265068,"Structural epifauna",215,101489,0.0622096838442176,6313.59860366581
1993,"Kodiak","Anemones",26.4496406965887,"Structural epifauna",240,101489,0.110206836235786,11184.7816027337
1996,"Kodiak","Anemones",27.4857695999397,"Structural epifauna",210,101489,0.13088461714257,13283.3489091823
1999,"Kodiak","Anemones",47.3530368016489,"Structural epifauna",231,101489,0.204991501305839,20804.3824760283
2001,"Kodiak","Anemones",81.9525643326808,"Structural epifauna",210,101489,0.390250306346099,39606.1133407592
2003,"Kodiak","Anemones",56.5922299210705,"Structural epifauna",246,101489,0.230049715126303,23347.5155384533
2005,"Kodiak","Anemones",69.9135669248963,"Structural epifauna",285,101489,0.245310761139987,24896.3438373361
2007,"Kodiak","Anemones",108.643133786685,"Structural epifauna",261,101489,0.416257217573507,42245.5287543177
2009,"Kodiak","Anemones",66.8888779451008,"Structural epifauna",272,101489,0.245914992445223,24957.6666682733
2011,"Kodiak","Anemones",72.089384111506,"Structural epifauna",224,101489,0.321827607640652,32661.9620718421
2013,"Kodiak","Anemones",41.4316353362904,"Structural epifauna",185,101489,0.22395478560157,22728.9472359177
2015,"Kodiak","Anemones",32.2122783994862,"Structural epifauna",248,101489,0.129888219352767,13182.225493893
2017,"Kodiak","Anemones",27.7730969049019,"Structural epifauna",176,101489,0.15780168695967,16015.1354078499
2019,"Kodiak","Anemones",37.1856561458189,"Structural epifauna",175,101489,0.212489463690394,21565.3431804744
2021,"Kodiak","Anemones",21.6616309024796,"Structural epifauna",175,101489,0.123780748014169,12562.38433521
2023,"Kodiak","Anemones",34.0322667264985,"Structural epifauna",180,101489,0.189068148480547,19188.3373211423
1984,"Shumagin","Anemones",44.2979078127555,"Structural epifauna",222,65228,0.199540125282682,13015.6032919388
1987,"Shumagin","Anemones",3.54039948303517,"Structural epifauna",172,65228,0.0205837179246231,1342.63475278731
1990,"Shumagin","Anemones",25.252818580826,"Structural epifauna",135,65228,0.187057915413526,12201.4137065935
1993,"Shumagin","Anemones",50.6888630592808,"Structural epifauna",170,65228,0.298169782701652,19449.0185860633
1996,"Shumagin","Anemones",212.331981205011,"Structural epifauna",200,65228,1.06165990602506,69249.9523502023
1999,"Shumagin","Anemones",50.0253355368346,"Structural epifauna",141,65228,0.354789613736416,23142.2169247989
2001,"Shumagin","Anemones",83.6385485997647,"Structural epifauna",139,65228,0.601716176976724,39248.7427918378
2003,"Shumagin","Anemones",71.612494079769,"Structural epifauna",226,65228,0.316869442830836,20668.7600169698
2005,"Shumagin","Anemones",168.923542369151,"Structural epifauna",174,65228,0.970824956144543,63324.9702393963
2007,"Shumagin","Anemones",87.2818701297517,"Structural epifauna",198,65228,0.440817525907837,28753.6455799164
2009,"Shumagin","Anemones",126.880973322068,"Structural epifauna",191,65228,0.664298289644334,43330.8488369206
2011,"Shumagin","Anemones",66.1135849998233,"Structural epifauna",160,65228,0.413209906248896,26952.855764803
2013,"Shumagin","Anemones",72.5569982932724,"Structural epifauna",133,65228,0.54554134055092,35584.5705614554
2015,"Shumagin","Anemones",61.2074755505245,"Structural epifauna",184,65228,0.332649323644155,21698.0500826609
2017,"Shumagin","Anemones",58.97111071542,"Structural epifauna",123,65228,0.47943992451561,31272.9073963042
2019,"Shumagin","Anemones",20.915817364637,"Structural epifauna",121,65228,0.172857994749066,11275.1812814921
2021,"Shumagin","Anemones",23.4705028268475,"Structural epifauna",112,65228,0.209558060953996,13669.0531999072
2023,"Shumagin","Anemones",58.0364548901769,"Structural epifauna",116,65228,0.500314266294628,32634.498961866
1984,"Southeastern","Anemones",0.0519572485024597,"Structural epifauna",87,28038,0.000597209752901835,16.7445670518617
1987,"Southeastern","Anemones",3.9532451524931,"Structural epifauna",46,28038,0.0859401120107196,2409.58886055656
1990,"Southeastern","Anemones",0.454553617593992,"Structural epifauna",68,28038,0.00668461202344105,187.42315191324
1993,"Southeastern","Anemones",0.380638248807204,"Structural epifauna",68,28038,0.0055976213059883,156.9461061773
1996,"Southeastern","Anemones",2.19894554495899,"Structural epifauna",98,28038,0.0224382198465204,629.122808056738
1999,"Southeastern","Anemones",0.715842746765836,"Structural epifauna",64,28038,0.0111850429182162,313.606233340945
2003,"Southeastern","Anemones",1.2435171163109,"Structural epifauna",77,28038,0.0161495729391026,452.801726066559
2005,"Southeastern","Anemones",1.0880325800501,"Structural epifauna",89,28038,0.0122250851691022,342.766937971288
2007,"Southeastern","Anemones",2.27705454025369,"Structural epifauna",61,28038,0.0373287629549785,1046.62385573169
2009,"Southeastern","Anemones",0.819668927299928,"Structural epifauna",70,28038,0.0117095561042847,328.312534051934
2011,"Southeastern","Anemones",0.297851575768867,"Structural epifauna",53,28038,0.00561984105224277,157.569103422783
2013,"Southeastern","Anemones",2.16941279833403,"Structural epifauna",36,28038,0.0602614666203898,1689.61100110249
2015,"Southeastern","Anemones",0.829319711321506,"Structural epifauna",62,28038,0.0133761243761533,375.039775258587
2017,"Southeastern","Anemones",2.6119217848444,"Structural epifauna",43,28038,0.0607423670894045,1703.09448845272
2019,"Southeastern","Anemones",0.686687721189435,"Structural epifauna",50,28038,0.0137337544237887,385.067006534187
2021,"Southeastern","Anemones",2.40730538932742,"Structural epifauna",51,28038,0.0472020664574004,1323.45153933259
2023,"Southeastern","Anemones",0.731616691083783,"Structural epifauna",38,28038,0.0192530708179943,539.817599594924
1984,"Yakutat","Anemones",0.00738970267465095,"Structural epifauna",110,57198,6.71791152240995e-05,3.84251103258804
1987,"Yakutat","Anemones",0.016881354267918,"Structural epifauna",109,57198,0.000154874809797412,8.8585293707924
1990,"Yakutat","Anemones",0.250754667238983,"Structural epifauna",134,57198,0.00187130348685808,107.034816841309
1993,"Yakutat","Anemones",0.255755770461378,"Structural epifauna",124,57198,0.00206254653597886,117.973536764919
1996,"Yakutat","Anemones",0.45259525987246,"Structural epifauna",116,57198,0.00390168327476259,223.168479949871
1999,"Yakutat","Anemones",0.153208975949879,"Structural epifauna",127,57198,0.00120636988936912,69.0019449321351
2003,"Yakutat","Anemones",0.183200042422362,"Structural epifauna",76,57198,0.00241052687397845,137.877316137819
2005,"Yakutat","Anemones",0.565827777936203,"Structural epifauna",86,57198,0.00657939276670004,376.328107469709
2007,"Yakutat","Anemones",0.332919559214074,"Structural epifauna",70,57198,0.00475599370305821,272.033327827523
2009,"Yakutat","Anemones",5.97017168271546,"Structural epifauna",80,57198,0.0746271460339433,4268.52349884949
2011,"Yakutat","Anemones",0.22421729321266,"Structural epifauna",66,57198,0.00339723171534333,194.314859654208
2013,"Yakutat","Anemones",0.594718077021164,"Structural epifauna",59,57198,0.0100799674071384,576.5539757535
2015,"Yakutat","Anemones",0.520508420958902,"Structural epifauna",77,57198,0.00675984962284288,386.649878727367
