"Model","Predator","Year","Stratgroup","Lbin","Pred_n","Prey_guild","SCI_mean","X0.","X2.5.","X25.","X50.","X75.","X97.5.","X100."
"EBS","Pacific_cod",1984,"NW_inner","[30,60)",39,"Amphipods",0.000179159168771725,6.10219267885342e-05,0.000104229346336133,0.000148412739560673,0.000175768543383855,0.000205950845243506,0.000269712213139503,0.000376785640245618
"EBS","Pacific_cod",1984,"NW_inner","[30,60)",39,"MISC_NA",0.00202168864716796,4.9598276392539e-05,0.000197426944797064,0.000655078409312994,0.00190348139287664,0.00314003788992251,0.00532752657573132,0.00950260030144775
"EBS","Pacific_cod",1984,"NW_inner","[30,60)",39,"Motile_epifauna",0.000976366678481283,7.16122652400878e-05,0.000283988254153629,0.000640100328108626,0.000921651780230932,0.00125215350154096,0.00202915560480797,0.00308746946969
"EBS","Pacific_cod",1984,"NW_inner","[30,60)",39,"Polychaete",0.000763359312741299,0.000183434761439201,0.00039423469818067,0.000614876991760367,0.000748702319146434,0.000891921046199257,0.00119109819254332,0.00164097059625889
"EBS","Pacific_cod",1984,"NW_inner","[30,60)",39,"Shrimp",0.00211654546802519,0.000390819900020757,0.000802034627711371,0.00141191099020638,0.00201688655877205,0.00268165206822911,0.0041961329911581,0.00694499239551724
"EBS","Pacific_cod",1984,"NW_inner","[30,60)",39,"Snow_crab",0.00257917532860936,0.000544534264743712,0.00145691356514699,0.00213615499683029,0.00255208271226656,0.00297372511250373,0.00383397373335349,0.00551399870658061
"EBS","Pacific_cod",1984,"NW_inner","[30,60)",39,"Walleye_pollock",0,0,0,0,0,0,0,0
"EBS","Pacific_cod",1984,"NW_inner","[30,60)",39,"Eelpout",0,0,0,0,0,0,0,0
"EBS","Pacific_cod",1984,"NW_inner","[30,60)",39,"Infauna",0.00159992991311606,7.05453793772751e-06,0.000395177442044647,0.00107352105032889,0.00152620274998114,0.00202223741736033,0.00313405145747337,0.00489240707968623
"EBS","Pacific_cod",1984,"NW_inner","[30,60)",39,"Euphausiids",0.000251220189874553,2.93335557348884e-06,8.46158064842374e-05,0.000183545986260205,0.000245837223277236,0.000312722252486732,0.000456520348416604,0.000726929232394976
"EBS","Pacific_cod",1984,"NW_inner","[30,60)",39,"Flatfish",0.00017017178545376,0,0,0,0.00017017178545376,0.00034034357090752,0.000510515356361281,0.00136137428363008
"EBS","Pacific_cod",1984,"NW_inner","[30,60)",39,"Octopus",0,0,0,0,0,0,0,0
"EBS","Pacific_cod",1984,"NW_inner","[30,60)",39,"Offal",0,0,0,0,0,0,0,0
"EBS","Pacific_cod",1984,"NW_inner","[30,60)",39,"Shelf_forage_fish",0.00151068772580922,0,0,0.000604300189152725,0.00150202589203866,0.00209982970586347,0.00392776298827492,0.0064053455929893
"EBS","Pacific_cod",1984,"NW_inner","[30,60)",39,"Shelf_demersals",2.6687922566058e-05,0,0,0,2.6687922566058e-05,5.33758451321159e-05,8.00637676981739e-05,0.000160127535396348
"EBS","Pacific_cod",1984,"NW_inner","[30,60)",39,"Copepods",0,0,0,0,0,0,0,0
"EBS","Pacific_cod",1984,"NW_inner","[30,60)",39,"Squid",2.59862926641266e-07,0,0,0,2.59862926641266e-07,5.19725853282531e-07,7.79588779923797e-07,1.81904048648886e-06
"EBS","Pacific_cod",1984,"NW_inner","[30,60)",39,"Tanner_crab",0.000416905435863771,0,0,0.000207897796492625,0.000365476943126216,0.000574484582497362,0.00104354645294616,0.00193246138686323
"EBS","Pacific_cod",1984,"NW_inner","[30,60)",39,"Sessile_epifauna",0,0,0,0,0,0,0,0
"EBS","Pacific_cod",1984,"NW_inner","[30,60)",39,"Detritus",4.00720719786315e-05,0,7.01295471028213e-07,1.36831750126929e-05,3.64208146248397e-05,6.07816041104888e-05,0.000105831745452173,0.000190974139048311
"EBS","Pacific_cod",1984,"NW_inner","[30,60)",39,"Pacific_cod",0,0,0,0,0,0,0,0
"EBS","Pacific_cod",1984,"NW_inner","[30,60)",39,"Gelatinous",0,0,0,0,0,0,0,0
