"year","model","stratum_bin","species_name","lbin","sum_wlcpue_t_km2","sum_cons_bioen_t_km2","sum_cons_vonb_t_km2","area","stations","bottom_temp_mean","surface_temp_mean","mean_wlcpue_t_km2","mean_bioen_t_km2","mean_vonb_t_km2","tot_wlcpue_tons","tot_bioen_tons","tot_vonb_tons"
1982,"EBS","NW_corner","Sablefish","[0,20)",0,0,0,29522,5,1.85,7.54,0,0,0,0,0,0
1982,"EBS","NW_inner","Sablefish","[0,20)",0,0,0,41027,30,3.11666666666667,4.13,0,0,0,0,0,0
1982,"EBS","NW_middle","Sablefish","[0,20)",0,0,0,62703,38,1.24473684210526,5.81315789473684,0,0,0,0,0,0
1982,"EBS","NW_outer","Sablefish","[0,20)",0,0,0,88134,56,3.15849056603774,7.41071428571429,0,0,0,0,0,0
1982,"EBS","NW_outer","Sablefish","[20,55)",0.0358805611836197,0.000861198561524711,0.0393783498876267,88134,56,3.15849056603774,7.41071428571429,0.000640724306850352,1.53785457415127e-05,0.000703184819421905,56.4695960599489,1.35537275038248,61.9744908749301
1982,"EBS","NW_outer","Sablefish","[55,999)",0.0526485860863367,0.00121939307711869,0.0508482296689816,88134,56,3.15849056603774,7.41071428571429,0.000940153322970298,2.17748763771194e-05,0.000908004101231815,82.8594729666643,1.91910695462104,80.0260334579648
1982,"EBS","Pribs","Sablefish","[0,20)",0,0,0,32785,38,3.28157894736842,6.10526315789474,0,0,0,0,0,0
1982,"EBS","SE_inner","Sablefish","[0,20)",0,0,0,77871,57,1.60535714285714,3.22280701754386,0,0,0,0,0,0
1982,"EBS","SE_middle","Sablefish","[0,20)",0,0,0,94526,68,1.62058823529412,5.43088235294118,0,0,0,0,0,0
1982,"EBS","SE_outer","Sablefish","[0,20)",0,0,0,38792,23,3.91739130434783,6.87826086956522,0,0,0,0,0,0
