"year","model","stratum_bin","species_name","lbin","prey_guild","strat_preycons_sci_t_km2","strat_preycons_sci_vonb_rel","area","cons_tons_day","cons_rel_vonb","jcat"
1984,"WGOA","WC_GOA","Walleye_pollock","[0,10)","MISSING",1.07600508129253e-06,1.22677780334337e-05,234769.252,0.252612908083246,2.88009707261127,"juv"
1984,"WGOA","WC_GOA","Walleye_pollock","[10,25)","MISSING",0.00190957490228888,0.0319804640657679,234769.252,448.309471448334,7508.02962733321,"adu"
1984,"WGOA","WC_GOA","Walleye_pollock","[25,40)","MISSING",0.00409407770095629,0.0872315761190599,234769.252,961.163559483388,20479.2918762527,"adu"
1984,"WGOA","WC_GOA","Walleye_pollock","[40,55)","MISSING",0.0587412974622173,1.36975014876673,234769.252,13790.6504667142,321575.217852854,"adu"
1984,"WGOA","WC_GOA","Walleye_pollock","[55,999)","MISSING",0.00293720763228672,0.0740586042677736,234769.252,689.566038800645,17386.6831281092,"adu"
1987,"WGOA","WC_GOA","Walleye_pollock","[0,10)","MISSING",4.5950797175363e-06,5.30266610282944e-05,234769.252,1.07878342816637,12.4490295456702,"juv"
1987,"WGOA","WC_GOA","Walleye_pollock","[10,25)","MISSING",0.00530407799715498,0.0893689177739242,234769.252,1245.23442394173,20981.0739778337,"adu"
1987,"WGOA","WC_GOA","Walleye_pollock","[25,40)","MISSING",0.0142416883394363,0.276299796084174,234769.252,3343.51051866659,64866.696454434,"adu"
1987,"WGOA","WC_GOA","Walleye_pollock","[40,55)","MISSING",0.0384773424949858,0.885563054157608,234769.252,9033.29691649564,207902.975823417,"adu"
1987,"WGOA","WC_GOA","Walleye_pollock","[55,999)","MISSING",0.00964679429432579,0.236575051466007,234769.252,2264.77068067673,55540.5478745359,"adu"
1990,"WGOA","WC_GOA","Walleye_pollock","[0,10)","Arrowtooth_flounder",0,0,234769.252,0,0,"juv"
1990,"WGOA","WC_GOA","Walleye_pollock","[0,10)","Benthic_detritus",0,0,234769.252,0,0,"juv"
1990,"WGOA","WC_GOA","Walleye_pollock","[0,10)","Deep-water_flatfish",0,0,234769.252,0,0,"juv"
1990,"WGOA","WC_GOA","Walleye_pollock","[0,10)","Euphausiids",0,0,234769.252,0,0,"juv"
1990,"WGOA","WC_GOA","Walleye_pollock","[0,10)","Flathead_sole",0,0,234769.252,0,0,"juv"
1990,"WGOA","WC_GOA","Walleye_pollock","[0,10)","Gelatinous_carnivores",0,0,234769.252,0,0,"juv"
1990,"WGOA","WC_GOA","Walleye_pollock","[0,10)","Gelatinous_omnivores",8.28437328068256e-06,9.87294348282399e-05,234769.252,1.94491611839463,23.1786355650086,"juv"
1990,"WGOA","WC_GOA","Walleye_pollock","[0,10)","Infauna",0,0,234769.252,0,0,"juv"
1990,"WGOA","WC_GOA","Walleye_pollock","[0,10)","King_crab",0,0,234769.252,0,0,"juv"
1990,"WGOA","WC_GOA","Walleye_pollock","[0,10)","Large_sculpins",0,0,234769.252,0,0,"juv"
1990,"WGOA","WC_GOA","Walleye_pollock","[0,10)","MISC_NA",0,0,234769.252,0,0,"juv"
1990,"WGOA","WC_GOA","Walleye_pollock","[0,10)","Macroalgae",0,0,234769.252,0,0,"juv"
1990,"WGOA","WC_GOA","Walleye_pollock","[0,10)","Microzooplankton",0,0,234769.252,0,0,"juv"
1990,"WGOA","WC_GOA","Walleye_pollock","[0,10)","Miscellaneous_deep-sea_fish",0,0,234769.252,0,0,"juv"
1990,"WGOA","WC_GOA","Walleye_pollock","[0,10)","Motile_epifauna",5.55010012818171e-05,0.000661435971473239,234769.252,13.0299285561832,155.284828268666,"juv"
1990,"WGOA","WC_GOA","Walleye_pollock","[0,10)","Mysids",0,0,234769.252,0,0,"juv"
1990,"WGOA","WC_GOA","Walleye_pollock","[0,10)","Octopus",0,0,234769.252,0,0,"juv"
1990,"WGOA","WC_GOA","Walleye_pollock","[0,10)","Pacific_cod",0,0,234769.252,0,0,"juv"
1990,"WGOA","WC_GOA","Walleye_pollock","[0,10)","Pacific_halibut",0,0,234769.252,0,0,"juv"
1990,"WGOA","WC_GOA","Walleye_pollock","[0,10)","Pacific_herring",0,0,234769.252,0,0,"juv"
1990,"WGOA","WC_GOA","Walleye_pollock","[0,10)","Pacific_sandlance",0,0,234769.252,0,0,"juv"
1990,"WGOA","WC_GOA","Walleye_pollock","[0,10)","Pandalid_shrimp",0,0,234769.252,0,0,"juv"
1990,"WGOA","WC_GOA","Walleye_pollock","[0,10)","Polychaete",0,0,234769.252,0,0,"juv"
1990,"WGOA","WC_GOA","Walleye_pollock","[0,10)","Rex_sole",0,0,234769.252,0,0,"juv"
1990,"WGOA","WC_GOA","Walleye_pollock","[0,10)","Rock_sole",0,0,234769.252,0,0,"juv"
1990,"WGOA","WC_GOA","Walleye_pollock","[0,10)","Sessile_epifauna",0,0,234769.252,0,0,"juv"
1990,"WGOA","WC_GOA","Walleye_pollock","[0,10)","Shallow-water_flatfish",0,0,234769.252,0,0,"juv"
1990,"WGOA","WC_GOA","Walleye_pollock","[0,10)","Shelf_demersals",0,0,234769.252,0,0,"juv"
1990,"WGOA","WC_GOA","Walleye_pollock","[0,10)","Shelf_forage_fish",0,0,234769.252,0,0,"juv"
1990,"WGOA","WC_GOA","Walleye_pollock","[0,10)","Slope_demersals",0,0,234769.252,0,0,"juv"
1990,"WGOA","WC_GOA","Walleye_pollock","[0,10)","Slope_forage_fish",0,0,234769.252,0,0,"juv"
1990,"WGOA","WC_GOA","Walleye_pollock","[0,10)","Snow_crab",0,0,234769.252,0,0,"juv"
1990,"WGOA","WC_GOA","Walleye_pollock","[0,10)","Squid",0,0,234769.252,0,0,"juv"
1990,"WGOA","WC_GOA","Walleye_pollock","[0,10)","Tanner_crab",0,0,234769.252,0,0,"juv"
1990,"WGOA","WC_GOA","Walleye_pollock","[0,10)","Thornyheads",0,0,234769.252,0,0,"juv"
1990,"WGOA","WC_GOA","Walleye_pollock","[0,10)","Walleye_pollock",0,0,234769.252,0,0,"juv"
1990,"WGOA","WC_GOA","Walleye_pollock","[0,10)","amphipods",0,0,234769.252,0,0,"juv"
1990,"WGOA","WC_GOA","Walleye_pollock","[0,10)","copepods",8.82127788918299e-06,0.000105128022477293,234769.252,2.07096481172763,24.6808272012334,"juv"
1990,"WGOA","WC_GOA","Walleye_pollock","[10,25)","Arrowtooth_flounder",4.1776296915301e-06,7.15385733442803e-05,234769.252,0.980778997813513,16.7950573531838,"adu"
1990,"WGOA","WC_GOA","Walleye_pollock","[10,25)","Benthic_detritus",0,0,234769.252,0,0,"adu"
1990,"WGOA","WC_GOA","Walleye_pollock","[10,25)","Deep-water_flatfish",0,0,234769.252,0,0,"adu"
1990,"WGOA","WC_GOA","Walleye_pollock","[10,25)","Euphausiids",0.000363087983093621,0.00621759184679105,234769.252,85.241894201078,1459.69938711243,"adu"
1990,"WGOA","WC_GOA","Walleye_pollock","[10,25)","Flathead_sole",0,0,234769.252,0,0,"adu"
1990,"WGOA","WC_GOA","Walleye_pollock","[10,25)","Gelatinous_carnivores",1.31853637534526e-07,2.25788828018862e-06,234769.252,0.0309551798574598,0.530082742639449,"adu"
1990,"WGOA","WC_GOA","Walleye_pollock","[10,25)","Gelatinous_omnivores",3.05346155990084e-08,5.22880915462137e-07,234769.252,0.00716858886428672,0.122756361408121,"adu"
1990,"WGOA","WC_GOA","Walleye_pollock","[10,25)","Infauna",9.33263066746987e-07,1.5981384967018e-05,234769.252,0.219101472099416,3.75193779463086,"adu"
1990,"WGOA","WC_GOA","Walleye_pollock","[10,25)","King_crab",0,0,234769.252,0,0,"adu"
1990,"WGOA","WC_GOA","Walleye_pollock","[10,25)","Large_sculpins",0,0,234769.252,0,0,"adu"
1990,"WGOA","WC_GOA","Walleye_pollock","[10,25)","MISC_NA",3.59119099392593e-05,0.000614962788188614,234769.252,8.43101223433128,144.374353790875,"adu"
1990,"WGOA","WC_GOA","Walleye_pollock","[10,25)","Macroalgae",0,0,234769.252,0,0,"adu"
1990,"WGOA","WC_GOA","Walleye_pollock","[10,25)","Microzooplankton",0,0,234769.252,0,0,"adu"
1990,"WGOA","WC_GOA","Walleye_pollock","[10,25)","Miscellaneous_deep-sea_fish",0,0,234769.252,0,0,"adu"
1990,"WGOA","WC_GOA","Walleye_pollock","[10,25)","Motile_epifauna",4.55968771583981e-05,0.000780810120025617,234769.252,10.704744744013,183.310207832444,"adu"
1990,"WGOA","WC_GOA","Walleye_pollock","[10,25)","Mysids",1.2442568305024e-05,0.000213069048959712,234769.252,2.92113245392938,50.022061248623,"adu"
1990,"WGOA","WC_GOA","Walleye_pollock","[10,25)","Octopus",0,0,234769.252,0,0,"adu"
1990,"WGOA","WC_GOA","Walleye_pollock","[10,25)","Pacific_cod",0,0,234769.252,0,0,"adu"
1990,"WGOA","WC_GOA","Walleye_pollock","[10,25)","Pacific_halibut",0,0,234769.252,0,0,"adu"
1990,"WGOA","WC_GOA","Walleye_pollock","[10,25)","Pacific_herring",0,0,234769.252,0,0,"adu"
1990,"WGOA","WC_GOA","Walleye_pollock","[10,25)","Pacific_sandlance",0,0,234769.252,0,0,"adu"
1990,"WGOA","WC_GOA","Walleye_pollock","[10,25)","Pandalid_shrimp",0,0,234769.252,0,0,"adu"
1990,"WGOA","WC_GOA","Walleye_pollock","[10,25)","Polychaete",4.10840271292944e-06,7.03531166016526e-05,234769.252,0.964526631829216,16.5167485604388,"adu"
1990,"WGOA","WC_GOA","Walleye_pollock","[10,25)","Rex_sole",0,0,234769.252,0,0,"adu"
1990,"WGOA","WC_GOA","Walleye_pollock","[10,25)","Rock_sole",0,0,234769.252,0,0,"adu"
1990,"WGOA","WC_GOA","Walleye_pollock","[10,25)","Sessile_epifauna",0,0,234769.252,0,0,"adu"
1990,"WGOA","WC_GOA","Walleye_pollock","[10,25)","Shallow-water_flatfish",0,0,234769.252,0,0,"adu"
1990,"WGOA","WC_GOA","Walleye_pollock","[10,25)","Shelf_demersals",0,0,234769.252,0,0,"adu"
1990,"WGOA","WC_GOA","Walleye_pollock","[10,25)","Shelf_forage_fish",1.20749372212503e-05,0.000206773660140664,234769.252,2.83482397937988,48.5440975245258,"adu"
1990,"WGOA","WC_GOA","Walleye_pollock","[10,25)","Slope_demersals",0,0,234769.252,0,0,"adu"
1990,"WGOA","WC_GOA","Walleye_pollock","[10,25)","Slope_forage_fish",0,0,234769.252,0,0,"adu"
1990,"WGOA","WC_GOA","Walleye_pollock","[10,25)","Snow_crab",0,0,234769.252,0,0,"adu"
1990,"WGOA","WC_GOA","Walleye_pollock","[10,25)","Squid",0,0,234769.252,0,0,"adu"
1990,"WGOA","WC_GOA","Walleye_pollock","[10,25)","Tanner_crab",4.65518177581461e-07,7.97162715439473e-06,234769.252,0.109289354343203,1.87149294426014,"adu"
1990,"WGOA","WC_GOA","Walleye_pollock","[10,25)","Thornyheads",0,0,234769.252,0,0,"adu"
1990,"WGOA","WC_GOA","Walleye_pollock","[10,25)","Walleye_pollock",3.3715187320088e-05,0.000577345667042802,234769.252,7.91528930817694,135.54301039708,"adu"
1990,"WGOA","WC_GOA","Walleye_pollock","[10,25)","amphipods",0.000138415913342601,0.00237026201454646,234769.252,32.4958004403393,556.464640199085,"adu"
1990,"WGOA","WC_GOA","Walleye_pollock","[10,25)","copepods",8.38310150467945e-05,0.00143553920794115,234769.252,19.6809446969367,337.020466065017,"adu"
1990,"WGOA","WC_GOA","Walleye_pollock","[25,40)","Arrowtooth_flounder",0,0,234769.252,0,0,"adu"
1990,"WGOA","WC_GOA","Walleye_pollock","[25,40)","Benthic_detritus",0,0,234769.252,0,0,"adu"
1990,"WGOA","WC_GOA","Walleye_pollock","[25,40)","Deep-water_flatfish",0,0,234769.252,0,0,"adu"
1990,"WGOA","WC_GOA","Walleye_pollock","[25,40)","Euphausiids",0.00248559110465828,0.0495313339164618,234769.252,583.540364418478,11628.43421413,"adu"
