NODC_CODE,RACE,BASE_NAME,PREDATOR,Model,juv_cm,adu_1,adu_2,adu_3,a_l_mm_g,b_l_mm_g,vb_linf_mm,vb_k,vb_t0,CA,CB,C_TM,C_T0,C_Q,Note
8827020101,20510,Anoplopoma fimbria (sablefish),Sablefish,WGOA,20,55,9999,9999,1.44E-06,3.2993,705.9711327,0.281061112,-1.403613693,0.1159,-0.093,22.4,17.6,2.2,Krieger 2020
8857040101,10112,Atheresthes evermanni (Kamchatka flounder),Kam_flounder,WGOA,20,30,50,9999,3.69E-06,3.1404,770.745226,0.111232011,-0.842171099,0.125,-0.199,26,20.512,2.497,NA
8857040102,10110,Atheresthes stomias (arrowtooth flounder),Arrowtooth_flounder,WGOA,20,30,50,9999,3.69E-06,3.1404,770.745226,0.111232011,-0.842171099,0.125,-0.199,26,20.512,2.497,NA
8857040501,10200,Errex zachirus (rex sole),Rex_sole,WGOA,20,9999,9999,9999,5.73E-07,3.4148,488.2114644,0.203445198,-0.178673448,NA,NA,NA,NA,NA,NA
8791030701,21740,Gadus chalcogrammus (walleye pollock),Walleye_pollock,EBS,20,40,55,9999,5.63E-06,3.0434,631.1601677,0.296187725,0.04532145,0.119,-0.46,15,10,2.6,NA
8791030401,21720,Gadus macrocephalus (Pacific cod),Pacific_cod,EBS,20,30,60,85,4.49E-06,3.1362,1132.898349,0.141928441,-0.446310795,0.041,-0.122,21,13.7,2.41,NA
8857041901,10120,Hippoglossus stenolepis (Pacific halibut),Pacific_halibut,EBS,20,50,70,9999,3.13E-06,3.202,1695,0.043,-4.96,0.0625,-0.1076,18,12.97,3.084,vonb from Perkins thesis areea 3A
8827010501,21921,Pleurogrammus monopterygius (Atka mackerel),Atka_mackerel,AI,20,9999,9999,9999,5.13E-06,3.155,NA,NA,NA,NA,NA,NA,NA,NA,NA
8826010102,30060,Sebastes alutus (Pacific ocean perch),POP,EBS,20,9999,9999,9999,1.19E-05,3.0218,410.9280081,0.188275656,-0.371256062,0.4613,-0.335,20,12,5,Morales 2024
8826010129,30420,Sebastes polyspinis (northern rockfish),N_rockfish,NA,20,9999,9999,9999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8842150101,24001,Zaprora silenus (prowfish),Prowfish,NA,20,9999,9999,9999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8713040107,471,Bathyraja parmifera (Alaska skate),AK_skate,NA,20,9999,9999,9999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8857040803,10261,Lepidopsetta polyxystra (northern rock sole),N_rock_sole,NA,20,9999,9999,9999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8857040901,10210,Limanda aspera (yellowfin sole),YF_sole,NA,20,9999,9999,9999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
