"YEAR","ebs_domain","ebs_name","qq_cpue","guild","stat_count","area_km2","ave_bio_tkm2","tot_bio_tons"
1982,"NBS70","ak_plaice",9.62554750591632,"Benthic foragers",8,79261,1.20319343823954,95366.3151083042
1988,"NBS70","ak_plaice",27.5815898255559,"Benthic foragers",25,79261,1.10326359302224,87445.7756465355
2010,"NBS70","ak_plaice",137.054800033819,"Benthic foragers",58,79261,2.36301379368654,187294.836301389
2017,"NBS70","ak_plaice",172.781819793715,"Benthic foragers",58,79261,2.97899689299508,236118.272735683
2018,"NBS70","ak_plaice",53.1059729932186,"Benthic foragers",23,79261,2.30895534753125,183010.109800674
2019,"NBS70","ak_plaice",139.455013185089,"Benthic foragers",58,79261,2.40439677905327,190574.893104541
2021,"NBS70","ak_plaice",184.113949449536,"Benthic foragers",82,79261,2.24529206645775,177964.094479508
2010,"NBS71","ak_plaice",27.1490667645956,"Benthic foragers",55,82594,0.49361939571992,40770.0003700911
2017,"NBS71","ak_plaice",44.3789203726079,"Benthic foragers",57,82594,0.77857755039663,64305.8341974593
2018,"NBS71","ak_plaice",16.5485406816875,"Benthic foragers",14,82594,1.18203862012054,97629.2977902356
2019,"NBS71","ak_plaice",41.8624688518582,"Benthic foragers",58,82594,0.721766704342382,59613.5991784547
2021,"NBS71","ak_plaice",35.468722063955,"Benthic foragers",71,82594,0.499559465689507,41260.6145091591
1982,"NBS81","ak_plaice",2.5864530457612,"Benthic foragers",5,38352,0.51729060915224,19839.1294422067
1988,"NBS81","ak_plaice",12.3209342439075,"Benthic foragers",11,38352,1.12008493126432,42957.4972838492
2010,"NBS81","ak_plaice",50.5719745802014,"Benthic foragers",28,38352,1.80614194929291,69269.1560392815
2017,"NBS81","ak_plaice",17.8640484285384,"Benthic foragers",28,38352,0.638001729590657,24468.6423332609
2018,"NBS81","ak_plaice",13.5653144096026,"Benthic foragers",12,38352,1.13044286746688,43354.7448530898
2019,"NBS81","ak_plaice",47.9374144575929,"Benthic foragers",28,38352,1.7120505163426,65660.5614027715
2021,"NBS81","ak_plaice",26.3676131757597,"Benthic foragers",35,38352,0.753360376450277,28892.877157621
1982,"NW_corner","ak_plaice",0.02997267702616,"Benthic foragers",5,29522,0.005994535405232,176.970674233259
1987,"NW_corner","ak_plaice",0.42761737288776,"Benthic foragers",18,29522,0.0237565207159867,701.340004577358
1988,"NW_corner","ak_plaice",0.35963295714368,"Benthic foragers",20,29522,0.017981647857184,530.854208039786
1989,"NW_corner","ak_plaice",0.2689805416232,"Benthic foragers",20,29522,0.01344902708116,397.042177490006
1990,"NW_corner","ak_plaice",0.29954072620296,"Benthic foragers",20,29522,0.014977036310148,442.152065948189
1992,"NW_corner","ak_plaice",0.0989950227816,"Benthic foragers",20,29522,0.00494975113908,146.12655312792
1993,"NW_corner","ak_plaice",0.09020199306272,"Benthic foragers",20,29522,0.004510099653136,133.147161959881
1994,"NW_corner","ak_plaice",0.1325808712624,"Benthic foragers",21,29522,0.00631337482201905,186.383451495646
1995,"NW_corner","ak_plaice",0.25438097891624,"Benthic foragers",20,29522,0.012719048945812,375.491762978262
1996,"NW_corner","ak_plaice",0.95280016684336,"Benthic foragers",20,29522,0.047640008342168,1406.42832627748
1997,"NW_corner","ak_plaice",0.89102374758232,"Benthic foragers",20,29522,0.044551187379116,1315.24015380626
1998,"NW_corner","ak_plaice",2.15327393469936,"Benthic foragers",20,29522,0.107663696734968,3178.44765500973
1999,"NW_corner","ak_plaice",0.87436790843776,"Benthic foragers",20,29522,0.043718395421888,1290.65446964498
2000,"NW_corner","ak_plaice",0.59452826886552,"Benthic foragers",20,29522,0.029726413443276,877.583177672394
2001,"NW_corner","ak_plaice",2.41287393905008,"Benthic foragers",20,29522,0.120643696952504,3561.64322143182
2002,"NW_corner","ak_plaice",1.67672697438928,"Benthic foragers",20,29522,0.083836348719464,2475.01668689602
2003,"NW_corner","ak_plaice",2.08557348093952,"Benthic foragers",20,29522,0.104278674046976,3078.51501521483
2004,"NW_corner","ak_plaice",3.88826207482064,"Benthic foragers",20,29522,0.194413103741032,5739.46364864275
2005,"NW_corner","ak_plaice",7.36179277576248,"Benthic foragers",20,29522,0.368089638788124,10866.742316303
2006,"NW_corner","ak_plaice",0.98810937081472,"Benthic foragers",20,29522,0.049405468540736,1458.54824225961
2007,"NW_corner","ak_plaice",0.79671899343696,"Benthic foragers",20,29522,0.039835949671848,1176.0369062123
2008,"NW_corner","ak_plaice",0.44576156450144,"Benthic foragers",20,29522,0.022288078225072,657.988645360576
2009,"NW_corner","ak_plaice",0.16948613742104,"Benthic foragers",20,29522,0.008474306871052,250.178487447197
2010,"NW_corner","ak_plaice",0.41616097559256,"Benthic foragers",20,29522,0.020808048779628,614.295216072178
2011,"NW_corner","ak_plaice",0.45538689658792,"Benthic foragers",20,29522,0.022769344829396,672.196598053429
2012,"NW_corner","ak_plaice",0.48358725916072,"Benthic foragers",20,29522,0.024179362958036,713.823153247139
2013,"NW_corner","ak_plaice",0.41809975051944,"Benthic foragers",20,29522,0.020904987525972,617.157041741745
2014,"NW_corner","ak_plaice",1.33627613887064,"Benthic foragers",20,29522,0.066813806943532,1972.47720858695
2015,"NW_corner","ak_plaice",0.86203024981216,"Benthic foragers",20,29522,0.043101512490608,1272.44285174773
2016,"NW_corner","ak_plaice",0.99360256644088,"Benthic foragers",20,29522,0.049680128322044,1466.65674832338
2017,"NW_corner","ak_plaice",0.5276307420956,"Benthic foragers",20,29522,0.02638153710478,778.835738407315
2018,"NW_corner","ak_plaice",2.95515320281544,"Benthic foragers",20,29522,0.147757660140772,4362.10164267587
2019,"NW_corner","ak_plaice",7.03548128870048,"Benthic foragers",20,29522,0.351774064435024,10385.0739302508
2021,"NW_corner","ak_plaice",4.74555309703376,"Benthic foragers",20,29522,0.237277654851688,7004.91092653153
2022,"NW_corner","ak_plaice",5.5875885064384,"Benthic foragers",20,29522,0.27937942532192,8247.83939435372
1982,"NW_inner","ak_plaice",106.279470187931,"Benthic foragers",30,41027,3.54264900626437,145344.260780008
1983,"NW_inner","ak_plaice",84.7918612128465,"Benthic foragers",31,41027,2.73522132944666,112217.925483208
1984,"NW_inner","ak_plaice",89.962916655575,"Benthic foragers",31,41027,2.90202956953468,119061.567149299
1985,"NW_inner","ak_plaice",61.1757123710691,"Benthic foragers",31,41027,1.9734100764861,80963.0952079953
1986,"NW_inner","ak_plaice",56.814516507393,"Benthic foragers",31,41027,1.83272633894816,75191.2635080263
1987,"NW_inner","ak_plaice",54.1258665226831,"Benthic foragers",30,41027,1.8041955507561,74020.7308608707
