"year","Apex predators","Benthic foragers","Motile epifauna","Pelagic foragers"
1982,3715.22180900355,5882.08084579529,7460.19947905818,10071.6457508914
1983,4547.62685154291,5806.23002020229,6211.48055869712,13576.4567438849
1984,3782.43916070951,5693.14104678394,5242.12246858948,11612.4788016308
1985,3966.29364658613,4163.70068375881,2717.5052670017,9892.08101187031
1986,4363.95655454078,4144.13489790871,3195.26533661204,12378.858725266
1987,3633.27326205694,5037.70514368329,6035.01795008229,11402.5100759635
1988,3482.25888624835,5467.93054693217,7113.2620499782,17353.9414401813
1989,3203.12620599871,5241.34218555552,7050.78575103925,13829.8510321612
1990,3198.40032501055,5315.69555925842,7884.15357082278,17004.6836001165
1991,2596.35820491531,5674.69863744598,7246.29854290309,13018.6986849986
1992,2836.83905598306,5879.50120171253,6285.2645866006,13456.9136060326
1993,3428.91543460282,6007.12171476658,6455.00960193731,24471.652891253
1994,5396.6072188949,7135.82768285763,6206.5432941901,15299.2338577671
1995,4237.14832740151,5604.06506808888,6620.24188194334,17438.4199332768
1996,4052.5111907173,5685.91204381389,5802.806098758,8775.77168446808
1997,3278.05528788397,6600.48222716625,6731.63471283907,13961.1012967681
1998,2903.69463911135,5852.00043267249,6155.29259538666,7404.35194149501
1999,2586.63121908951,4118.19247512846,5286.42433328547,8464.81524550654
2000,2632.7792646829,4772.35441858101,5607.91516691536,11479.1373856115
2001,3531.23603100938,5278.15708743518,6343.4889128567,9624.05661760968
2002,2784.92435258258,5121.12167076513,6055.36257552961,11179.6608696075
2003,3204.48331041209,5500.79549617924,6707.41881701678,19655.272519688
2004,3181.74499667374,6134.92734424813,7118.41468890943,11755.1540262675
2005,3574.79381363821,6558.49756434742,8497.877903078,12339.65409506
2006,3233.06019724856,6148.42815183851,8274.55177771734,7502.44713641472
2007,2771.37092128819,5681.83301974661,7741.83111176623,8942.72059948099
2008,2677.68437044495,5594.97618839382,7166.8889205001,7644.13601733961
2009,2440.54749160709,4638.59754785552,6318.04317322946,5938.4386093045
2010,3823.74337312849,5873.76291824382,7882.50714813792,10926.6150982625
2011,3929.0401555739,5894.32935966219,8466.3122892701,9375.34775288631
2012,3664.09411001616,5256.79811024411,8851.53787443979,11012.5689209649
2013,3457.70232554406,5257.72256450266,8577.51613641775,13918.1406130586
2014,4276.52121692551,5635.47586325024,8106.45969992456,15736.2768364204
2015,4249.62723970539,4368.22080094812,8641.96568602957,17440.4010315279
2016,4066.68238058868,5403.11972296304,9516.79683629491,11086.040280878
2017,3169.10322951945,5525.01322839795,9673.50496254287,10468.7199527935
2018,3169.7629534425,4063.44237355966,9610.74241212807,10707.1213434754
2019,3287.97631119561,4192.00771974761,8836.97665973495,11138.3242221937
2021,3115.4141436522,4031.80743512046,8581.45443584435,5998.31153556243
2022,3394.76769851397,4741.00621789261,8661.67657666133,10234.4667133998
2023,3334.06875933813,4061.32876915987,7700.36761357392,6725.59611186895
2024,3266.9019363191,4455.3528963276,9288.77979559307,11480.8172148065
2025,2904.26999078836,4526.95896436345,11142.931437313,8208.53986195331
