"year","Apex predators","Benthic foragers","Infauna","Mesozooplankton","Motile epifauna","Pelagic foragers","Poor Apex predators","Poor Pelagic foragers","Shrimp","Structural epifauna","<NA>"
1982,3715221.80900355,5882080.84579529,54027084.2706116,0,7460199.47905818,20944278.4293143,0,792.438763869227,5681118.24083868,268933.520633141,0
1983,4547626.85154291,5806230.02020229,21778377.0117983,0,6211480.55869712,13576456.7438849,0,759.897909746192,3974791.19587653,295978.017578314,0
1984,3782439.16070951,5693141.04678394,60755856.7234382,0,5242122.46858948,11612478.8016308,0,3194.17868873686,7960791.84169435,307682.500107005,0
1985,3966293.64658613,4163700.68375881,106647055.34321,0,2717505.2670017,9892081.01187031,0,949.314644937447,4885442.46551286,157409.013935384,0
1986,4363956.55454078,4144134.89790871,29874560.6353921,0,3195265.33661204,12378858.725266,0,1260.28137479524,3686020.49033819,292746.13342967,0
1987,3633273.26205694,5037705.14368329,156229597.427435,0,6035017.95008229,11402510.0759635,0,6216.52425341139,10803992.0988093,371435.121462572,0
1988,3482258.88624835,5467930.54693217,135160240.903164,0,7113262.0499782,17353941.4401813,0,8230.24007882265,12213060.9047218,521604.783613015,0
1989,3203126.20599871,5241342.18555552,224556461.438103,0,7050785.75103925,13829851.0321612,0,1063.11876671702,6126528.50433957,496033.098384352,0
1990,3198400.32501055,5315695.55925842,236447109.338489,0,7884153.57082278,17004683.6001165,0,6466.82610316401,11350040.836542,278750.577698808,0
1991,2596358.20491531,5674698.63744598,47230561.0755601,0,7246298.54290309,13018698.6849986,0,5510.81372877355,11370278.0942628,256443.749895692,0
1992,2836839.05598306,5879501.20171253,96555520.8626147,0,6285264.5866006,13456913.6060326,2563.5331794286,19143.1982759476,11062915.4359171,303374.763363581,0
1993,3428915.43460282,6007121.71476658,87738229.9175465,0,6455009.60193731,24471652.891253,0,404.469568197162,15874400.2582521,430457.817366294,0
1994,5396607.2188949,7135827.68285763,103033201.227075,0,6206543.2941901,15299233.8577671,5012.26323993715,451.79873907955,9318588.80074255,454284.438655214,0
1995,4237148.32740151,5604065.06808888,138742071.039101,0,6620241.88194334,17438419.9332768,1005.24544243879,639.190072628466,3821252.29938897,558136.561362025,0
1996,4052511.1907173,5685912.04381389,179076880.671689,0,5802806.098758,8775771.68446808,2803.57056072682,42041.6829991378,8991706.96552715,856597.078048253,0
1997,3278055.28788397,6600482.22716625,279881024.720824,0,6731634.71283907,13961101.2967681,0,23985.7566351984,9381478.913537,980154.345461668,0
1998,2903694.63911135,5852000.4326725,93372133.9242522,0,6155292.59538666,7404351.94149501,2124.07065582435,14884.6313783556,5465987.6452202,646698.41757512,0
1999,2586631.21908951,4118192.47512846,119018168.243655,0,5286424.33328547,8464815.24550654,2079.50249227622,4603.61750388042,2432631.2632513,748571.631816416,0
