"year","Apex predators","Benthic foragers","Infauna","Mesozooplankton","Motile epifauna","Pelagic foragers","Poor Apex predators","Poor Pelagic foragers","Shrimp","Structural epifauna","<NA>"
1982,3700580.32911745,5889057.51082535,53944417.4805212,0,7456059.74196876,20954989.6131065,0,794.256720861182,5637026.66367626,273425.357277189,0
1983,4548813.83040591,5840485.91145496,21796454.4208173,0,6201969.33241935,13521893.1377483,0,759.897909746192,3969003.22378512,308804.272025831,0
1984,3779965.45155714,5696389.95668254,60826655.8899401,0,5247339.58029065,11616305.1984501,0,3194.70450469061,7960416.82762664,306172.07479013,0
1985,3963122.08359801,4161525.62600163,106525276.218615,0,2712234.50028406,9905076.24180705,0,949.314644937447,4884682.24597212,155989.674780346,0
1986,4364602.28550797,4140475.09890152,29730813.9773967,0,3179800.37805363,12472717.1131141,0,1260.28137479524,3688281.54988594,309988.097834787,0
1987,3630049.93725082,5023302.53941572,155528447.746129,0,6043839.06671492,11357714.8261463,0,6216.39078435263,10721089.9512105,369646.923409291,0
1988,3483730.72065731,5457753.74638266,134889684.405551,0,7094382.83199731,17401933.6072692,0,8230.24007882265,12210023.0616588,544496.153982082,0
1989,3207095.86505483,5227126.12324091,220838177.767893,0,7039141.20689084,13833516.2410383,0,1063.11876671702,6121545.75432038,541158.817866088,0
1990,3188520.52900307,5321027.13326302,236050777.307634,0,7864357.34719979,16969860.0778118,0,6466.82610316401,11341540.3389442,277608.728920341,0
1991,2589848.4726,5644549.44420046,47017537.6914602,0,7218562.70040321,13217501.5087375,0,5510.73430304237,11370104.7045965,254347.455624587,0
1992,2834186.42987928,5874143.2941425,95482472.9389099,0,6263872.20652608,13489659.8510604,2563.5331794286,19143.1982759476,11061362.0614703,298978.981067065,0
1993,3427849.12948673,5979820.94433365,87679385.2394231,0,6438729.47382301,24450360.6792276,0,404.469568197162,15879326.9803891,434415.629918462,0
1994,5381915.85510088,7095383.49885763,102931522.352762,0,6193847.37578052,15316753.0885125,5012.26323993715,451.79873907955,9318498.32943196,458712.638829436,0
1995,4219054.4360194,5581196.11417546,137442076.704915,0,6600680.30160531,17430651.1335127,1005.24544243879,639.190072628466,3819387.30311511,552185.700928438,0
1996,4050566.4137316,5676278.9807184,178137561.758333,0,5752684.90476702,8910409.44000681,2803.57056072682,42041.6829991378,8934942.85077509,862625.12373821,0
1997,3278296.12866722,6590735.83443805,279334482.031772,0,6704989.54575682,13918798.8394403,0,23985.7566351984,9374909.90651518,985421.453501941,0
1998,2906019.0418695,5848390.17715619,93100633.2053827,0,6135877.76830797,7452586.14539731,2124.07065582435,14884.6313783556,5461938.70051759,650889.581900173,0
1999,2578256.83762867,4112879.57386669,118593127.912485,0,5272305.40806086,8418796.14668742,2079.50249227622,4599.30177106442,2429376.77052124,753204.605168527,0
2000,2634338.36951222,4766414.98359014,84069886.8309895,0,5596804.75965277,11529530.2816168,1462.64159065624,4030.40499469957,1355127.0493857,1066462.48507902,0
2001,3537735.87513733,5270524.8233879,183997341.473328,0,6339288.67343019,9608515.09148641,0,1377.28276654698,2293852.74861639,923788.523611918,0
2002,2784317.97338786,5131448.03331635,134270906.884894,0,6047440.1745182,11170841.6068711,5602.29261730763,6778.63032557996,2578330.463689,858021.221892404,0
2003,3208458.61811296,5487504.07308986,100925866.263743,0,6692760.07530151,19675533.0558851,723.464366200427,58770.7764677589,4352309.38186203,868866.073045465,0
2004,3180665.39976231,6128738.58605474,288337437.47425,0,7099940.47313636,11801261.5694978,3093.43535086454,97291.1906187505,7629495.4117807,922112.0983944,0
2005,3577859.22739626,6555458.87786225,164615276.997257,0,8474525.61180766,12429022.6558678,1679.01127350937,308580.210317681,3615852.3841371,786004.448666041,0
2006,3245228.25474951,6136516.28981026,154338175.070152,0,8215120.46282544,7540477.92438179,2944.31138429353,34913.5375322359,4534289.86250677,787955.860166463,0
2007,2776711.76795154,5664334.43445402,234887127.802662,0,7699152.56914844,9010017.10811648,0,8089.91709354832,3140527.26116201,636959.304691077,0
2008,2676411.19148676,5569235.01118036,137573224.849185,0,7124876.58227763,7644435.58061206,0,980.783687518416,4037324.59471968,815601.601668115,0
2009,2446519.20933641,4618022.77794442,109119201.567679,0,6274397.06080953,5940672.39769381,0,1290.82754746306,4126683.09369362,726239.774975229,0
