NN,GROUP,TL,BB,SS91,QQ,GUILD,B index,NOTES
1,Transient Killers,5.24,0.00039,#N/A,0,Apex predators,n/a,
2,Sperm and Beaked Whales,4.73,0.14647,#N/A,0,Apex predators,n/a,
3,Resident Killers,4.65,0.00391,#N/A,0,Apex predators,n/a,
4,Porpoises,4.66,0.06577,#N/A,0,Apex predators,n/a,
5,Humpbacks,3.94,0.14313,#N/A,0,Pelagic foragers,n/a,
6,Fin Whales,3.73,0.04394,#N/A,0,Pelagic foragers,n/a,
7,Sei whales,3.66,0.00633,#N/A,0,Pelagic foragers,n/a,
8,Right whales,3.5,0.00356,#N/A,0,Pelagic foragers,n/a,
9,Minke whales,4.12,0.09756,#N/A,0,Apex predators,n/a,
10,Sea Otters,3.53,0.00687,#N/A,0,Apex predators,n/a,
11,N. Fur Seal_Juv,4.57,0,#N/A,0,Apex predators,n/a,
12,N. Fur Seal,4.58,0,#N/A,0,Apex predators,n/a,
13,Steller Sea Lion_Juv,4.74,0.00545,#N/A,0,Apex predators,n/a,
14,Steller Sea Lion,4.75,0.05206,#N/A,0,Apex predators,n/a,
15,Resident seals,4.54,0.00362,#N/A,0,Apex predators,n/a,
16,Shearwater,4.54,0.00181,#N/A,0,Apex predators,n/a,
17,Murres,4.44,0.00134,#N/A,0,Apex predators,n/a,
18,Kittiwakes,4.41,0.00048,#N/A,0,Apex predators,n/a,
19,Auklets,3.57,0.00807,#N/A,0,Pelagic foragers,n/a,
20,Puffins,4.4,0.00411,#N/A,0,Apex predators,n/a,
21,Fulmars,4.6,0.00488,#N/A,0,Apex predators,n/a,
22,Storm Petrels,4.28,0.00353,#N/A,0,Apex predators,n/a,
23,Cormorants,4.48,0.00107,#N/A,0,Apex predators,n/a,
24,Gulls,4.47,0.00058,#N/A,0,Apex predators,n/a,
25,Albatross Jaeger,4.61,0.00008,#N/A,0,Apex predators,n/a,
26,Sleeper shark,4.81,0.01591,#N/A,0,Apex predators,poor survey est,
27,Salmon shark,4.75,0.00173,#N/A,0,Apex predators,poor survey est,
28,Dogfish,4.32,0.00122,#N/A,0,Apex predators,poor survey est,
29,W. Pollock_Juv,3.6,2.89452,#N/A,0,Pelagic foragers,poor survey est,
30,W. Pollock,3.87,5.69288,3.685482574,1.544676955,Pelagic foragers,good index,
31,P. Cod_Juv,3.68,0.0159,#N/A,0,Benthic foragers,poor survey est,
32,P. Cod,4.18,2.93247,3.376478638,0.868499497,Apex predators,good index,
33,Herring_Juv,3.52,0.00419,#N/A,0,Pelagic foragers,poor survey est,
34,Herring,3.52,0.01766,0.007053792,2.503618075,Pelagic foragers,good index,
35,Arrowtooth_Juv,4.01,0.00086,#N/A,0,Benthic foragers,poor survey est,
36,Arrowtooth,4.33,0.53109,0.830554623,0.639440183,Apex predators,good index,
37,Kamchatka fl._Juv,4.11,0.00229,#N/A,0,Apex predators,poor survey est,
38,Kamchatka fl.,4.54,0.50776,0.404621145,1.254902286,Apex predators,good index,
39,Gr. Turbot_Juv,4.11,0.00016,#N/A,0,Pelagic foragers,poor survey est,
40,Gr. Turbot,4.62,0.28438,0.234558669,1.212404559,Apex predators,good index,
41,P. Halibut_Juv,3.95,0.01407,#N/A,0,Benthic foragers,poor survey est,
42,P. Halibut,4.44,0.70447,0.863195372,0.816118833,Apex predators,good index,
43,YF. Sole_Juv,3.51,0.00016,#N/A,0,Benthic foragers,poor survey est,
44,YF. Sole,3.54,0.00025,0.00596883,0.041884256,Benthic foragers,good index?,
45,FH. Sole_Juv,3.5,0.00016,#N/A,0,Benthic foragers,poor survey est,
46,FH. Sole,3.84,0.07799,0.184240056,0.423306427,Benthic foragers,good index,
47,N. Rock sole,3.82,0.64577,0.778297946,0.829720807,Benthic foragers,present,Rock sole unID
48,S. Rock sole,3.97,0.0056,#N/A,1,Benthic foragers,good index?,
49,AK Plaice,3.7,0,#N/A,0,Benthic foragers,not present,
50,Dover Sole,3.48,0.00338,0.004565948,0.740262423,Benthic foragers,good index,
51,Rex Sole,3.53,0.11197,0.058620324,1.910088383,Benthic foragers,good index,
52,Misc. Flatfish,3.74,0.00455,0.01345721,0.338108711,Benthic foragers,good index,
53,Alaska skate,4.51,0.14754,0.067498152,2.185837632,Apex predators,good index,
54,Other skates,4.24,0.18913,0.279383576,0.676954612,Apex predators,good index,
