year,Apex predators,Benthic foragers,Infauna,Mesozooplankton,Motile epifauna,Pelagic foragers,Poor Apex predators,Poor Pelagic foragers,Shrimp,Structural epifauna,<NA>,,year,Apex predators,Benthic foragers,Infauna,Mesozooplankton,Motile epifauna,Pelagic foragers,Poor Apex predators,Poor Pelagic foragers,Shrimp,Structural epifauna,<NA>
1982,3700580.329,5889057.511,53944417.48,0,7456059.742,20954989.61,0,794.2567209,5637026.664,273425.3573,0,,1982,3715221.809,5882080.846,54027084.27,0,7460199.479,20944278.43,0,792.4387639,5681118.241,268933.5206,0
1983,4548813.83,5840485.911,21796454.42,0,6201969.332,13521893.14,0,759.8979097,3969003.224,308804.272,0,,1983,4547626.852,5806230.02,21778377.01,0,6211480.559,13576456.74,0,759.8979097,3974791.196,295978.0176,0
1984,3779965.452,5696389.957,60826655.89,0,5247339.58,11616305.2,0,3194.704505,7960416.828,306172.0748,0,,1984,3782439.161,5693141.047,60755856.72,0,5242122.469,11612478.8,0,3194.178689,7960791.842,307682.5001,0
1985,3963122.084,4161525.626,106525276.2,0,2712234.5,9905076.242,0,949.3146449,4884682.246,155989.6748,0,,1985,3966293.647,4163700.684,106647055.3,0,2717505.267,9892081.012,0,949.3146449,4885442.466,157409.0139,0
1986,4364602.286,4140475.099,29730813.98,0,3179800.378,12472717.11,0,1260.281375,3688281.55,309988.0978,0,,1986,4363956.555,4144134.898,29874560.64,0,3195265.337,12378858.73,0,1260.281375,3686020.49,292746.1334,0
1987,3630049.937,5023302.539,155528447.7,0,6043839.067,11357714.83,0,6216.390784,10721089.95,369646.9234,0,,1987,3633273.262,5037705.144,156229597.4,0,6035017.95,11402510.08,0,6216.524253,10803992.1,371435.1215,0
1988,3483730.721,5457753.746,134889684.4,0,7094382.832,17401933.61,0,8230.240079,12210023.06,544496.154,0,,1988,3482258.886,5467930.547,135160240.9,0,7113262.05,17353941.44,0,8230.240079,12213060.9,521604.7836,0
1989,3207095.865,5227126.123,220838177.8,0,7039141.207,13833516.24,0,1063.118767,6121545.754,541158.8179,0,,1989,3203126.206,5241342.186,224556461.4,0,7050785.751,13829851.03,0,1063.118767,6126528.504,496033.0984,0
1990,3188520.529,5321027.133,236050777.3,0,7864357.347,16969860.08,0,6466.826103,11341540.34,277608.7289,0,,1990,3198400.325,5315695.559,236447109.3,0,7884153.571,17004683.6,0,6466.826103,11350040.84,278750.5777,0
1991,2589848.473,5644549.444,47017537.69,0,7218562.7,13217501.51,0,5510.734303,11370104.7,254347.4556,0,,1991,2596358.205,5674698.637,47230561.08,0,7246298.543,13018698.68,0,5510.813729,11370278.09,256443.7499,0
