year,X0.,X5.,X10.,X15.,X20.,X25.,X30.,X35.,X40.,X45.,X50.,X55.,X60.,X65.,X70.,X75.,X80.,X85.,X90.,X95.,X100.
1984,35.87474968,1382.601521,1865.548705,2282.963949,2685.324104,3088.188773,3502.382448,3941.330375,4404.154323,4908.182075,5455.15755,6061.706692,6742.78759,7509.333016,8397.724874,9438.551587,10728.05926,12381.97783,14690.62811,18697.97061,87115.34663
1985,131.1250968,2745.295609,3438.37678,3980.529124,4465.05095,4922.320818,5363.026081,5802.52005,6247.749876,6701.866228,7177.976515,7681.226527,8220.601704,8812.425642,9469.566645,10222.61682,11115.71217,12225.96743,13733.83152,16215.16857,51501.43623
1986,779.9135057,2543.400398,2880.357351,3128.212103,3336.767361,3525.705219,3704.06237,3875.253033,4044.053956,4213.787338,4388.001862,4567.220145,4757.812442,4960.025144,5182.12391,5431.251296,5724.627255,6083.183233,6564.338935,7338.766573,17775.03291
1987,387.2340012,3228.694177,4008.949011,4637.694551,5198.246026,5736.594914,6266.096574,6793.941711,7339.052418,7909.54437,8504.201177,9143.057591,9843.596997,10617.0133,11500.01088,12526.69783,13763.10126,15341.08898,17538.82383,21215.16568,72453.81109
1988,0.423751555,39.38903754,70.31246796,102.0925362,134.8855929,169.3540638,206.177363,244.8876932,286.4031305,331.8248554,381.1307253,435.1529427,495.7874315,563.9249335,642.9661641,736.5323547,850.1853881,997.108588,1203.016705,1557.43385,7789.579303
1989,269.6305665,2726.632137,3370.610541,3863.863882,4294.290558,4693.020498,5070.744279,5438.058535,5805.223309,6174.684569,6557.63565,6959.140919,7381.601493,7838.128922,8337.556983,8899.651134,9553.423344,10360.02351,11442.65031,13174.88531,40495.59628
1990,42.7581805,403.2158359,535.4036553,653.428266,770.3908625,889.5359274,1014.309851,1147.247097,1290.395057,1444.530159,1612.229743,1799.80176,2008.863398,2243.953691,2514.411681,2835.251094,3227.873132,3733.835008,4446.164434,5668.474699,31366.71862
1991,243.0003613,1215.092003,1418.34883,1572.247059,1705.903179,1827.934516,1942.887346,2055.124275,2168.228805,2282.881374,2401.764865,2524.013083,2655.633499,2797.221564,2955.271319,3135.390201,3346.42203,3611.027951,3972.139326,4569.870059,14273.88426
1992,36.67777018,171.3474943,203.0868721,227.4625998,248.5193947,267.9211984,286.4096363,304.6163489,322.7491333,341.1922589,360.0796575,379.8950812,401.0770234,423.9887095,449.2617294,477.833671,511.2565128,552.6303088,607.8063819,699.849982,2075.09743
1993,896.7747249,3723.994626,4290.255596,4705.816905,5059.734991,5380.41428,5681.154786,5970.310326,6256.065706,6538.007654,6825.966496,7123.664875,7436.093042,7766.324,8124.429534,8523.638153,8985.738557,9544.626636,10281.50794,11437.93162,25385.08361
1994,550.2768288,2355.694571,2747.896545,3048.781617,3306.160129,3546.10755,3775.482444,4003.486475,4234.609669,4468.629613,4714.205988,4976.578186,5259.910173,5568.857512,5920.412299,6327.296892,6827.847727,7472.398078,8394.312201,10039.4861,62220.68537
