"year","model","stratum_bin","species_name","lbin","prey_guild","strat_preycons_t_km2","area","cons_tons_day","prey_lbin_mm","nprey","wtprey","tot_n","tot_w","n_prop","wt_prop","cons_prey_tons_day"
1984,"EBS","NW_inner","P.cod","[30,60)","Opilio",6.98043684778917e-05,41027,2.86386382554246,"[0,30)",292,464.428368300011,303,597.702426860571,0.963696369636964,0.777022724735146,2.22528727299342
1984,"EBS","NW_inner","P.cod","[30,60)","Opilio",6.98043684778917e-05,41027,2.86386382554246,"[30,95)",11,133.274058560561,303,597.702426860571,0.0363036303630363,0.222977275264854,0.638576552549039
1984,"EBS","NW_inner","P.cod","[60,85)","Opilio",0.000183813890152534,41027,7.54133247128803,"[0,30)",83,229.013269206782,104,1074.45694655286,0.798076923076923,0.213143271995696,1.60738427813772
1984,"EBS","NW_inner","P.cod","[60,85)","Opilio",0.000183813890152534,41027,7.54133247128803,"[30,95)",21,845.443677346081,104,1074.45694655286,0.201923076923077,0.786856728004304,5.93394819315031
1984,"EBS","NW_middle","P.cod","[30,60)","Opilio",6.73859764707948e-05,62703,4.22530288264824,"[0,30)",292,464.428368300011,303,597.702426860571,0.963696369636964,0.777022724735146,3.28315635870661
1984,"EBS","NW_middle","P.cod","[30,60)","Opilio",6.73859764707948e-05,62703,4.22530288264824,"[30,95)",11,133.274058560561,303,597.702426860571,0.0363036303630363,0.222977275264854,0.942146523941637
1984,"EBS","NW_middle","P.cod","[60,85)","Opilio",0.000726594134853346,62703,45.5596320377093,"[0,30)",83,229.013269206782,104,1074.45694655286,0.798076923076923,0.213143271995696,9.71072904343732
1984,"EBS","NW_middle","P.cod","[60,85)","Opilio",0.000726594134853346,62703,45.5596320377093,"[30,95)",21,845.443677346081,104,1074.45694655286,0.201923076923077,0.786856728004304,35.848902994272
1984,"EBS","NW_outer","P.cod","[30,60)","Opilio",0.000220919136810958,88134,19.470487203697,"[0,30)",292,464.428368300011,303,597.702426860571,0.963696369636964,0.777022724735146,15.1290110189374
1984,"EBS","NW_outer","P.cod","[30,60)","Opilio",0.000220919136810958,88134,19.470487203697,"[30,95)",11,133.274058560561,303,597.702426860571,0.0363036303630363,0.222977275264854,4.34147618475955
1984,"EBS","NW_outer","P.cod","[60,85)","Opilio",0.000284630468768217,88134,25.085621734418,"[0,30)",83,229.013269206782,104,1074.45694655286,0.798076923076923,0.213143271995696,5.34683149652022
1984,"EBS","NW_outer","P.cod","[60,85)","Opilio",0.000284630468768217,88134,25.085621734418,"[30,95)",21,845.443677346081,104,1074.45694655286,0.201923076923077,0.786856728004304,19.7387902378978
1984,"EBS","Pribs","P.cod","[30,60)","Opilio",0.000307953163972373,32785,10.0962444808342,"[0,30)",292,464.428368300011,303,597.702426860571,0.963696369636964,0.777022724735146,7.84501139609001
1984,"EBS","Pribs","P.cod","[30,60)","Opilio",0.000307953163972373,32785,10.0962444808342,"[30,95)",11,133.274058560561,303,597.702426860571,0.0363036303630363,0.222977275264854,2.25123308474424
1984,"EBS","Pribs","P.cod","[60,85)","Opilio",0.000150697753429836,32785,4.94062584619716,"[0,30)",83,229.013269206782,104,1074.45694655286,0.798076923076923,0.213143271995696,1.05306115856497
1984,"EBS","Pribs","P.cod","[60,85)","Opilio",0.000150697753429836,32785,4.94062584619716,"[30,95)",21,845.443677346081,104,1074.45694655286,0.201923076923077,0.786856728004304,3.88756468763219
1984,"EBS","SE_inner","P.cod","[30,60)","Opilio",0.000751020831803138,77871,58.4827431933421,"[0,30)",292,464.428368300011,303,597.702426860571,0.963696369636964,0.777022724735146,45.4424204660765
1984,"EBS","SE_inner","P.cod","[30,60)","Opilio",0.000751020831803138,77871,58.4827431933421,"[30,95)",11,133.274058560561,303,597.702426860571,0.0363036303630363,0.222977275264854,13.0403227272656
1984,"EBS","SE_inner","P.cod","[60,85)","Opilio",0.000121437434260532,77871,9.45645444330186,"[0,30)",83,229.013269206782,104,1074.45694655286,0.798076923076923,0.213143271995696,2.0155796415236
1984,"EBS","SE_inner","P.cod","[60,85)","Opilio",0.000121437434260532,77871,9.45645444330186,"[30,95)",21,845.443677346081,104,1074.45694655286,0.201923076923077,0.786856728004304,7.44087480177826
1984,"EBS","SE_middle","P.cod","[30,60)","Opilio",0.000129625346198634,94526,12.2529654747721,"[0,30)",292,464.428368300011,303,597.702426860571,0.963696369636964,0.777022724735146,9.52083261929307
1984,"EBS","SE_middle","P.cod","[30,60)","Opilio",0.000129625346198634,94526,12.2529654747721,"[30,95)",11,133.274058560561,303,597.702426860571,0.0363036303630363,0.222977275264854,2.732132855479
1984,"EBS","SE_middle","P.cod","[60,85)","Opilio",3.73399691126775e-05,94526,3.52959792034495,"[0,30)",83,229.013269206782,104,1074.45694655286,0.798076923076923,0.213143271995696,0.752310049571527
1984,"EBS","SE_middle","P.cod","[60,85)","Opilio",3.73399691126775e-05,94526,3.52959792034495,"[30,95)",21,845.443677346081,104,1074.45694655286,0.201923076923077,0.786856728004304,2.77728787077342
1984,"EBS","SE_outer","P.cod","[85,999)","Opilio",0.00152043788144152,38792,58.9808262968795,"[30,95)",3,256.791970816243,3,256.791970816243,1,1,58.9808262968795
1984,"EBS","StMatt","P.cod","[30,60)","Opilio",0.00206848744273746,27537,56.9599387106614,"[0,30)",292,464.428368300011,303,597.702426860571,0.963696369636964,0.777022724735146,44.259166777705
1984,"EBS","StMatt","P.cod","[30,60)","Opilio",0.00206848744273746,27537,56.9599387106614,"[30,95)",11,133.274058560561,303,597.702426860571,0.0363036303630363,0.222977275264854,12.7007719329563
1984,"EBS","StMatt","P.cod","[60,85)","Opilio",0.00262281414765127,27537,72.224433183873,"[0,30)",83,229.013269206782,104,1074.45694655286,0.798076923076923,0.213143271995696,15.3941520068452
1984,"EBS","StMatt","P.cod","[60,85)","Opilio",0.00262281414765127,27537,72.224433183873,"[30,95)",21,845.443677346081,104,1074.45694655286,0.201923076923077,0.786856728004304,56.8302811770278
