"year","model","stratum_bin","species_name","lbin","prey_guild","strat_preycons_t_km2","area","cons_tons_day"
1982,"EBS","NW_corner","W.pollock","[10,25)","MISSING",0.0094498680480084,29522,278.979004513304
1982,"EBS","NW_corner","W.pollock","[25,40)","MISSING",0.00924873427219259,29522,273.04113318367
1982,"EBS","NW_corner","W.pollock","[40,55)","MISSING",0.00474659518770362,29522,140.128983131386
1982,"EBS","NW_corner","W.pollock","[55,999)","MISSING",0.00170368317910381,29522,50.2961348135026
1982,"EBS","NW_inner","W.pollock","[0,10)","MISSING",8.80632020925759e-06,41027,0.361296899225211
1982,"EBS","NW_inner","W.pollock","[10,25)","MISSING",0.00186379753775025,41027,76.4660215812797
1982,"EBS","NW_inner","W.pollock","[25,40)","MISSING",0.00618980714837487,41027,253.949217876376
1982,"EBS","NW_inner","W.pollock","[40,55)","MISSING",0.00206573788054456,41027,84.7510280251018
1982,"EBS","NW_inner","W.pollock","[55,999)","MISSING",0.00222434924000853,41027,91.2583762698299
1982,"EBS","NW_middle","W.pollock","[0,10)","MISSING",0,62703,0
1982,"EBS","NW_middle","W.pollock","[10,25)","MISSING",0.00741725355087971,62703,465.084049400811
1982,"EBS","NW_middle","W.pollock","[25,40)","Benth Amph",7.06938320102001e-05,62703,4.43271534853558
1982,"EBS","NW_middle","W.pollock","[25,40)","Copepod",0.000418460625339779,62703,26.2387365906802
1982,"EBS","NW_middle","W.pollock","[25,40)","Euphausiid",0.0373392840789935,62703,2341.28512960513
1982,"EBS","NW_middle","W.pollock","[25,40)","Gen. Fish",1.31516196535359e-05,62703,0.824646007135663
1982,"EBS","NW_middle","W.pollock","[25,40)","Glopp",0.00560529542744704,62703,351.468839187212
1982,"EBS","NW_middle","W.pollock","[25,40)","Hermit Crab",2.39120357337017e-06,62703,0.14993563766103
1982,"EBS","NW_middle","W.pollock","[25,40)","Mysid",1.4347221440221e-05,62703,0.899613825966178
1982,"EBS","NW_middle","W.pollock","[25,40)","Pel Amph",0.000956481429348067,62703,59.9742550644119
1982,"EBS","NW_middle","W.pollock","[25,40)","Pteropod",0.00059377691222915,62703,37.2315937275044
1982,"EBS","NW_middle","W.pollock","[40,55)","Benth Amph",0.000312121870996356,62703,19.5709776770845
1982,"EBS","NW_middle","W.pollock","[40,55)","Chaeteg etc.",8.13519686441603e-05,62703,5.10101248989478
1982,"EBS","NW_middle","W.pollock","[40,55)","Copepod",0.000118475930295582,62703,7.42879625732387
1982,"EBS","NW_middle","W.pollock","[40,55)","Euphausiid",0.00953930013932714,62703,598.14273663623
1982,"EBS","NW_middle","W.pollock","[40,55)","Fish Eggs",2.68136873417051e-07,62703,0.0168129863738694
1982,"EBS","NW_middle","W.pollock","[40,55)","Gen. Fish",2.79861442707018e-05,62703,1.75481520420582
1982,"EBS","NW_middle","W.pollock","[40,55)","Gen. Gadid",0.000464413064758332,62703,29.1200923995417
1982,"EBS","NW_middle","W.pollock","[40,55)","Glopp",0.00316230071834319,62703,198.285741942273
1982,"EBS","NW_middle","W.pollock","[40,55)","Hermit Crab",3.80477492322343e-07,62703,0.0238570802010878
1982,"EBS","NW_middle","W.pollock","[40,55)","Misc. Crab",6.11994413996466e-06,62703,0.383738857408204
1982,"EBS","NW_middle","W.pollock","[40,55)","Misc. Crustacean",6.22555234477029e-06,62703,0.390360808674132
1982,"EBS","NW_middle","W.pollock","[40,55)","Mysid",8.05410793534717e-06,62703,0.505016729870074
1982,"EBS","NW_middle","W.pollock","[40,55)","NP Shrimp",9.74143620944298e-05,62703,6.10817274640703
1982,"EBS","NW_middle","W.pollock","[40,55)","Pandalidae",3.83731250332951e-05,62703,2.4061100589627
1982,"EBS","NW_middle","W.pollock","[40,55)","Pel Amph",0.000452556918400635,62703,28.376676454475
1982,"EBS","NW_middle","W.pollock","[40,55)","Pel. Gel. Filter Feeder",1.36971897236043e-05,62703,0.858854887239162
1982,"EBS","NW_middle","W.pollock","[40,55)","Polychaete",1.90128708706351e-06,62703,0.119216404220144
1982,"EBS","NW_middle","W.pollock","[40,55)","Pteropod",0.000134169060373002,62703,8.41280259256837
1982,"EBS","NW_middle","W.pollock","[40,55)","W. Pollock",0.00106342128131634,62703,66.6797046023783
1982,"EBS","NW_middle","W.pollock","[55,999)","Benth Amph",1.90262801622529e-05,62703,1.19300484501374
1982,"EBS","NW_middle","W.pollock","[55,999)","Chaeteg etc.",7.57098705344504e-08,62703,0.00474723601212165
1982,"EBS","NW_middle","W.pollock","[55,999)","Copepod",9.91386648480048e-08,62703,0.00621629170196445
1982,"EBS","NW_middle","W.pollock","[55,999)","Euphausiid",0.00227261288846662,62703,142.499645945522
1982,"EBS","NW_middle","W.pollock","[55,999)","Gen. Fish",1.33146013251109e-05,62703,0.834865446888426
1982,"EBS","NW_middle","W.pollock","[55,999)","Gen. Flatfish",1.36260095528442e-06,62703,0.0854391676991988
1982,"EBS","NW_middle","W.pollock","[55,999)","Gen. Gadid",0.000583282652543733,62703,36.5735721624497
1982,"EBS","NW_middle","W.pollock","[55,999)","Glopp",0.00044430656474628,62703,27.859354529286
1982,"EBS","NW_middle","W.pollock","[55,999)","Mysid",3.03846981434063e-06,62703,0.190521172768601
1982,"EBS","NW_middle","W.pollock","[55,999)","NP Shrimp",4.95362482853301e-07,62703,0.0310607137623505
1982,"EBS","NW_middle","W.pollock","[55,999)","Pandalidae",4.39634067691165e-05,62703,2.75663749464391
1982,"EBS","NW_middle","W.pollock","[55,999)","Pel Amph",0.000204214834113828,62703,12.8048827434393
1982,"EBS","NW_middle","W.pollock","[55,999)","Polychaete",2.29527368509059e-05,62703,1.43920545876235
1982,"EBS","NW_middle","W.pollock","[55,999)","Pteropod",4.81159228702242e-05,62703,3.01701271173167
1982,"EBS","NW_middle","W.pollock","[55,999)","W. Pollock",7.13194851256538e-05,62703,4.47194567583387
1982,"EBS","NW_outer","W.pollock","[0,10)","MISSING",0,88134,0
1982,"EBS","NW_outer","W.pollock","[10,25)","Benth Amph",8.08323087028467e-05,88134,7.12407469521669
1982,"EBS","NW_outer","W.pollock","[10,25)","Chaeteg etc.",2.07295034800012e-05,88134,1.82697405970643
1982,"EBS","NW_outer","W.pollock","[10,25)","Copepod",0.0115722509318746,88134,1019.90876362983
1982,"EBS","NW_outer","W.pollock","[10,25)","Euphausiid",5.94264928070059e-05,88134,5.23749451705265
1982,"EBS","NW_outer","W.pollock","[10,25)","Gen. Fish",3.5066654644416e-05,88134,3.09056454043096
1982,"EBS","NW_outer","W.pollock","[10,25)","Glopp",0.00131907339418502,88134,116.255214523102
1982,"EBS","NW_outer","W.pollock","[10,25)","Misc. Crab",0.000139629043038675,88134,12.3060660791706
1982,"EBS","NW_outer","W.pollock","[10,25)","Misc. Crustacean",5.60256850810844e-07,88134,0.0493776772893629
1982,"EBS","NW_outer","W.pollock","[10,25)","Pteropod",1.64223266373669e-05,88134,1.44736533585769
1982,"EBS","NW_outer","W.pollock","[25,40)","Benth Amph",2.49602992611694e-05,88134,2.1998510150839
1982,"EBS","NW_outer","W.pollock","[25,40)","Chaeteg etc.",3.56533065310827e-05,88134,3.14226851781044
1982,"EBS","NW_outer","W.pollock","[25,40)","Copepod",0.028565326356336,88134,2517.57647308932
1982,"EBS","NW_outer","W.pollock","[25,40)","Euphausiid",0.00182093693289509,88134,160.486455643776
1982,"EBS","NW_outer","W.pollock","[25,40)","Gen. Particulate",6.78947355908693e-07,88134,0.0598383462656567
1982,"EBS","NW_outer","W.pollock","[25,40)","Glopp",0.00477212576470858,88134,420.586532146826
1982,"EBS","NW_outer","W.pollock","[25,40)","Hermit Crab",2.03684206772608e-06,88134,0.17951503879697
1982,"EBS","NW_outer","W.pollock","[25,40)","Misc. Crab",0.000107273682233574,88134,9.45445870997377
1982,"EBS","NW_outer","W.pollock","[25,40)","Misc. Crustacean",6.02693205487669e-07,88134,0.0531177629724503
1982,"EBS","NW_outer","W.pollock","[25,40)","NP Shrimp",6.02693205487669e-07,88134,0.0531177629724503
1982,"EBS","NW_outer","W.pollock","[25,40)","Pel. Gel. Filter Feeder",0.000470786143127946,88134,41.4922659384384
1982,"EBS","NW_outer","W.pollock","[25,40)","Pteropod",4.98241335957356e-05,88134,4.39120019032656
1982,"EBS","NW_outer","W.pollock","[40,55)","Benth Amph",2.53789772618389e-06,88134,0.223675078199491
1982,"EBS","NW_outer","W.pollock","[40,55)","Chaeteg etc.",1.05559366887445e-05,88134,0.930336924125804
1982,"EBS","NW_outer","W.pollock","[40,55)","Copepod",0.00193714290582936,88134,170.728152862364
1982,"EBS","NW_outer","W.pollock","[40,55)","Euphausiid",4.04296740235689e-05,88134,3.56322889039322
1982,"EBS","NW_outer","W.pollock","[40,55)","Glopp",0.000136451995417042,88134,12.0260601640856
1982,"EBS","NW_outer","W.pollock","[40,55)","Misc. Crustacean",6.50743006713817e-08,88134,0.00573525841537156
1982,"EBS","NW_outer","W.pollock","[40,55)","Pel. Gel. Filter Feeder",0.000263306949670849,88134,23.2062947022906
1982,"EBS","NW_outer","W.pollock","[40,55)","Pteropod",1.95222902014145e-07,88134,0.0172057752461147
1982,"EBS","NW_outer","W.pollock","[40,55)","W. Pollock",0.00391421918538361,88134,344.975793684599
1982,"EBS","NW_outer","W.pollock","[55,999)","W. Pollock",0.00190298988343985,88134,167.718110387087
1982,"EBS","Pribs","W.pollock","[0,10)","MISSING",0,32785,0
1982,"EBS","Pribs","W.pollock","[10,25)","MISSING",0.00143726776957451,32785,47.1208238255002
1982,"EBS","Pribs","W.pollock","[25,40)","Benth Amph",4.81171408454149e-06,32785,0.157752046261693
1982,"EBS","Pribs","W.pollock","[25,40)","Copepod",0.000165353601837639,32785,5.42111783624699
1982,"EBS","Pribs","W.pollock","[25,40)","Euphausiid",0.0273171091156341,32785,895.591422356063
1982,"EBS","Pribs","W.pollock","[25,40)","Glopp",0.00501102789710363,32785,164.286549606543
1982,"EBS","Pribs","W.pollock","[25,40)","Mysid",7.50599808889879e-06,32785,0.246084147344547
1982,"EBS","Pribs","W.pollock","[25,40)","Pel. Gel. Filter Feeder",0.00395379084806685,32785,129.625032953872
1982,"EBS","Pribs","W.pollock","[25,40)","Pteropod",2.87158528980875e-06,32785,0.0941449237263799
1982,"EBS","Pribs","W.pollock","[40,55)","Benth Amph",4.19799506267757e-06,32785,0.137631268129884
1982,"EBS","Pribs","W.pollock","[40,55)","Copepod",8.74799355843717e-05,32785,2.86802968813363
1982,"EBS","Pribs","W.pollock","[40,55)","Euphausiid",0.0230261697183152,32785,754.912974214964
1982,"EBS","Pribs","W.pollock","[40,55)","Gen. Fish",5.91718056533335e-05,32785,1.93994764834454
1982,"EBS","Pribs","W.pollock","[40,55)","Glopp",0.00263550160144624,32785,86.4049200034149
1982,"EBS","Pribs","W.pollock","[40,55)","Myctophidae",1.06906376472361e-05,32785,0.350492555264635
1982,"EBS","Pribs","W.pollock","[40,55)","Pel Amph",1.91465867516956e-06,32785,0.062772084665434
1982,"EBS","Pribs","W.pollock","[40,55)","Pel. Gel. Filter Feeder",0.00144103739620563,32785,47.2444110346017
1982,"EBS","Pribs","W.pollock","[55,999)","MISSING",0.000937045217128207,32785,30.7210274435483
1982,"EBS","SE_inner","W.pollock","[0,10)","MISSING",3.2294547564508e-06,77871,0.25148087133958
1982,"EBS","SE_inner","W.pollock","[10,25)","MISSING",0.000123502681766215,77871,9.61727733181693
1982,"EBS","SE_inner","W.pollock","[25,40)","Euphausiid",0.0159653258901156,77871,1243.23589238919
1982,"EBS","SE_inner","W.pollock","[25,40)","Mysid",0.000390817993243056,77871,30.43338795183
1982,"EBS","SE_inner","W.pollock","[25,40)","Pel Amph",1.18762095531804e-05,77871,0.924812314115713
1982,"EBS","SE_inner","W.pollock","[40,55)","Benth Amph",1.49519570374564e-06,77871,0.116432384646377
1982,"EBS","SE_inner","W.pollock","[40,55)","Chaeteg etc.",2.60467928699117e-06,77871,0.20282898075729
1982,"EBS","SE_inner","W.pollock","[40,55)","Copepod",1.67889403121764e-07,77871,0.0130737157104949
1982,"EBS","SE_inner","W.pollock","[40,55)","Euphausiid",0.0467847179584685,77871,3643.1727721439
1982,"EBS","SE_inner","W.pollock","[40,55)","Mysid",4.97414337758135e-05,77871,3.87341518955637
1982,"EBS","SE_inner","W.pollock","[40,55)","NP Shrimp",3.21195441491751e-07,77871,0.0250118102244042
