NODC_CODE,RACE,BASE_NAME,PREDATOR,Model,a_l_mm_g,b_l_mm_g,juv_cm,adu_1,adu_2,adu_3,vb_linf_mm,vb_k,vb_t0,CA,CB,C_TM,C_T0,C_Q
8710010201,310,spiny dogfish,race_310,EGOA,1.23278E-06,3.186963473,20,9999,9999,9999,NA,NA,NA,NA,NA,NA,NA,NA
8710010101,320,Pacific sleeper shark,race_320,EGOA,54000,NA,20,9999,9999,9999,NA,NA,NA,NA,NA,NA,NA,NA
8713040103,420,big skate,race_420,EGOA,1.68398E-05,2.883370791,20,9999,9999,9999,NA,NA,NA,NA,NA,NA,NA,NA
8713040105,435,Bering skate,race_435,EGOA,0.018280472,1.785316473,20,9999,9999,9999,NA,NA,NA,NA,NA,NA,NA,NA
8713040108,440,longnose skate,race_440,EGOA,1.70622E-05,2.854577856,20,9999,9999,9999,NA,NA,NA,NA,NA,NA,NA,NA
8713040810,460,roughtail skate,race_460,EGOA,1.5305E-05,2.846993236,20,9999,9999,9999,NA,NA,NA,NA,NA,NA,NA,NA
8713040107,471,Alaska skate,race_471,EGOA,1.38439E-05,2.83787734,20,9999,9999,9999,NA,NA,NA,NA,NA,NA,NA,NA
8713040102,472,Aleutian skate,race_472,EGOA,0.386587384,1.4219643,20,9999,9999,9999,NA,NA,NA,NA,NA,NA,NA,NA
8713040899,480,whiteblotched skate,race_480,EGOA,11080,NA,20,9999,9999,9999,NA,NA,NA,NA,NA,NA,NA,NA
8716020101,710,spotted ratfish,race_710,EGOA,2.22463E-07,3.477077661,20,9999,9999,9999,NA,NA,NA,NA,NA,NA,NA,NA
8857030101,10010,Pacific sanddab,race_10010,EGOA,3.93522E-06,3.160659121,20,9999,9999,9999,NA,NA,NA,NA,NA,NA,NA,NA
8857040102,10110,arrowtooth flounder,race_10110,EGOA,3.203E-06,3.165720821,20,9999,9999,9999,NA,NA,NA,NA,NA,NA,NA,NA
8857041901,10120,Pacific halibut,race_10120,EGOA,4304,NA,20,9999,9999,9999,NA,NA,NA,NA,NA,NA,NA,NA
8857040601,10130,flathead sole,race_10130,EGOA,1.61127E-06,3.299140913,20,9999,9999,9999,NA,NA,NA,NA,NA,NA,NA,NA
8857041101,10150,slender sole,race_10150,EGOA,9.11709E-06,2.928505042,20,9999,9999,9999,NA,NA,NA,NA,NA,NA,NA,NA
8857040401,10160,petrale sole,race_10160,EGOA,1.37033E-06,3.349489911,20,9999,9999,9999,NA,NA,NA,NA,NA,NA,NA,NA
8857041301,10170,English sole,race_10170,EGOA,2.77964E-06,3.207693847,20,9999,9999,9999,NA,NA,NA,NA,NA,NA,NA,NA
8857041201,10180,Dover sole,race_10180,EGOA,2.39531E-06,3.22937904,20,9999,9999,9999,NA,NA,NA,NA,NA,NA,NA,NA
8857040301,10190,deepsea sole,race_10190,EGOA,3.44794E-07,3.621144309,20,9999,9999,9999,NA,NA,NA,NA,NA,NA,NA,NA
8857040501,10200,rex sole,race_10200,EGOA,8.18119E-07,3.349785089,20,9999,9999,9999,NA,NA,NA,NA,NA,NA,NA,NA
8857041401,10220,starry flounder,race_10220,EGOA,2.28269E-06,3.292531995,20,9999,9999,9999,NA,NA,NA,NA,NA,NA,NA,NA
8857041701,10250,sand sole,race_10250,EGOA,6.14103E-06,3.086227811,20,9999,9999,9999,NA,NA,NA,NA,NA,NA,NA,NA
8857040803,10261,northern rock sole,race_10261,EGOA,2.31621E-15,6.893538601,20,9999,9999,9999,NA,NA,NA,NA,NA,NA,NA,NA
8857040801,10262,southern rock sole,race_10262,EGOA,3.26774E-06,3.217991243,20,9999,9999,9999,NA,NA,NA,NA,NA,NA,NA,NA
8857040701,10270,butter sole,race_10270,EGOA,4.23162E-05,2.770397896,20,9999,9999,9999,NA,NA,NA,NA,NA,NA,NA,NA
8831081201,20006,sawback poacher,race_20006,EGOA,7.58326E-09,4.078069181,20,9999,9999,9999,NA,NA,NA,NA,NA,NA,NA,NA
8827020101,20510,sablefish,race_20510,EGOA,4.90419E-06,3.099548865,20,9999,9999,9999,NA,NA,NA,NA,NA,NA,NA,NA
8840030103,20720,searcher,race_20720,EGOA,0.000170135,2.444592091,20,9999,9999,9999,NA,NA,NA,NA,NA,NA,NA,NA
8747010201,21110,Pacific herring,race_21110,EGOA,9.09011E-06,3.038230713,20,9999,9999,9999,NA,NA,NA,NA,NA,NA,NA,NA
8794010108,21230,giant grenadier,race_21230,EGOA,0.000431136,2.782512791,20,9999,9999,9999,NA,NA,NA,NA,NA,NA,NA,NA
