NODC_CODE,RACE,BASE_NAME,EGOA_PREY,A_L_mm_g,B_L,CA,CB,C_TM,C_TO,C_Q
8599999999,0,Misc. fish,Shelf_demersals,,,NA,NA,NA,NA,NA
8603010000,0,Petromyzontidae (Lampreys) ,Shelf_demersals,,,NA,NA,NA,NA,NA
8603010200,0,Lampetra sp. (lamprey),Shelf_demersals,,,NA,NA,NA,NA,NA
8603010201,0,Arcitc Lamprey Lethenteron camtschaticum,Shelf_demersals,,,NA,NA,NA,NA,NA
8603010202,0,Lampetra ayresi (river lamprey),Shelf_demersals,,,NA,NA,NA,NA,NA
8603010211,21,Lampetra tridentata (Pacific lamprey),Shelf_demersals,,,NA,NA,NA,NA,NA
8606010100,109,Eptatretus sp.,Shelf_demersals,,,NA,NA,NA,NA,NA
8606010102,120,Eptatretus stouti (Pacific hagfish),Shelf_demersals,,,NA,NA,NA,NA,NA
8700000000,0,Gnathostomata,Shelf_demersals,,,NA,NA,NA,NA,NA
8701000000,151,Chondrichthyes,Shelf_demersals,,,NA,NA,NA,NA,NA
8710010101,320,Somniosus pacificus (Pacific sleeper shark),Pacific_sleeper_shark,,,NA,NA,NA,NA,NA
8710010201,310,Squalus acanthias (spiny dogfish),Pacific_dogfish,,,NA,NA,NA,NA,NA
8713040000,400,Rajidae (skate),Other_skates,,,NA,NA,NA,NA,NA
8713040101,410,Bathyraja abyssicola (Deepsea skate),Other_skates,,,NA,NA,NA,NA,NA
8713040102,472,Bathyraja aleutica (Aleutian skate),Other_skates,,,NA,NA,NA,NA,NA
8713040103,420,Bathyraja binoculata (big skate),Big_skate,,,NA,NA,NA,NA,NA
8713040105,435,Bathyraja interrupta (Bering skate),Other_skates,,,NA,NA,NA,NA,NA
8713040107,471,Bathyraja parmifera (Alaska skate),Other_skates,,,NA,NA,NA,NA,NA
8713040108,440,Raja Rhina (longnose skate),Longnose_skate,,,NA,NA,NA,NA,NA
8713040199,477,Bathyraja panthera (leopard skate),Other_skates,,,NA,NA,NA,NA,NA
8713040800,405,Bathyraja sp. (skate),Other_skates,,,NA,NA,NA,NA,NA
8713040810,460,Bathyraja trachura (black skate),Other_skates,,,NA,NA,NA,NA,NA
8713040895,495,Bathyraja violacea (Okhotsk skate),Other_skates,,,NA,NA,NA,NA,NA
8713040896,475,Bathyraja lindbergi (commander skate),Other_skates,,,NA,NA,NA,NA,NA
8713040897,485,Bathyraja minispinosa (whitebrow skate),Other_skates,,,NA,NA,NA,NA,NA
8713040898,455,Bathyraja tarantetzi (mud skate),Other_skates,,,NA,NA,NA,NA,NA
8713040899,480,Bathyraja maculata (white blotched skate),Other_skates,,,NA,NA,NA,NA,NA
8716020101,710,Hydrolagus colliei (ratfish),Shelf_demersals,,,NA,NA,NA,NA,NA
8717000000,0,Osteichthyes,MISC_NA,,,NA,NA,NA,NA,NA
8730000000,0,Holostei (fish),MISC_NA,,,NA,NA,NA,NA,NA
8735000000,0,Teleostei (fish),MISC_NA,,,NA,NA,NA,NA,NA
8735000009,0,Scavenged fish (not an NODC code- J. Drazen),MISC_NA,,,NA,NA,NA,NA,NA
8735010000,0,Non-gadoid fish remains,MISC_NA,,,NA,NA,NA,NA,NA
8735020000,1,Fish eggs,MISC_NA,,,NA,NA,NA,NA,NA
8741200102,0,Avocettina infans (Blackline snipe eel),Miscellaneous_deep-sea_fish,,,NA,NA,NA,NA,NA
8741210000,22701,Nemichthyidae (snipe eel),Miscellaneous_deep-sea_fish,,,NA,NA,NA,NA,NA
8741210102,22704,Avocettina infans (Blackline snipe eel),Miscellaneous_deep-sea_fish,,,NA,NA,NA,NA,NA
8747000000,0,Clupeoidei,Shelf_forage_fish,,,NA,NA,NA,NA,NA
8747010000,0,Clupeidae,Shelf_forage_fish,,,NA,NA,NA,NA,NA
8747010101,21120,Alosa sapidissima (American shad),Shelf_forage_fish,,,NA,NA,NA,NA,NA
8747010201,21110,Clupea pallasi (Pacific herring),Pacific_herring,,,NA,NA,NA,NA,NA
8747010301,21130,Sardinops sagax (Pacific sardine),Shelf_forage_fish,,,NA,NA,NA,NA,NA
8747020101,20610,Engraulis mordax (northern anchovy),Shelf_forage_fish,,,NA,NA,NA,NA,NA
8754000000,0,Salmoniformes,MISC_NA,,,NA,NA,NA,NA,NA
8755010000,0,"Salmonidae (salmon, whitefish)",MISC_NA,,,NA,NA,NA,NA,NA
8755010100,0,Coregonus (salmonidae),MISC_NA,,,NA,NA,NA,NA,NA
8755010200,23202,Oncorhynchus sp. (salmon),MISC_NA,,,NA,NA,NA,NA,NA
8755010201,23230,Oncorhynchus gorbuscha (pink salmon),Pink_salmon,,,NA,NA,NA,NA,NA
8755010202,23235,Oncorhynchus keta (chum salmon),Chum_salmon,,,NA,NA,NA,NA,NA
8755010203,23225,Oncorhynchus kisutch (coho salmon),Coho_salmon,,,NA,NA,NA,NA,NA
8755010205,23240,Oncorhynchus nerka (sockeye salmon),Sockeye_salmon,,,NA,NA,NA,NA,NA
8755010206,23220,Oncorhynchus tshawytscha (chinook salmon),Chinook_salmon,,,NA,NA,NA,NA,NA
8755010302,23260,Oncorhynchus mykiss (steelhead),MISC_NA,,,NA,NA,NA,NA,NA
8755010401,23252,Salvelinus malma Dolly Varden,MISC_NA,,,NA,NA,NA,NA,NA
8755030000,23000,Osmeridae (smelts),Shelf_forage_fish,,,NA,NA,NA,NA,NA
8755030101,23020,Hypomesus pretiosus (surf smelt),Shelf_forage_fish,,,NA,NA,NA,NA,NA
8755030201,23041,Mallotus villosus (capelin),Pacific_capelin,,,NA,NA,NA,NA,NA
8755030302,23055,Osmerus mordax (rainbow smelt),Shelf_forage_fish,,,NA,NA,NA,NA,NA
8755030402,23061,Spirinchus thaleichthys (Longfin smelt),Shelf_forage_fish,,,NA,NA,NA,NA,NA
8755030501,23010,Thaleichthys pacificus (eulachon),Shelf_forage_fish,,,NA,NA,NA,NA,NA
8755030601,23030,Allosmerus elongatus (whitebait smelt),Shelf_forage_fish,,,NA,NA,NA,NA,NA
8756010000,20571,Argentinidae (argentines),Shelf_forage_fish,,,NA,NA,NA,NA,NA
8756010101,20572,Nansenia candida (bluethroat argentine),Shelf_forage_fish,,,NA,NA,NA,NA,NA
8756010206,20573,Argentina sialis (Pacific argentine),Shelf_forage_fish,,,NA,NA,NA,NA,NA
8756020000,20614,Bathylagidae (deepsea smelts),Slope_forage_fish,,,NA,NA,NA,NA,NA
8756020100,20660,Bathylagus sp.,Slope_forage_fish,,,NA,NA,NA,NA,NA
8756020103,20620,Pseudobathylagus milleri (stout blacksmelt),Slope_forage_fish,,,NA,NA,NA,NA,NA
8756020104,20624,Bathylagus ochotensis (eared blacksmelt),Slope_forage_fish,,,NA,NA,NA,NA,NA
8756020105,20615,Bathylagus pacificus (slender blacksmelt),Slope_forage_fish,,,NA,NA,NA,NA,NA
8756020300,0,Leuroglossus sp. (smooth tongues),Slope_forage_fish,,,NA,NA,NA,NA,NA
8756020301,20662,Leuroglossus stilbius (California smoothtongue),Slope_forage_fish,,,NA,NA,NA,NA,NA
8756020302,20622,Leuroglossus schmidti (northern smoothtongue),Slope_forage_fish,,,NA,NA,NA,NA,NA
8756030101,23963,Macropinna microstoma (Barreleye),Miscellaneous_deep-sea_fish,,,NA,NA,NA,NA,NA
8759000000,0,Stomioidei (stomiatoids),Slope_forage_fish,,,NA,NA,NA,NA,NA
8759010000,21800,Gonostomatidae (bristlemouth or anglemouth),Slope_forage_fish,,,NA,NA,NA,NA,NA
8759010100,21810,Cyclothone sp. (light fish),Slope_forage_fish,,,NA,NA,NA,NA,NA
8759010101,21811,Cyclothone atraria (black bristlemouth),Slope_forage_fish,,,NA,NA,NA,NA,NA
8759010106,0,Cyclothone microdon (veiled angelmouth),Slope_forage_fish,,,NA,NA,NA,NA,NA
8759010404,0,Sigmops gracilis,Slope_forage_fish,,,NA,NA,NA,NA,NA
8759020103,21824,Argyropelecus affinis (Pacific hatchetfish),Miscellaneous_deep-sea_fish,,,NA,NA,NA,NA,NA
8759040101,0,Aristostomias scintillans (Shining loosejaw),Miscellaneous_deep-sea_fish,,,NA,NA,NA,NA,NA
8759040301,22410,Tactostoma macropus (longfin dragonfish),Miscellaneous_deep-sea_fish,,,NA,NA,NA,NA,NA
8759060000,21000,Chauliodontidae (viperfishes),Miscellaneous_deep-sea_fish,,,NA,NA,NA,NA,NA
8759060101,21010,Chauliodus macouni (Pacific viperfish),Miscellaneous_deep-sea_fish,,,NA,NA,NA,NA,NA
8759080100,22110,Idiacanthus sp. (black dragonfish),Miscellaneous_deep-sea_fish,,,NA,NA,NA,NA,NA
8760010000,20100,Alepocephalidae ,Miscellaneous_deep-sea_fish,,,NA,NA,NA,NA,NA
8760010101,23710,Sagamichthys abei (shining tubeshoulder),Miscellaneous_deep-sea_fish,,,NA,NA,NA,NA,NA
8760010300,20110,Alepocephalus sp. (slickhead),Miscellaneous_deep-sea_fish,,,NA,NA,NA,NA,NA
8760011102,20150,Talismania bifurcata (threadfin slickback),Miscellaneous_deep-sea_fish,,,NA,NA,NA,NA,NA
8760700000,22951,Paralepididae (barracudina),Miscellaneous_deep-sea_fish,,,NA,NA,NA,NA,NA
8762070000,22951,Paralepididae (barracudina),Miscellaneous_deep-sea_fish,,,NA,NA,NA,NA,NA
8762070101,0,Lestidiops ringens (Slender barracudina),Miscellaneous_deep-sea_fish,,,NA,NA,NA,NA,NA
8762070399,0,Lestidiops ringens (baracudina),Miscellaneous_deep-sea_fish,,,NA,NA,NA,NA,NA
8762090102,23657,Alepisaurus ferox (longnose lancetfish),Miscellaneous_deep-sea_fish,,,NA,NA,NA,NA,NA
8762100101,22570,Anotopterus pharao (daggertooth),Miscellaneous_deep-sea_fish,,,NA,NA,NA,NA,NA
8762120101,23603,Benthalbella dentata (northern pearl eye),Miscellaneous_deep-sea_fish,,,NA,NA,NA,NA,NA
8762130101,23622,Scopelosaurus adleri (Waryfish),Miscellaneous_deep-sea_fish,,,NA,NA,NA,NA,NA
8762130104,23620,Scopelosaurus harryi (waryfish),Miscellaneous_deep-sea_fish,,,NA,NA,NA,NA,NA
8762140000,22600,Myctophidae (lanternfish),Slope_forage_fish,,,NA,NA,NA,NA,NA
8762140200,22609,Myctohpidae (lanternfish) Diaphus sp.,Slope_forage_fish,,,NA,NA,NA,NA,NA
8762140201,22610,Diaphus theta (California headlightfish),Slope_forage_fish,,,NA,NA,NA,NA,NA
8762140300,22620,Lampanyctus sp. (lampfish),Slope_forage_fish,,,NA,NA,NA,NA,NA
8762140301,22625,Lampanyctus jordani (broken line myctophid),Slope_forage_fish,,,NA,NA,NA,NA,NA
8762140302,22624,Nannobrachium regale (pinpoint lanternfish),Slope_forage_fish,,,NA,NA,NA,NA,NA
8762140319,22600,Lampanyctus tenuiformes (lantern fish),Slope_forage_fish,,,NA,NA,NA,NA,NA
8762140500,0,Stenobrachius sp. (lampfish),Slope_forage_fish,,,NA,NA,NA,NA,NA
8762140501,22602,Stenobrachius leucopsarus (northern lampfish),Slope_forage_fish,,,NA,NA,NA,NA,NA
8762140502,22603,Stenobranchius nannochir (garnet myctophid),Slope_forage_fish,,,NA,NA,NA,NA,NA
8762140601,22656,Symbolophorus californiense (bigfin lanterfish),Slope_forage_fish,,,NA,NA,NA,NA,NA
8762140701,22651,Tarletonbeania crenularis (blue laternfish),Slope_forage_fish,,,NA,NA,NA,NA,NA
8762141000,22648,Protomyctophum sp. (lampfish).,Slope_forage_fish,,,NA,NA,NA,NA,NA
8762141002,22649,Protomyctophum thompsoni (bigeye lanternfish),Slope_forage_fish,,,NA,NA,NA,NA,NA
8769010000,0,Gonastomatidae,Slope_forage_fish,,,NA,NA,NA,NA,NA
8788040000,22900,dreamer Oneirodidae,Miscellaneous_deep-sea_fish,,,NA,NA,NA,NA,NA
8788040200,0,Dreamer Oneirodes sp.,Miscellaneous_deep-sea_fish,,,NA,NA,NA,NA,NA
8788040202,22914,Oneirodes bulbosus (bulbus dreamer),Miscellaneous_deep-sea_fish,,,NA,NA,NA,NA,NA
8788040204,22915,Oneirodes thompsoni (Alaska dreamer),Miscellaneous_deep-sea_fish,,,NA,NA,NA,NA,NA
8791010102,21731,Antimora microlepis (Pacific flatnose),Shelf_demersals,,,NA,NA,NA,NA,NA
8791030000,21705,Gadidae (gadid fish),Shelf_demersals,,,NA,NA,NA,NA,NA
8791030201,21725,Boreogadus saida (Arctic cod),Shelf_demersals,,,NA,NA,NA,NA,NA
8791030301,21735,Eleginus gracilis (saffron cod),Shelf_demersals,,,NA,NA,NA,NA,NA
8791030401,21720,Gadus macrocephalus (Pacific cod),Pacific_cod,,,0.041,-0.122,21,13.7,2.41
8791030601,21710,Microgadus proximus (Pacific tomcod),Shelf_demersals,,,NA,NA,NA,NA,NA
8791030701,21740,Gadus chalcogrammus (walleye pollock),Walleye_pollock,,,0.119,-0.46,15,10,2.6
8791030702,0,G. chalcogrammus eggs (pollock eggs),MISC_NA,,,NA,NA,NA,NA,NA
8791040102,22500,Merluccius productus (Pacifc hake),Pacific_hake,,,NA,NA,NA,NA,NA
8793000000,0,Zoacoiidei ,Slope_demersals,,,NA,NA,NA,NA,NA
8793010000,24100,Zoarcidae (eelpout),Slope_demersals,,,NA,NA,NA,NA,NA
