NODC_CODE,RACE,BASE_NAME,EGOA
0,NA,Empty,MISC_NA
1499999999,NA,Misc. prey,MISC_NA
1500000000,NA,Phaeophycophyta (brown algae),Large_phytoplankton
3448000000,NA,Foraminiferida (protozoan),Microzooplankton
3450000000,NA,Textulariina (foram),Large_microzooplankton
3600000000,91000,Porifera (sponge),Sessile_epifauna
3630000000,NA,Hyalospongia (glass sponges),Sessile_epifauna
3666090100,91225,sponge Latrunculia sp.,Sessile_epifauna
3700000000,40001,Cnidaria,Sessile_epifauna
3701000000,40010,Hydrozoa,MISC_NA
3702000000,NA,Hydroida (hydroid),Sessile_epifauna
3704050000,NA,Sertulariidae (hydroid),Sessile_epifauna
3704050200,NA,Sertularia sp. (hydroid),Sessile_epifauna
3715000000,NA,Siphonophora,Gelatinous_carnivores
3717010000,NA,Agalmidae,Gelatinous_carnivores
3730000000,NA,Scyphozoa (jellyfish),Gelatinous_carnivores
3733010100,40510,Atolla sp.,Gelatinous_carnivores
3733060101,NA,Periphylla periphylla,Gelatinous_carnivores
3734010201,40504,Chrysaora melanaster (jellyfish),Gelatinous_carnivores
3734030101,40505,Phacellophora camtchatica,Gelatinous_carnivores
3734030203,40512,Aurelia labiata (moon jellyfish),Gelatinous_carnivores
3740000000,41000,Anthozoa (anemome),Sessile_epifauna
3743010000,NA,Cerianthidae (anemone),Sessile_epifauna
3752000000,42000,Pennatulacea (sea pen),Sessile_epifauna
3760010900,NA,Liponema sp. (sea anemone),Sessile_epifauna
3760020000,43100,Actinostolidae (anemone),Sessile_epifauna
3760040400,NA,Anemone Actinauge sp.,Sessile_epifauna
3800000000,45000,Ctenophora (comb jelly),Gelatinous_carnivores
3807010100,45005,Beroe sp. (ctenophore),Gelatinous_carnivores
3900000000,NA,Platyhelminthes,Infauna
3935000000,NA,Digenea (flatworm),Infauna
3960000000,NA,Cestoda (flatworm),Infauna
4300000000,NA,Rhynchocoela,Infauna
4302010102,92511,Orange Ribbon Worm Tubulanus polymorphus,Infauna
4306010100,92502,Ribbon Worm Emplectonema sp.,Infauna
4700000000,93500,Nematoda (worm),Infauna
4900000000,NA,Acanthocephala (parasitic worm),Infauna
5000000000,NA,Annelida (worm),Infauna
5001000000,50000,Polychaeta (worm),Infauna
5001010000,50160,Aphroditidae (sea mouse),Infauna
5001020000,56300,Polynoidae (polychaete),Infauna
5001020201,NA,Antinoella macrolepida (polychaete),Infauna
5001020203,NA,Antinoella badia (polychaete),Infauna
5001020301,NA,Arcteobia anticostiensis (polychaete),Infauna
5001020402,50301,Arctonoe vittata (polychaete),Infauna
5001020500,56310,Eunoe sp.,Infauna
5001020503,56311,Eunoe nodosa (polychaete),Infauna
5001020601,NA,Gattyana amondseni (polychaete),Infauna
5001020606,NA,Gattyana treadwelli,Infauna
5001020800,NA,Harmothoe sp. (polychaete),Infauna
5001021500,NA,Polynoe sp. (polychaete),Infauna
5001021501,NA,Polynoe canadensis (polychaete),Infauna
5001021502,NA,Polynoe gracilis (polychaete),Infauna
5001021600,NA,Polynoidae (polychaete) Polyeunoa sp.,Infauna
5001022301,NA,Tenonia kisapensis (polychaete),Infauna
5001060000,NA,Sigalionidae,Infauna
5001060101,NA,Pholoe minuta (polychaete),Infauna
5001060400,NA,polychaete Sigalion sp,Infauna
5001110000,NA,Euphrosinidae,Infauna
5001110105,NA,Euphrosine multibranchiata,Infauna
5001130000,NA,Phyllodocidae (polychaete),Infauna
5001130102,NA,Phyllodocidae (polychaete) Phyllodoce groenlandica,Infauna
5001130200,NA,Eteone sp. (polychaete),Infauna
5001130205,NA,Eteone longa (polychaete),Infauna
5001130210,NA,polychaete Eteone cf ornata,Infauna
5001130500,NA,Mystides sp. (polychaete),Infauna
5001131000,69318,Phyllodoce sp. (polychaete),Infauna
5001140000,NA,Alciopidae (polychaete),Infauna
5001200000,NA,Tomopteridae (polychaete),Infauna
5001200100,NA,Tomopteris,Infauna
5001210000,NA,polychaete Hesionidae,Infauna
5001230000,NA,Syllidae (polychaete),Infauna
5001240000,54000,Nereidae (polychaete),Infauna
5001250000,53700,Nephtyidae (polychaete),Infauna
5001250100,NA,Nephtys sp. (polychaete),Infauna
5001250103,NA,Nephtys caeca (polychaete),Infauna
5001250113,NA,Nephtys californiensis (polychaete),Infauna
5001260000,NA,Sphaerodoridae (polychaete),Infauna
5001260203,NA,Sphaerodoropsis biserialis (polychaete),Infauna
5001270000,NA,Glyceridae (polychaete),Infauna
5001270100,52715,Glycera sp. (polychaete),Infauna
5001270101,NA,Glycera capitata (polychaete),Infauna
5001280000,NA,Goniadidae (polychaete),Infauna
5001280103,NA,Glycinde armigera (polychaete),Infauna
5001280200,NA,Goniada sp. (polychaete),Infauna
5001290000,NA,Onuphidae (polychaete),Infauna
5001290100,NA,Onuphis sp. (polychaete),Infauna
5001290101,50215,Onuphis conchylega (polychaete),Infauna
5001290103,NA,Onuphis iridescens (polychaete),Infauna
5001290104,NA,Onuphis holobranchiata (polychaete),Infauna
5001290105,NA,Onuphis parva (polychaete),Infauna
5001300000,NA,Eunicidae,Infauna
5001300102,50005,Eunice valens (polychaete),Infauna
5001310000,NA,Lumbrineridae,Infauna
5001310100,NA,Lumbrineris sp. (polychaete),Infauna
5001310104,NA,Lumbrineris latreilli (polychaete),Infauna
5001310107,NA,Lumbrineris japonica (polychaete),Infauna
5001310127,NA,Lumbrineris minuta (polychaete),Infauna
5001310146,NA,Lumbrineris bifurcatus (polychaete),Infauna
5001310147,NA,Lumbrineris cervicalis (polychaete),Infauna
5001330000,NA,Arabellidae (polychaete),Infauna
5001330100,NA,Drilonereis sp. (polychaete),Infauna
5001330103,NA,Drilonereis longa (polychaete),Infauna
5001330104,NA,Drilonereis falcata minor (polychaete),Infauna
5001400000,NA,Orbiniidae (polychaete),Infauna
5001400102,NA,Haploscolopos elongatus (polychaete),Infauna
5001400301,NA,Scoloplos armiger (polychaete),Infauna
5001410000,NA,Paraonidae (polychaete),Infauna
5001410200,NA,Aricidea sp. (polychaete),Infauna
5001410301,NA,Tauberia gracilis (polychaete),Infauna
5001430000,NA,Spionidae (polychaete),Infauna
5001430500,NA,Prionospio sp. (polychaete),Infauna
5001430502,NA,Prionospio cirrifera (polychaete),Infauna
5001430506,NA,Prionospio steenstrupi (polychaete),Infauna
5001430510,NA,Prionospio nova (polychaete),Infauna
5001430804,NA,Boccardia californica (polychaete),Infauna
