NODCcode,sp_code,sp_Lname,sp_Cname,LW.intercept_a,LW.slope_b,EwEReg,n
NA,NA,NA,NA,NA,NA,NA,NA
8826010102,30060,Sebastes alutus,Pacific ocean perch,0.00793954,3.1272,WGOA,14594
8826010102,30060,Sebastes alutus,Pacific ocean perch,0.006754137,3.168,EGOA,5798
8826010102,30060,Sebastes alutus,Pacific ocean perch,0.006402287,3.1915,AI,15746
8826010102,30060,Sebastes alutus,Pacific ocean perch,0.007166055,3.1637,EBS,1846
8826010129,30420,Sebastes polyspinis,northern rockfish,0.010105252,3.0867,WGOA,11340
8826010129,30420,Sebastes polyspinis,northern rockfish,0.052318774,2.6079,EGOA,13
8826010129,30420,Sebastes polyspinis,northern rockfish,0.009701255,3.0839,AI,7016
8826010129,30420,Sebastes polyspinis,northern rockfish,0.006630335,3.2007,EBS,546
8827010501,21921,Pleurogrammus monopterygius,Atka mackerel,0.003083469,3.3656,WGOA,4526
8827010501,21921,Pleurogrammus monopterygius,Atka mackerel,0.003711571,3.2992,EGOA,22
8827010501,21921,Pleurogrammus monopterygius,Atka mackerel,0.004189391,3.2719,AI,8586
8827010501,21921,Pleurogrammus monopterygius,Atka mackerel,0.003218628,3.3585,EBS,585
8857040801,10262,Lepidopsetta bilineata,southern rock sole,0.003932028,3.2926,WGOA,6767
8857040801,10262,Lepidopsetta bilineata,southern rock sole,0.003202896,3.342,EGOA,286
8857040801,10262,Lepidopsetta bilineata,southern rock sole,0.003235085,3.3373,AI,492
8857040801,10262,Lepidopsetta bilineata,southern rock sole,0.003814293,3.2923,EBS,1898
8713040103,420,Beringraja binoculata,big skate,0.031939877,2.7088,WGOA,618
8713040103,420,Beringraja binoculata,big skate,0.009256771,2.9461,EGOA,181
8713040103,420,Beringraja binoculata,big skate,0.001946349,3.2767,EBS,12
8831021403,21347,Hemilepidotus jordani,yellow Irish lord,0.002894624,3.3858,WGOA,1332
8831021403,21347,Hemilepidotus jordani,yellow Irish lord,0.004689637,3.2539,EGOA,91
8831021403,21347,Hemilepidotus jordani,yellow Irish lord,0.002794785,3.3926,AI,1517
8831021403,21347,Hemilepidotus jordani,yellow Irish lord,0.003985869,3.2885,EBS,479
8857040601,10130,Hippoglossoides elassodon,flathead sole,0.002316032,3.3613,WGOA,17009
8857040601,10130,Hippoglossoides elassodon,flathead sole,0.00200743,3.4034,EGOA,3936
8857040601,10130,Hippoglossoides elassodon,flathead sole,0.001484615,3.4985,AI,364
