Species,NODC,RACE,NAME,ECOPATH_PRED
AK Plaice,8857041501,10285,Pleuronectes quadrituberculatus (Alaska plaice),AK Plaice
Anemones,3.74E+09,41000,Anthozoa (anemome),Anemones
Anemones,3760010900,0,Liponema sp. (sea anemone),Anemones
Anemones,3760020000,43100,Actinostolidae (anemone),Anemones
Anemones,3743010000,0,Cerianthidae (anemone),NA
Arrowtooth,8857040100,10111,Atheresthes sp.,Arrow or Kam
Arrowtooth,8857040102,10110,Atheresthes stomias (arrowtooth flounder),Arrowtooth
Arrowtooth_Juv,,,,
Atka mackerel,8827010501,21921,Pleurogrammus monopterygius (Atka mackerel),Atka
Atka mackerel_Juv,,,,
Bairdi,6187010302,68560,Chionoecetes bairdi (Tanner crab),Bairdi
Bathylagidae,8756020000,20614,Bathylagidae (deepsea smelts),Bathylagidae
Bathylagidae,8756020100,20660,Bathylagus sp.,Bathylagidae
Bathylagidae,8756020103,20620,Pseudobathylagus milleri (stout blacksmelt),Bathylagidae
Bathylagidae,8756020104,20624,Bathylagus ochotensis (eared blacksmelt),Bathylagidae
Bathylagidae,8756020105,20615,Bathylagus pacificus (slender blacksmelt),Bathylagidae
Bathylagidae,8756020300,0,Leuroglossus sp. (smooth tongues),Bathylagidae
Bathylagidae,8756020301,20662,Leuroglossus stilbius (California smoothtongue),Bathylagidae
Bathylagidae,8756020302,20622,Leuroglossus schmidti (northern smoothtongue),Bathylagidae
Benthic Amphipods,NA,NA,NA,NA
Big skate,8713040103,420,Bathyraja binoculata (big skate),Big Skate
Bivalves,NA,NA,NA,NA
Brittle stars,NA,NA,NA,NA
Capelin,8755030201,23041,Mallotus villosus (capelin),Capelin
Corals,,,,
Dogfish,8710010201,310,Squalus acanthias (spiny dogfish),Dogfish
Dover Sole,8857041201,10180,Microstomus pacificus (Dover sole),Dover Sole
Dusky Rock,8826010109,30151,Sebastes ciliatus (dark rockfish),Dusky Rock
Dusky Rock,8826010198,0,Sebastes variabilis (dusky rockfish),Sebastes
Dusky Rock,8826010190,NA,Dusky/ dark rockfish Sebastes variabilis/ ciliatus,NA
Eelpouts,NA,NA,NA,NA
Eulachon,8755030501,23010,Thaleichthys pacificus (eulachon),Eulachon
FH. Sole,8857040601,10130,Hippoglossoides elassodon (flathead sole),FH Sole
FH. Sole_Juv,,,,
Greenlings,8827010101,21935,Hexagrammos decagrammus (kelp greenling),Greenlings
Greenlings,8827010102,21934,Hexagrammos lagocephalus (rock greenling),Greenlings
Greenlings,8827010103,21931,Hexagrammos octogrammus (masked greenling),Greenlings
Greenlings,8827010104,21932,Hexagrammos stelleri (white-spotted greenling),Greenlings
Greenlings,8827010000,21900,Hexagrammidae (greenling),Gen. Hexagrammidae
Grenadiers,8794010101,21220,Coryphaenoides acrolepis (Pacific rattail),Pacific Grenadier
Grenadiers,8794010108,21230,Albatrosia pectoralis (giant grenadier),Giant Grenadier
Hermit crabs,NA,NA,NA,NA
Herring,8747010201,21110,Clupea pallasi (Pacific herring),Herring
Herring_Juv,,,,
Hydroids,NA,NA,NA,NA
King Crab,NA,NA,NA,NA
Lg. Sculpins,8831021400,21342,Hemilepidotus sp. (sculpin),Lg Sculpin
Lg. Sculpins,8831021402,21346,Hemilepidotus hemilepidotus (red Irish lord),Lg Sculpin
Lg. Sculpins,8831021403,21347,Hemilepidotus jordani (yellow Irish lord),Lg Sculpin
Lg. Sculpins,8831021404,21348,Hemilepidotus papilio (butterfly sculpin),Lg Sculpin
Lg. Sculpins,8831021406,21345,Hemilepidotus zapus (longfin irish lord),Lg Sculpin
Lg. Sculpins,8831021502,21420,Hemitripterus bolini (bigmouth sculpin),Lg Sculpin
Lg. Sculpins,8831022200,21375,Myoxocephalus sp. (sculpin),Lg Sculpin
Lg. Sculpins,8831022201,21371,Myoxocephalus jaok (plain sculpin),Lg Sculpin
Lg. Sculpins,8831022204,21370,Myoxocephalus polyacanthocephalus (great sculpin),Lg Sculpin
Lg. Sculpins,8831022211,21368,Myoxocephalus verrucosus (warty sculpin),Lg Sculpin
Longnose skate,8713040108,440,Raja Rhina (longnose skate),NA
Misc. crabs,6.18E+09,0,Reptantia (crab),Gen. Crab
Misc. crabs,6180000001,0,Decapoda Reptantia legs (for unident. crabs),Gen. Crab
Misc. crabs,6.18E+09,69000,Anomura (crab),Gen. Crab
Misc. Crustacean,NA,NA,NA,NA
Misc. fish deep,8.72E+09,0,Osteichthyes,Gen. Fish
Misc. fish deep,8.73E+09,0,Holostei (fish),Gen. Fish
Misc. fish deep,8.74E+09,0,Teleostei (fish),Gen. Fish
Misc. fish deep,8735000009,0,Scavenged fish (not an NODC code- J. Drazen),Gen. Fish
Misc. fish deep,8735010000,0,Non-gadoid fish remains,Gen. Fish
Misc. fish deep,8.80E+09,0,Gnathostomata,Gen. Fish
Misc. fish deep,8791030000,21705,Gadidae (gadid fish),Gen. Gadid
Misc. fish shallow,NA,NA,NA,NA
Misc. Flatfish,8.86E+09,0,Pleuronectoidei (flatfish),Gen. Flatfish
Misc. Flatfish,8857030000,10003,Bothidae (left-eye flounders),Gen. Flatfish
Misc. Flatfish,8857040000,10100,Pleuronectidae (flatfish),Gen. Flatfish
Misc. Flatfish,8857040600,10129,Hippoglossoides sp.,Gen. Flatfish
Misc. Flatfish,8858020116,10400,Symphurus atricauda (California tonguefish),Misc. Flatfish
Misc. Flatfish,8857030100,10008,Citharichthys,Misc. Flatfish
Misc. Flatfish,8857030101,10010,Citharichthys sordidus (Pacific sanddab),Misc. Flatfish
Misc. Flatfish,8857030309,10050,Paralichthys californicus (California halibut),Misc. Flatfish
Misc. Flatfish,8857040301,10190,Embassichthys bathybius (deepsea sole),Misc. Flatfish
Misc. Flatfish,8857040602,10140,Hippoglossoides robustus (Bering flounder),Misc. Flatfish
Misc. Flatfish,8857040701,10270,Isopsetta isolepis (butter sole),Misc. Flatfish
Misc. Flatfish,8857040900,0,Limanda sp.,Misc. Flatfish
Misc. Flatfish,8857040902,10211,Limanda proboscideus (longhead dab),Misc. Flatfish
Misc. Flatfish,8857040999,10212,Limanda sakhalinensis (Sakalin sole),Misc. Flatfish
Misc. Flatfish,8857041101,10150,Eopsetta exilis (slender sole),Misc. Flatfish
Misc. Flatfish,8857041301,10170,Parophrys vetulus (English sole),Misc. Flatfish
Misc. Flatfish,8857041401,10220,Platichthys stellatus (Starry flounder),Misc. Flatfish
Misc. Flatfish,8857041701,10250,Psettichthys melanostictus (sand sole),Misc. Flatfish
Misc. Flatfish,8857040401,10160,Petrale Sole Eopsetta jordani,NA
Misc. worms ,NA,NA,NA,NA
Myctophidae,8762140000,22600,Myctophidae (lanternfish),Myctophidae
Myctophidae,8762140201,22610,Diaphus theta (California headlightfish),Myctophidae
Myctophidae,8762140300,22620,Lampanyctus sp. (lampfish),Myctophidae
Myctophidae,8762140301,22625,Lampanyctus jordani (broken line myctophid),Myctophidae
