SURVEY,STRATUM,AREA,SUBMODEL,SUBAREA,PERIMETER,INPFC_AREA,MIN_DEPTH,MAX_DEPTH,DESCRIPTION,SUMMARY_AREA,SUMMARY_DEPTH,SUMMARY_AREA_DEPTH,REGULATORY_AREA_NAME,STRATUM_TYPE
AI,311,960.023,AI,Central Aleutians,NA,Central Aleutians,1,100,Petrel Bank,3499,991,3491,ALEUTIANS,NORTH
AI,312,1735.544,AI,Central Aleutians,NA,Central Aleutians,101,200,Petrel Bank,3499,992,3492,ALEUTIANS,NORTH
AI,313,766.43,AI,Central Aleutians,NA,Central Aleutians,201,300,Petrel Bank,3499,993,3493,ALEUTIANS,NORTH
AI,314,1237.475,AI,Central Aleutians,NA,Central Aleutians,301,500,Petrel Bank,3499,994,3494,ALEUTIANS,NORTH
AI,321,2105.636,AI,Central Aleutians,NA,Central Aleutians,1,100,N Central Aleutians,3499,991,3491,ALEUTIANS,NORTH
AI,322,1066.049,AI,Central Aleutians,NA,Central Aleutians,101,200,N Central Aleutians,3499,992,3492,ALEUTIANS,NORTH
AI,323,439.004,AI,Central Aleutians,NA,Central Aleutians,201,300,N Central Aleutians,3499,993,3493,ALEUTIANS,NORTH
AI,324,1239.743,AI,Central Aleutians,NA,Central Aleutians,301,500,N Central Aleutians,3499,994,3494,ALEUTIANS,NORTH
AI,411,1617.669,AI,Central Aleutians,NA,Central Aleutians,1,100,SW Central Aleutians,3499,991,3491,ALEUTIANS,SOUTH
AI,412,1052.298,AI,Central Aleutians,NA,Central Aleutians,101,200,SW Central Aleutians,3499,992,3492,ALEUTIANS,SOUTH
AI,413,426.035,AI,Central Aleutians,NA,Central Aleutians,201,300,SW Central Aleutians,3499,993,3493,ALEUTIANS,SOUTH
AI,414,789.21,AI,Central Aleutians,NA,Central Aleutians,301,500,SW Central Aleutians,3499,994,3494,ALEUTIANS,SOUTH
AI,421,1164.035,AI,Central Aleutians,NA,Central Aleutians,1,100,SE Central Aleutians,3499,991,3491,ALEUTIANS,SOUTH
AI,422,751.791,AI,Central Aleutians,NA,Central Aleutians,101,200,SE Central Aleutians,3499,992,3492,ALEUTIANS,SOUTH
AI,423,477.36,AI,Central Aleutians,NA,Central Aleutians,201,300,SE Central Aleutians,3499,993,3493,ALEUTIANS,SOUTH
AI,424,714.304,AI,Central Aleutians,NA,Central Aleutians,301,500,SE Central Aleutians,3499,994,3494,ALEUTIANS,SOUTH
AI,511,1932.476,AI,Eastern Aleutians,NA,Eastern Aleutians,1,100,NW Eastern Aleutians,5699,991,5691,ALEUTIANS,NORTH
AI,512,1594.312,AI,Eastern Aleutians,NA,Eastern Aleutians,101,200,NW Eastern Aleutians,5699,992,5692,ALEUTIANS,NORTH
AI,513,155.929,AI,Eastern Aleutians,NA,Eastern Aleutians,201,300,NW Eastern Aleutians,5699,993,5693,ALEUTIANS,NORTH
AI,521,1268.056,AI,Eastern Aleutians,NA,Eastern Aleutians,1,100,NE Eastern Aleutians,5699,991,5691,ALEUTIANS,NORTH
AI,522,2012.55,AI,Eastern Aleutians,NA,Eastern Aleutians,101,200,NE Eastern Aleutians,5699,992,5692,ALEUTIANS,NORTH
AI,523,1968.564,AI,Eastern Aleutians,NA,Eastern Aleutians,201,300,NE Eastern Aleutians,5699,993,5693,ALEUTIANS,NORTH
AI,594,2670.006,AI,Eastern Aleutians,NA,Eastern Aleutians,301,500,Combined Eastern Aleutian Islands,5699,994,5694,ALEUTIANS,SOUTH
AI,611,1906.756,AI,Eastern Aleutians,NA,Eastern Aleutians,1,100,SW Eastern Aleutians,5699,991,5691,ALEUTIANS,SOUTH
AI,612,2261.049,AI,Eastern Aleutians,NA,Eastern Aleutians,101,200,SW Eastern Aleutians,5699,992,5692,ALEUTIANS,SOUTH
AI,613,716.376,AI,Eastern Aleutians,NA,Eastern Aleutians,201,300,SW Eastern Aleutians,5699,993,5693,ALEUTIANS,SOUTH
AI,614,438.212,AI,Eastern Aleutians,NA,Eastern Aleutians,301,500,SW Eastern Aleutians,5699,994,5694,ALEUTIANS,SOUTH
AI,621,1740.635,AI,Eastern Aleutians,NA,Eastern Aleutians,1,100,SE Eastern Aleutians,5699,991,5691,ALEUTIANS,SOUTH
AI,622,1900.189,AI,Eastern Aleutians,NA,Eastern Aleutians,101,200,SE Eastern Aleutians,5699,992,5692,ALEUTIANS,SOUTH
AI,623,2060.609,AI,Eastern Aleutians,NA,Eastern Aleutians,201,300,SE Eastern Aleutians,5699,993,5693,ALEUTIANS,SOUTH
AI,624,2574.73,AI,Eastern Aleutians,NA,Eastern Aleutians,301,500,SE Eastern Aleutians,5699,994,5694,ALEUTIANS,SOUTH
AI,711,1585.64,AI,Southern Bering Sea,NA,Southern Bering Sea,1,100,W Southern Bering Sea,799,991,791,S BERING SEA,NORTH
AI,712,669.513,AI,Southern Bering Sea,NA,Southern Bering Sea,101,200,W Southern Bering Sea,799,992,792,S BERING SEA,NORTH
AI,721,2440.256,AI,Southern Bering Sea,NA,Southern Bering Sea,1,100,E Southern Bering Sea,799,991,791,S BERING SEA,NORTH
AI,722,1179.124,AI,Southern Bering Sea,NA,Southern Bering Sea,101,200,E Southern Bering Sea,799,992,792,S BERING SEA,NORTH
AI,793,563.858,AI,Southern Bering Sea,NA,Southern Bering Sea,201,300,Combined Southern Bering Sea,799,993,793,S BERING SEA,NORTH
AI,794,1043.168,AI,Southern Bering Sea,NA,Southern Bering Sea,301,500,Combined Southern Bering Sea,799,994,794,S BERING SEA,NORTH
AI,211,3693.321,AI,Western Aleutians,NA,Western Aleutians,1,100,W Western Aleutians,299,991,291,ALEUTIANS,NEITHER
AI,212,4065.172,AI,Western Aleutians,NA,Western Aleutians,101,200,W Western Aleutians,299,992,292,ALEUTIANS,NEITHER
AI,213,940.226,AI,Western Aleutians,NA,Western Aleutians,201,300,W Western Aleutians,299,993,293,ALEUTIANS,NEITHER
AI,214,1711.084,AI,Western Aleutians,NA,Western Aleutians,301,500,W Western Aleutians,299,994,294,ALEUTIANS,NEITHER
AI,221,1183.328,AI,Western Aleutians,NA,Western Aleutians,1,100,E Western Aleutians,299,991,291,ALEUTIANS,NEITHER
AI,222,1252.459,AI,Western Aleutians,NA,Western Aleutians,101,200,E Western Aleutians,299,992,292,ALEUTIANS,NEITHER
AI,223,783.403,AI,Western Aleutians,NA,Western Aleutians,201,300,E Western Aleutians,299,993,293,ALEUTIANS,NEITHER
AI,224,1561.386,AI,Western Aleutians,NA,Western Aleutians,301,500,E Western Aleutians,299,994,294,ALEUTIANS,NEITHER
BS,10,77871,EBS,SE_inner,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BS,20,41027,EBS,NW_inner,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BS,31,94526,EBS,SE_middle,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BS,32,8774,EBS,Pribs,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BS,41,62703,EBS,NW_middle,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BS,42,24011,EBS,Pribs,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BS,43,21108,EBS,StMatt,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BS,50,38792,EBS,SE_outer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BS,61,88134,EBS,NW_outer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BS,62,6429,EBS,StMatt,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BS,70,79261,NBS,NBS70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BS,71,82594,NBS,NBS71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BS,81,38352,NBS,NBS81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BS,82,17954,EBS,NW_corner,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BS,90,11568,EBS,NW_corner,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GOA,20,7940.852,WGOA,CENTRAL GOA,2470.078,Chirikof       ,1,100,Upper Alaska Peninsula        ,929,991,921,CENTRAL GOA,SHELF
GOA,21,7302.086,WGOA,CENTRAL GOA,632.708,Chirikof       ,1,100,Semidi Bank                   ,929,991,921,CENTRAL GOA,SHELF
GOA,22,10792.012,WGOA,CENTRAL GOA,961.835,Chirikof       ,1,100,Chirikof Bank                 ,929,991,921,CENTRAL GOA,SHELF
GOA,120,11104.039,WGOA,CENTRAL GOA,962.173,Chirikof       ,101,200,East Shumagin Gully           ,929,992,922,CENTRAL GOA,GULLY
GOA,121,7734.619,WGOA,CENTRAL GOA,1843.775,Chirikof       ,101,200,Shelikof Edge                 ,929,992,922,CENTRAL GOA,SHELF
GOA,122,5010.738,WGOA,CENTRAL GOA,898.952,Chirikof       ,101,200,Chirikof Outer Shelf          ,929,992,922,CENTRAL GOA,SHELF
GOA,220,10017.785,WGOA,CENTRAL GOA,678.285,Chirikof       ,201,300,Lower Shelikof Gully          ,929,993,923,CENTRAL GOA,GULLY
GOA,221,1528.313,WGOA,CENTRAL GOA,832.464,Chirikof       ,201,300,Chirikof Slope                ,929,993,923,CENTRAL GOA,SLOPE
GOA,320,1603.961,WGOA,CENTRAL GOA,805.575,Chirikof       ,301,500,Chirikof Slope                ,929,994,924,CENTRAL GOA,SLOPE
GOA,420,1953.21,WGOA,CENTRAL GOA,840.567,Chirikof       ,501,700,Chirikof Slope                ,929,995,925,CENTRAL GOA,SLOPE
