SPECIES_CODE,SPECIES_NAME,COMMON_NAME,ECOPATH_Name.goa,EGOA,FINAL_GOA,wgoa.wt,egoa.wt,PHYLUM_TAXON,CLASS_TAXON,ORDER_TAXON,FAMILY_TAXON,GENUS_TAXON,SPECIES_TAXON
1,NA,fish egg unid.,Fish Larvae,MISC_NA,MISC_NA,137.102416,37.87507714,Chordata,Actinopterygii,NA,NA,NA,NA
2,NA,fish larvae unid.,Fish Larvae,NA,MISC_NA,90.61874091,0.43108628,Chordata,Actinopterygii,NA,NA,NA,NA
3,NA,fish unid.,Gen Fish,NA,MISC_NA,1129.500679,34.51142753,Chordata,Actinopterygii,NA,NA,NA,NA
10,Petromyzontidae,lamprey unid.,Misc. fish shallow,NA,Shelf_demersals,44.07531493,17.56123916,Chordata,Cephalaspidomorphi,Petromyzontiformes,Petromyzontidae,NA,NA
21,Lampetra tridentata,Pacific lamprey,Misc. fish shallow,Shelf_demersals,Shelf_demersals,96.20961246,99.72613619,Chordata,Cephalaspidomorphi,Petromyzontiformes,Petromyzontidae,Lampetra,tridentata
100,Myxinidae,hagfish unid.,NA,NA,ZERO,0,0,Chordata,Myxini,Myxiniformes,Myxinidae,NA,NA
109,Eptatretus sp.,NA,NA,Shelf_demersals,ZERO,0,0,Chordata,Myxini,Myxiniformes,Myxinidae,Eptatretus,NA
110,Eptatretus deani,black hagfish,NA,NA,ZERO,0,0,Chordata,Myxini,Myxiniformes,Myxinidae,Eptatretus,deani
120,Eptatretus stouti,Pacific hagfish,NA,Shelf_demersals,ZERO,0,0,Chordata,Myxini,Myxiniformes,Myxinidae,Eptatretus,stouti
150,Selachii,shark unid.,NA,NA,ZERO,0,0,Chordata,Chondrichthyes,NA,NA,NA,NA
151,Chondrichthyes,cartilaginous fish unid.,NA,Shelf_demersals,ZERO,0,0,Chordata,Chondrichthyes,NA,NA,NA,NA
160,Selachii egg case,shark egg case unid.,Gen Chondrychthyes,NA,Sharks_demersal,0,0.720829819,Chordata,Chondrichthyes,NA,NA,NA,NA
180,Alopias vulpinus,thresher shark,NA,NA,ZERO,0,0,Chordata,Chondrichthyes,Lamniformes,Alopiidae,Alopias,vulpinus
200,Scyliorhinidae,cat shark unid.,NA,NA,ZERO,0,0,Chordata,Chondrichthyes,Carcharhiniformes,Scyliorhinidae,NA,NA
201,Apristurus brunneus egg case,brown cat shark egg case,NA,NA,ZERO,0,0,Chordata,Chondrichthyes,Carcharhiniformes,Scyliorhinidae,Apristurus,brunneus
210,Apristurus brunneus,brown cat shark,Gen Chondrychthyes,NA,Sharks_demersal,0,0.154484734,Chordata,Chondrichthyes,Carcharhiniformes,Scyliorhinidae,Apristurus,brunneus
211,Parmaturus xaniurus,filetail cat shark,NA,NA,ZERO,0,0,Chordata,Chondrichthyes,Carcharhiniformes,Scyliorhinidae,Parmaturus,xaniurus
212,Apristurus kampae,longnose cat shark,NA,NA,ZERO,0,0,Chordata,Chondrichthyes,Carcharhiniformes,Scyliorhinidae,Apristurus,kampae
213,Apristurus sp.,NA,NA,NA,ZERO,0,0,Chordata,Chondrichthyes,Carcharhiniformes,Scyliorhinidae,Apristurus,NA
214,Cephaloscyllium ventriosum,swell shark,NA,NA,ZERO,0,0,Chordata,Chondrichthyes,Carcharhiniformes,Scyliorhinidae,Cephaloscyllium,ventriosum
222,Hexanchus griseus,sixgill shark,Gen Chondrychthyes,NA,Sharks_demersal,0,824.4277867,Chordata,Chondrichthyes,Hexanchiformes,Hexanchidae,Hexanchus,griseus
232,Lamna ditropis,salmon shark,Salmon shark,NA,Salmon_shark,143032.9163,35542.96823,Chordata,Chondrichthyes,Lamniformes,Lamnidae,Lamna,ditropis
242,Cetorhinus maximus,basking shark,NA,NA,ZERO,0,0,Chordata,Chondrichthyes,Lamniformes,Cetorhinidae,Cetorhinus,maximus
252,Squatina californica,Pacific angel shark,NA,NA,ZERO,0,0,Chordata,Chondrichthyes,Squatiniformes,Squatinidae,Squatina,californica
310,Squalus suckleyi,spiny dogfish,Dogfish,Pacific_dogfish,Pacific_dogfish,541820.9866,589789.0831,Chordata,Chondrichthyes,Squaliformes,Squalidae,Squalus,suckleyi
311,Centroscyllium nigrum,combtooth dogfish,NA,NA,ZERO,0,0,Chordata,Chondrichthyes,Squaliformes,Etmopteridae,Centroscyllium,nigrum
320,Somniosus pacificus,Pacific sleeper shark,Sleeper shark,Pacific_sleeper_shark,Sharks_demersal,962943.6671,22816.85447,Chordata,Chondrichthyes,Squaliformes,Somniosidae,Somniosus,pacificus
332,Galeorhinus galeus,soupfin shark,NA,NA,ZERO,0,0,Chordata,Chondrichthyes,Carcharhiniformes,Triakidae,Galeorhinus,galeus
339,Mustelus sp.,NA,NA,NA,ZERO,0,0,Chordata,Chondrichthyes,Carcharhiniformes,Triakidae,Mustelus,NA
340,Mustelus henlei,brown smoothhound,NA,NA,ZERO,0,0,Chordata,Chondrichthyes,Carcharhiniformes,Triakidae,Mustelus,henlei
341,Mustelus californicus,gray smoothhound,NA,NA,ZERO,0,0,Chordata,Chondrichthyes,Carcharhiniformes,Triakidae,Mustelus,californicus
351,Prionace glauca,blue shark,NA,NA,ZERO,0,0,Chordata,Chondrichthyes,Carcharhiniformes,Carcharhinidae,Prionace,glauca
355,Triakis semifasciata,leopard shark,NA,NA,ZERO,0,0,Chordata,Chondrichthyes,Carcharhiniformes,Triakidae,Triakis,semifasciata
400,Rajidae,skate unid.,Other skates,Other_skates,Other_skates,28828.89494,3384.800586,Chordata,Chondrichthyes,Rajiformes,Rajidae,NA,NA
401,Rajiformes egg case,skate egg case unid.,Other skates,NA,Other_skates,1634.455219,394.191675,Chordata,Chondrichthyes,Rajiformes,Rajidae,NA,NA
402,Bathyraja sp. egg case,Bathyraja sp. egg case,Other skates,NA,Other_skates,172.6121782,12.26374026,Chordata,Chondrichthyes,Rajiformes,Rajidae,Bathyraja,NA
403,Raja sp. egg case,Raja sp. egg case,Other skates,NA,Other_skates,0.428078234,78.03309075,Chordata,Chondrichthyes,Rajiformes,Rajidae,Raja,NA
404,Raja sp.,NA,Other skates,NA,Other_skates,0,1035.685577,Chordata,Chondrichthyes,Rajiformes,Rajidae,Raja,NA
405,Bathyraja sp.,NA,Other skates,Other_skates,Other_skates,17824.83899,1484.931139,Chordata,Chondrichthyes,Rajiformes,Rajidae,Bathyraja,NA
406,Bathyraja spinosissima,white skate,NA,NA,ZERO,0,0,Chordata,Chondrichthyes,Rajiformes,Rajidae,Bathyraja,spinosissima
410,Bathyraja abyssicola,deepsea skate,Other skates,Other_skates,Other_skates,1559.099445,0,Chordata,Chondrichthyes,Rajiformes,Rajidae,Bathyraja,abyssicola
411,Bathyraja abyssicola egg case,deepsea skate egg case,NA,NA,ZERO,0,0,Chordata,Chondrichthyes,Rajiformes,Rajidae,Bathyraja,abyssicola
420,Beringraja binoculata,big skate,Big skate,Big_skate,Big_skate,1203016.108,208401.7653,Chordata,Chondrichthyes,Rajiformes,Rajidae,Beringraja,binoculata
421,Beringraja binoculata egg case,big skate egg case,Big skate,NA,Big_skate,23.18521976,93.28385357,Chordata,Chondrichthyes,Rajiformes,Rajidae,Beringraja,binoculata
