RACE,SCIENTIFIC,COMMON,ECOPATH_Num,ECOPATH_Name
1,(blank),fish egg unid.,107,Fish Larvae
2,(blank),fish larvae unid.,107,Fish Larvae
3,(blank),fish unid.,0,Gen Fish
10,Petromyzontidae,lamprey unid.,73,Misc. fish shallow
21,Lampetra tridentata,Pacific lamprey,73,Misc. fish shallow
232,Lamna ditropis,salmon shark,27,Salmon shark
310,Squalus suckleyi,spiny dogfish,28,Dogfish
320,Somniosus pacificus,Pacific sleeper shark,26,Sleeper shark
400,Rajidae,skate unid.,54,Other skates
401,(blank),skate egg case unid.,54,Other skates
402,Bathyraja sp. egg case,,54,Other skates
404,Raja sp.,,54,Other skates
405,Bathyraja sp.,,54,Other skates
406,Bathyraja spinosissima,white skate,54,Other skates
410,Bathyraja abyssicola,deepsea skate,54,Other skates
411,Bathyraja abyssicola egg case,deepsea skate egg case,54,Other skates
420,Beringraja binoculata,big skate,54,Other skates
435,Bathyraja interrupta,Bering skate,54,Other skates
436,Bathyraja interrupta egg case,,54,Other skates
440,Raja rhina,longnose skate,54,Other skates
441,Raja rhina egg case,longnose skate egg case,54,Other skates
446,Raja badia egg case,,54,Other skates
455,Bathyraja taranetzi,mud skate,54,Other skates
456,Bathyraja taranetzi egg case,mud skate egg case,54,Other skates
460,Bathyraja trachura,roughtail skate,54,Other skates
471,Bathyraja parmifera,Alaska skate,53,Alaska skate
472,Bathyraja aleutica,Aleutian skate,54,Other skates
473,Bathyraja aleutica egg case,Aleutian skate egg case,54,Other skates
474,Bathyraja parmifera egg case,Alaska skate egg case,54,Other skates
475,Bathyraja lindbergi,Commander skate,54,Other skates
477,Bathyraja panthera,leopard skate,54,Other skates
478,Bathyraja panthera egg case,leopard skate egg case,54,Other skates
480,Bathyraja maculata,whiteblotched skate,54,Other skates
481,Bathyraja maculata egg case,whiteblotched skate egg case,54,Other skates
483,Bathyraja mariposa,butterfly skate,54,Other skates
484,Bathyraja mariposa egg case,butterfly skate egg case,54,Other skates
485,Bathyraja minispinosa,whitebrow skate,54,Other skates
486,Bathyraja minispinosa egg case,whitebrow skate egg case,54,Other skates
490,Bathyraja smirnovi,golden skate,54,Other skates
495,Bathyraja violacea,Okhotsk skate,54,Other skates
10008,Citharichthys sp.,sanddab unid.,52,Misc. Flatfish
10110,Atheresthes stomias,arrowtooth flounder,36,Arrowtooth
10111,Atheresthes sp.,,36,Arrowtooth
10112,Atheresthes evermanni,Kamchatka flounder,38,Kamchatka fl.
10115,Reinhardtius hippoglossoides,Greenland turbot,40,Gr. Turbot
10120,Hippoglossus stenolepis,Pacific halibut,42,P. Halibut
10130,Hippoglossoides elassodon,flathead sole,46,FH. Sole
10150,Lyopsetta exilis,slender sole,52,Misc. Flatfish
10160,Eopsetta jordani,petrale sole,52,Misc. Flatfish
10170,Parophrys vetulus,English sole,52,Misc. Flatfish
10180,Microstomus pacificus,Dover sole,50,Dover Sole
10200,Glyptocephalus zachirus,rex sole,51,Rex Sole
10210,Limanda aspera,yellowfin sole,44,YF. Sole
10220,Platichthys stellatus,starry flounder,52,Misc. Flatfish
10260,Lepidopsetta sp.,rock sole unid.,47,N. Rock sole
10261,Lepidopsetta polyxystra,northern rock sole,47,N. Rock sole
10262,Lepidopsetta bilineata,southern rock sole,48,S. Rock sole
10270,Isopsetta isolepis,butter sole,52,Misc. Flatfish
10285,Pleuronectes quadrituberculatus,Alaska plaice,49,AK Plaice
20000,Agonidae,poacher unid.,73,Misc. fish shallow
20004,Leptagonus sp.,,73,Misc. fish shallow
20005,Leptagonus leptorhynchus,longnose poacher,73,Misc. fish shallow
20006,Leptagonus frenatus,sawback poacher,73,Misc. fish shallow
20007,Leptagonus decagonus,Atlantic poacher,73,Misc. fish shallow
20015,Agonopsis vulsa,northern spearnose poacher,73,Misc. fish shallow
20018,Odontopyxis trispinosa,pygmy poacher,73,Misc. fish shallow
20034,Bathyagonus sp.,starsnout poacher unid.,73,Misc. fish shallow
20035,Bathyagonus alascanus,gray starsnout,73,Misc. fish shallow
20036,Bathyagonus infraspinatus,spinycheek starsnout,73,Misc. fish shallow
20038,Bathyagonus nigripinnis,blackfin poacher,73,Misc. fish shallow
20040,Podothecus accipenserinus,sturgeon poacher,73,Misc. fish shallow
20050,Aspidophoroides monopterygius,Aleutian alligatorfish,73,Misc. fish shallow
20055,Anoplagonus inermis,smooth alligatorfish,73,Misc. fish shallow
20071,Hypsagonus quadricornis,fourhorn poacher,73,Misc. fish shallow
20100,Alepocephalidae,slickhead unid.,59,Misc. fish deep
20202,Ammodytes sp.,sand lance unid.,81,Sandlance
20204,Ammodytes personatus,Pacific sand lance,81,Sandlance
20320,Anarrhichthys ocellatus,wolf-eel,73,Misc. fish shallow
20510,Anoplopoma fimbria,sablefish,56,Sablefish
20572,Nansenia candida,bluethroat argentine,84,Oth. pelagic smelt
20614,Bathylagidae,deepsea smelt unid.,78,Bathylagidae
20615,Bathylagus pacificus,Pacific blacksmelt,78,Bathylagidae
20619,Bathylagus sp.,blacksmelt unid.,78,Bathylagidae
20620,Bathylagus milleri,robust blacksmelt,78,Bathylagidae
20622,Leuroglossus schmidti,northern smoothtongue,78,Bathylagidae
20624,Bathylagus ochotensis,popeye blacksmelt,78,Bathylagidae
20660,Leuroglossus sp.,,78,Bathylagidae
20662,Leuroglossus stilbius,California smoothtongue,78,Bathylagidae
20700,Bathymasteridae,ronquil unid.,73,Misc. fish shallow
20702,Ronquilus jordani,northern ronquil,73,Misc. fish shallow
20712,Bathymaster caeruleofasciatus,Alaskan ronquil,73,Misc. fish shallow
20713,Bathymaster leurolepis,smallmouth ronquil,73,Misc. fish shallow
20720,Bathymaster signatus,searcher,73,Misc. fish shallow
20731,Rathbunella hypoplecta,smooth ronquil,73,Misc. fish shallow
20900,Ophidiidae,cusk-eel unid.,59,Misc. fish deep
20980,Ceratiidae,seadevils unid.,59,Misc. fish deep
21000,Chauliodontinae,viperfish unid.,59,Misc. fish deep
21010,Chauliodus macouni,Pacific viperfish,59,Misc. fish deep
21110,Clupea pallasii,Pacific herring,34,Herring
21200,Macrouridae,grenadier unid.,58,Grenadiers
