RACE,SCIENTIFIC,COMMON,ECOPATH_Num,ECOPATH_Name,EXPLORE_Name
1,(blank),fish eggs unident.,111,fish_larvae,Fish Larvae
2,(blank),fish larvae unident.,111,fish_larvae,Fish Larvae
3,(blank),fish unident.,0,gen_fish,Gen Fish
10,Petromyzontidae,lamprey unident.,76,misc_fish_shallow,Misc. fish shallow
21,Lampetra tridentata,Pacific lamprey,76,misc_fish_shallow,Misc. fish shallow
232,Lamna ditropis,salmon shark,0,no_salmon_shark,No_Salmon shark
310,Squalus acanthias,spiny dogfish,0,dogfish,Dogfish
320,Somniosus pacificus,Pacific sleeper shark,31,sleeper_shark,Sleeper shark
400,Rajidae unident.,skate unident.,56,ak_skate,Alaska skate
401,(blank),skate egg case unident.,57,oth_skate,Other skates
402,Bathyraja sp. egg case,(blank),57,oth_skate,Other skates
404,Raja sp.,(blank),57,oth_skate,Other skates
405,Bathyraja sp. ,(blank),57,oth_skate,Other skates
410,Bathyraja abyssicola,deepsea skate,57,oth_skate,Other skates
420,Raja binoculata,big skate,57,oth_skate,Other skates
421,(blank),Raja binoculata egg case,57,oth_skate,Other skates
435,Bathyraja interrupta ,Bering skate ,57,oth_skate,Other skates
436,Bathyraja interrupta egg case,(blank),57,oth_skate,Other skates
440,Raja rhina,longnose skate,57,oth_skate,Other skates
450,Raja stellulata,starry skate,57,oth_skate,Other skates
455,Bathyraja taranetzi,mud skate,57,oth_skate,Other skates
456,mud skate egg case,Bathyraja taranetzi egg case,57,oth_skate,Other skates
471,Bathyraja parmifera,Alaska skate,56,ak_skate,Alaska skate
472,Bathyraja aleutica,Aleutian skate,57,oth_skate,Other skates
473,Aleutian skate egg case,Bathyraja aleutica egg case,57,oth_skate,Other skates
474,Bathyraja parmifera egg case,Alaska skate egg case,56,ak_skate,Alaska skate
480,Bathyraja maculata,whiteblotched skate,57,oth_skate,Other skates
485,Bathyraja minispinosa,whitebrow skate,57,oth_skate,Other skates
486,Bathyraja minispinosa egg case,whitebrow skate egg case,57,oth_skate,Other skates
490,Bathyraja smirnovi,golden skate,57,oth_skate,Other skates
495,Bathyraja violacea,Okhotsk skate,57,oth_skate,Other skates
10001,Pleuronectiformes,flatfish unident.,0,misc_flats,Misc. Flatfish
10008,Citharichthys sp.,sanddab unident.,55,misc_flats,Misc. Flatfish
10110,Atheresthes stomias,arrowtooth flounder,39,arrowtooth,Arrowtooth
10111,(blank),Atheresthes sp.,39,arrowtooth,Arrowtooth
10112,Atheresthes evermanni,Kamchatka flounder,41,kamchatka,Kamchatka fl.
10115,Reinhardtius hippoglossoides,Greenland turbot,43,gr_turbot,Gr. Turbot
10120,Hippoglossus stenolepis,Pacific halibut,45,halibut,P. Halibut
10129,Hippoglossoides sp.,(blank),0,gen_hippoglossoides,Gen Hippoglossoides
10130,Hippoglossoides elassodon,flathead sole,49,fh_sole,FH. Sole
10140,Hippoglossoides robustus,Bering flounder,55,misc_flats,Misc. Flatfish
10150,Lyopsetta exilis,slender sole,55,misc_flats,Misc. Flatfish
10155,Liopsetta glacialis,Arctic flounder,55,misc_flats,Misc. Flatfish
10170,Parophrys vetulus,English sole,55,misc_flats,Misc. Flatfish
10180,Microstomus pacificus,Dover sole,53,dover_sole,Dover Sole
10200,Glyptocephalus zachirus,rex sole,54,rex_sole,Rex Sole
10210,Limanda aspera,yellowfin sole,47,yf_sole,YF. Sole
10211,Limanda proboscidea,longhead dab,55,misc_flats,Misc. Flatfish
10212,Limanda sakhalinensis,Sakhalin sole,55,misc_flats,Misc. Flatfish
10220,Platichthys stellatus,starry flounder,55,misc_flats,Misc. Flatfish
10221,Platichthys stellatus X Pleuronectes quadrituberculatus,Hybrid starry flounder X Alaska plaice,55,misc_flats,Misc. Flatfish
10250,Psettichthys melanostictus,sand sole,55,misc_flats,Misc. Flatfish
10260,Lepidopsetta sp.,rock sole unident.,51,nr_sole,N. Rock sole
10261,Lepidopsetta polyxystra,northern rock sole,51,nr_sole,N. Rock sole
10262,Lepidopsetta bilineata,southern rock sole,51,nr_sole,N. Rock sole
10270,Isopsetta isolepis,butter sole,55,misc_flats,Misc. Flatfish
10285,Pleuronectes quadrituberculatus,Alaska plaice,52,ak_plaice,AK Plaice
20000,Agonidae,poacher unident.,76,misc_fish_shallow,Misc. fish shallow
20001,Pallasina barbata,tubenose poacher,76,misc_fish_shallow,Misc. fish shallow
20002,Percis japonicus,dragon poacher,76,misc_fish_shallow,Misc. fish shallow
20004,Leptagonus sp.,(blank),76,misc_fish_shallow,Misc. fish shallow
20005,Leptagonus leptorhynchus,longnose poacher,76,misc_fish_shallow,Misc. fish shallow
20006,Leptagonus frenatus,sawback poacher,76,misc_fish_shallow,Misc. fish shallow
20007,Leptagonus decagonus,Atlantic poacher,76,misc_fish_shallow,Misc. fish shallow
20015,Agonopsis vulsa,northern spearnose poacher,76,misc_fish_shallow,Misc. fish shallow
20018,Odontopyxis trispinosa,pygmy poacher,76,misc_fish_shallow,Misc. fish shallow
20034,Bathyagonus sp.,starsnout poacher unident.,76,misc_fish_shallow,Misc. fish shallow
20035,Bathyagonus alascanus,gray starsnout,76,misc_fish_shallow,Misc. fish shallow
20036,Bathyagonus infraspinatus,spinycheek starsnout,76,misc_fish_shallow,Misc. fish shallow
20037,Bathyagonus pentacanthus,bigeye poacher,76,misc_fish_shallow,Misc. fish shallow
20038,Bathyagonus nigripinnis,blackfin poacher,76,misc_fish_shallow,Misc. fish shallow
20039,Podothecus sp.,,76,misc_fish_shallow,Misc. fish shallow
20040,Podothecus accipenserinus,sturgeon poacher,76,misc_fish_shallow,Misc. fish shallow
20041,Podothecus veternus,veteran poacher,76,misc_fish_shallow,Misc. fish shallow
20050,Aspidophoroides bartoni,Aleutian alligatorfish,76,misc_fish_shallow,Misc. fish shallow
20051,Aspidophoroides olriki,Arctic alligatorfish,76,misc_fish_shallow,Misc. fish shallow
20055,Anoplagonus inermis,smooth alligatorfish,76,misc_fish_shallow,Misc. fish shallow
20060,Chesnonia verrucosa,warty poacher,76,misc_fish_shallow,Misc. fish shallow
20061,Occella dodecaedron,Bering poacher,76,misc_fish_shallow,Misc. fish shallow
20071,fourhorn poacher,Hypsagonus quadricornis,76,misc_fish_shallow,Misc. fish shallow
20202,Ammodytes hexapterus,Pacific sand lance,84,sandlance,Sandlance
20203,Ammodytes hexapterus,Arctic sand lance,84,sandlance,Sandlance
20204,Ammodytes personatus,Pacific sand lance,84,sandlance,Sandlance
20320,Anarrhichthys ocellatus,wolf-eel,76,misc_fish_shallow,Misc. fish shallow
20322,Anarhichas orientalis,Bering wolffish,76,misc_fish_shallow,Misc. fish shallow
20510,Anoplopoma fimbria,sablefish,59,sablefish,Sablefish
20542,Aulorhynchus flavidus,tube-snout,76,misc_fish_shallow,Misc. fish shallow
20700,Bathymasteridae,ronquil unident.,76,misc_fish_shallow,Misc. fish shallow
20702,Ronquilus jordani,northern ronquil,76,misc_fish_shallow,Misc. fish shallow
20720,Bathymaster signatus,searcher,76,misc_fish_shallow,Misc. fish shallow
21110,Clupea pallasi,Pacific herring,37,herring,Herring
21300,Cottidae,sculpin unident.,75,oth_sculpins,Other sculpins
21311,Icelinus borealis,northern sculpin,75,oth_sculpins,Other sculpins
21313,Gymnocanthus sp.,(blank),75,oth_sculpins,Other sculpins
21314,Gymnocanthus pistilliger,threaded sculpin,75,oth_sculpins,Other sculpins
21315,Gymnocanthus tricuspis,Arctic staghorn sculpin,75,oth_sculpins,Other sculpins
