"SPECIES_CODE","SPECIES_NAME","COMMON_NAME","YEAR_ADDED","RACE.x","SCIENTIFIC.x","COMMON.x","ECOPATH_Num.x","ECOPATH_Name.x","EXPLORE_Name","RACE.y","SCIENTIFIC.y","COMMON.y","ECOPATH_Num.y","ECOPATH_Name.y","NODC","RACE","NORPAC","NAME","IDLEVEL","MSVPA_PRED","MSVPA_PREY","ECOPATH_PRED","ECOPATH_PREY.x","GOAPOLL_PRED","GOAPOLL_PREY","BSIERP_PRED","BSIERP_PREY","NODC_CODE","BASE_NAME","LENFEST_NAME","WEBSITE_NAME","CRAB_TEAM","ECOPATH_PREY.y","EBS_CRAB","GOA_MED","HUDSON","EGOA","TROY","SSC_2023"
40001,"Cnidaria","coelenterate unid.",1989,NA,NA,NA,NA,NA,NA,40001,"Cnidaria","coelenterate unid.",0,"Gen Cnidarian",3.7e+09,40001,1,"Cnidaria",0,NA,"MISC. PREY","Sponge","Sponge",NA,"EPIFAUNA",NA,"EPIFAUNA",3.7e+09,"Cnidaria","Misc_Cnidaria","Cnidaria","Other","Sponge","Epifauna","Structural.epifauna","benthos","Sessile_epifauna","benthos","benthos"
40010,"Hydrozoa",NA,1988,40010,"Hydrozoa","(blank)",0,"gelatinous_filter_feeders","Gelatinous filter feeders",40010,"Hydrozoa","(blank)",0,"Gen. Hydrozoa",3.701e+09,40010,1,"Hydrozoa",0,NA,"MISC. PREY","Gen. Hydrozoa","Gen. Hydrozoa",NA,"EPIFAUNA",NA,"EPIFAUNA",3.701e+09,"Hydrozoa","Misc_Cnidaria","Cnidaria","Other","Gen. Hydrozoa","Oth.nonfish","OTH","benthos","MISC_NA","benthos","benthos"
40011,"Hydroidolina","hydroid unid.",1984,40011,"(blank)","hydroid unident.",0,"gelatinous_filter_feeders","Gelatinous filter feeders",40011,"Hydroidolina","hydroid unid.",0,"Gen. Hydrozoa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40020,"Hydractinia sp.",NA,1984,40020,"Hydractinia sp.","(blank)",0,"gelatinous_filter_feeders","Gelatinous filter feeders",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40050,"Sertularia robusta",NA,1989,40050,"Sertularia robusta","",116,"gelatinous_filter_feeders","Gelatinous filter feeders",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40500,"Scyphozoa","jellyfish unid.",1988,40500,"Scyphozoa","jellyfish unident.",110,"scyphozoid_jellies","Scyphozoid Jellies",40500,"Scyphozoa","jellyfish unid.",105,"Scyphozoid Jellies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40501,"Chrysaora sp.","chrysaora jelly",1984,40501,"Chrysaora sp.","chrysaora jellyfish",110,"scyphozoid_jellies","Scyphozoid Jellies",40501,"Chrysaora sp.","chrysaora jellyfish",105,"Scyphozoid Jellies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40510,"Atolla sp.",NA,1984,40510,"Atolla sp.","(blank)",110,"scyphozoid_jellies","Scyphozoid Jellies",40510,"Atolla sp.","(blank)",105,"Scyphozoid Jellies",3733010100,40510,1,"Atolla sp.",0,NA,"MISC. PREY","Scypho Jellies","Scypho Jellies",NA,"GELATINOUS",NA,"GELATINOUS",3733010100,"Atolla sp.","Scyphozoa","Cnidaria","Other","Scypho Jellies","Oth.nonfish","Jellyfish","zoop_other","Gelatinous_carnivores","zoop_other","zoop_other"
40560,"Cyanea sp.",NA,1984,40560,"Cyanea sp.","(blank)",116,"gelatinous_filter_feeders","Gelatinous filter feeders",40560,"Cyanea sp.","(blank)",105,"Scyphozoid Jellies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40561,"Cyanea capillata","lion's mane jelly",1984,40561,"Cyanea capillata","lion's mane",116,"gelatinous_filter_feeders","Gelatinous filter feeders",40561,"Cyanea capillata","lion's mane",105,"Scyphozoid Jellies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41000,"Anthozoa",NA,1988,41000,"(blank)","Anthozoa",0,"unid","UNID",41000,"Anthozoa","(blank)",0,"UNID",3.74e+09,41000,1,"Anthozoa (anemome)",0,NA,"MISC. PREY","Anemones","Anemones",NA,"EPIFAUNA",NA,"EPIFAUNA",3.74e+09,"Anthozoa (anemome)","Anthozoa","Cnidaria","Other","Anemones","Epifauna","Structural.epifauna","benthos","Sessile_epifauna","benthos","benthos"
41100,"Alcyonacea","soft coral unid.",1988,41100,"Alcyonacea","soft coral unident.",102,"corals","Corals",41100,"Alcyonacea","soft coral unid.",97,"Corals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41201,"Gersemia sp.","sea raspberry",1984,41201,"Gersemia sp.","sea raspberry",102,"corals","Corals",41201,"Gersemia sp.","sea raspberry",97,"Corals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41221,"Gersemia rubiformis",NA,1984,41221,"Gersemia rubiformis","(blank)",102,"corals","Corals",41221,"Gersemia rubiformis","(blank)",97,"Corals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41500,"Gorgonacea","gorgonian coral unid.",1988,41500,"Gorgonacea","gorgonian coral unident.",102,"corals","Corals",41500,"Gorgonacea","gorgonian coral unid.",97,"Corals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41520,"Primnoa sp.",NA,1984,NA,NA,NA,NA,NA,NA,41520,"Primnoa sp.","(blank)",97,"Corals",6170040300,41520,1,"Primno sp. (amphipod)",0,NA,"MISC. PREY","Pel Amph","Pel Amph",NA,"Pel Amph",NA,"Pel Amph",6170040300,"Primno sp. (amphipod)","Hyperiidea","Hyperiidea","Amphipoda","Pel Amph","Amphipods","Pred.zoop","amphipods","Pelagic_amphipods","amphipods","amphipods"
41522,"Primnoa willeyi","red tree coral",1989,NA,NA,NA,NA,NA,NA,41522,"Primnoa willeyi","red tree coral",97,"Corals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41580,"Paragorgia sp.",NA,1984,41580,"Paragorgia sp.","(blank)",102,"corals","Corals",41580,"Paragorgia sp.","(blank)",97,"Corals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41582,"Paragorgia arborea","Kamchatka coral",1989,41582,"Paragorgia arborea","Kamchatka coral",102,"corals","Corals",41582,"Paragorgia arborea","Kamchatka coral",97,"Corals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41600,"Callogorgia sp.",NA,1984,NA,NA,NA,NA,NA,NA,41600,"Callogorgia sp.","(blank)",97,"Corals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42000,"Pennatulacea","sea whip or sea pen unid.",1988,42000,"Pennatulacea","sea pen or sea whip unident.",105,"sea_pens","Sea Pens",42000,"Pennatulacea","sea pen or sea whip unid.",100,"Sea Pens",3.752e+09,42000,1,"Pennatulacea (sea pen)",0,NA,"MISC. PREY","Sea Pens","Sea Pens",NA,"EPIFAUNA",NA,"EPIFAUNA",3.752e+09,"Pennatulacea (sea pen)","Anthozoa","Cnidaria","Other","Sea Pens","Epifauna","Structural.epifauna","benthos","Sessile_epifauna","benthos","benthos"
42001,"Virgularia sp.","smoothstem seawhip",1984,42001,"Virgularia sp.","smoothstem seawhip",105,"sea_pens","Sea Pens",42001,"Virgularia sp.","smoothstem seawhip",100,"Sea Pens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42005,"Stylatula gracile","roughstem seawhip",1984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42008,"Halipteris sp.",NA,1984,42008,"Halipteris sp.","(blank)",105,"sea_pens","Sea Pens",42008,"Halipteris sp.","(blank)",100,"Sea Pens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42010,"Halipteris finmarchia",NA,1984,NA,NA,NA,NA,NA,NA,42010,"Halipteris finmarchia","(blank)",100,"Sea Pens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42017,"Ptilosarcus gurneyi","orange sea pen",1984,NA,NA,NA,NA,NA,NA,42017,"Ptilosarcus gurneyi","orange sea pen",100,"Sea Pens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43000,"Actiniaria","sea anemone unid.",1988,43000,"Actiniaria","sea anemone unident.",101,"anemones","Anemones",43000,"Actiniaria","sea anemone unid.",96,"Anemones",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43010,"Metridium sp.",NA,1984,43010,"Metridium sp.","(blank)",101,"anemones","Anemones",43010,"Metridium sp.","(blank)",96,"Anemones",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43020,"Metridium senile","clonal plumose anemone",1984,43020,"Metridium senile","clonal plumose anemone",101,"anemones","Anemones",43020,"Metridium senile","clonal plumose anemone",96,"Anemones",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43040,"Urticina sp.",NA,1984,43040,"Urticina sp.","(blank)",101,"anemones","Anemones",43040,"Urticina sp.","(blank)",96,"Anemones",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30320,"Sebastes maliger","quillback rockfish",1984,NA,NA,NA,NA,NA,NA,30320,"Sebastes maliger","quillback rockfish",66,"Other Sebastes",8826010120,30320,343,"Sebastes maliger (quillback rockfish)",0,NA,"MISC. PREY","Sebastes","Sebastes",NA,"ROCKFISH",NA,"ROCKFISH",8826010120,"Sebastes maliger (quillback rockfish)","Misc_rockfish","Sebastes","Sebastes","Sebastes","Forage.fish","Rockfish","fish_other","Demersal_shelf_rockfish","fish_other","fish_other"
30330,"Sebastes melanops","black rockfish",1984,NA,NA,NA,NA,NA,NA,30330,"Sebastes melanops","black rockfish",66,"Other Sebastes",8826010121,30330,306,"Sebastes melanops (black rockfish)",0,NA,"MISC. PREY","Sebastes","Sebastes",NA,"ROCKFISH",NA,"ROCKFISH",8826010121,"Sebastes melanops (black rockfish)","Misc_rockfish","Sebastes","Sebastes","Sebastes","Forage.fish","Rockfish","fish_other","Black_rockfish","fish_other","fish_other"
30340,"Sebastes melanostomus","blackgill rockfish",1984,NA,NA,NA,NA,NA,NA,30340,"Sebastes melanostomus","blackgill rockfish",66,"Other Sebastes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30350,"Sebastes miniatus","vermilion rockfish",1984,NA,NA,NA,NA,NA,NA,30350,"Sebastes miniatus","vermilion rockfish",66,"Other Sebastes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30360,"Sebastes mystinus","blue rockfish",1984,NA,NA,NA,NA,NA,NA,30360,"Sebastes mystinus","blue rockfish",66,"Other Sebastes",8826010124,30360,316,"Sebastes mystinus (blue rockfish)",0,NA,"MISC. PREY","Sebastes","Sebastes",NA,"ROCKFISH",NA,"ROCKFISH",8826010124,"Sebastes mystinus (blue rockfish)","Misc_rockfish","Sebastes","Sebastes","Sebastes","Forage.fish","Rockfish","fish_other","MISC_NA","fish_other","fish_other"
30370,"Sebastes nebulosus","China rockfish",1984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30380,"Sebastes nigrocinctus","tiger rockfish",1984,NA,NA,NA,NA,NA,NA,30380,"Sebastes nigrocinctus","tiger rockfish",66,"Other Sebastes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30390,"Sebastes ovalis","speckled rockfish",1984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30400,"Sebastes paucispinis","bocaccio",1984,NA,NA,NA,NA,NA,NA,30400,"Sebastes paucispinis","bocaccio",66,"Other Sebastes",8826010127,30400,302,"Sebastes paucispinis (bocaccio)",0,NA,"MISC. PREY","Bocaccio","Bocaccio",NA,"ROCKFISH",NA,"ROCKFISH",8826010127,"Sebastes paucispinis (bocaccio)","Misc_rockfish","Sebastes","Sebastes","Bocaccio","Forage.fish","Rockfish","fish_other","Slope_rockfish","fish_other","fish_other"
