"SPECIES_CODE","SPECIES_NAME","COMMON_NAME","YEAR_ADDED","RACE.ebs","SCIENTIFIC.ebs","COMMON.ebs","ECOPATH_Num.ebs","ECOPATH_Name.ebs","EXPLORE_Name.ebs","RACE.goa","SCIENTIFIC.goa","COMMON.goa","ECOPATH_Num.goa","ECOPATH_Name.goa","RACE.ai","SCIENTIFIC.ai","COMMON.ai","ECOPATH_Num.ai","ECOPATH_Name.ai","PHYLUM_TAXON","CLASS_TAXON","ORDER_TAXON","FAMILY_TAXON","GENUS_TAXON","SPECIES_TAXON"
40001,"Cnidaria","coelenterate unid.",1989,NA,NA,NA,NA,NA,NA,40001,"Cnidaria","coelenterate unid.",0,"Gen Cnidarian",40001,"Cnidaria","coelenterate unid.",0,"Gen Cnidarian","Cnidaria",NA,NA,NA,NA,NA
40010,"Hydrozoa",NA,1988,40010,"Hydrozoa","(blank)",0,"gelatinous_filter_feeders","Gelatinous filter feeders",40010,"Hydrozoa","(blank)",0,"Gen. Hydrozoa",40010,"Hydrozoa","",0,"Gen. Hydrozoa","Cnidaria","Hydrozoa",NA,NA,NA,NA
40011,"Hydroidolina","hydroid unid.",1984,40011,"(blank)","hydroid unident.",0,"gelatinous_filter_feeders","Gelatinous filter feeders",40011,"Hydroidolina","hydroid unid.",0,"Gen. Hydrozoa",40011,"Hydroidolina","hydroid unid.",0,"Gen. Hydrozoa","Cnidaria","Hydrozoa",NA,NA,NA,NA
40020,"Hydractinia sp.",NA,1984,40020,"Hydractinia sp.","(blank)",0,"gelatinous_filter_feeders","Gelatinous filter feeders",NA,NA,NA,NA,NA,40020,"Hydractinia","Hydractinia",99,"Hydroids","Cnidaria","Hydrozoa","Anthoathecatae","Hydractiniidae","Hydractinia",NA
40050,"Sertularia robusta",NA,1989,40050,"Sertularia robusta","",116,"gelatinous_filter_feeders","Gelatinous filter feeders",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cnidaria","Hydrozoa","Leptothecata","Sertulariidae","Sertularia","robusta"
40500,"Scyphozoa","jellyfish unid.",1988,40500,"Scyphozoa","jellyfish unident.",110,"scyphozoid_jellies","Scyphozoid Jellies",40500,"Scyphozoa","jellyfish unid.",105,"Scyphozoid Jellies",40500,"Scyphozoa","jellyfish unid.",106,"Scyphozoid Jellies","Cnidaria","Scyphozoa",NA,NA,NA,NA
40501,"Chrysaora sp.","chrysaora jelly",1984,40501,"Chrysaora sp.","chrysaora jellyfish",110,"scyphozoid_jellies","Scyphozoid Jellies",40501,"Chrysaora sp.","chrysaora jellyfish",105,"Scyphozoid Jellies",40501,"Chrysaora sp.","chrysaora jellyfish",106,"Scyphozoid Jellies","Cnidaria","Scyphozoa","Semaeostomeae","Pelagiidae","Chrysaora",NA
40510,"Atolla sp.",NA,1984,40510,"Atolla sp.","(blank)",110,"scyphozoid_jellies","Scyphozoid Jellies",40510,"Atolla sp.","(blank)",105,"Scyphozoid Jellies",40510,"Atolla sp.","",106,"Scyphozoid Jellies","Cnidaria","Scyphozoa","Coronatae","Atollidae","Atolla",NA
40560,"Cyanea sp.",NA,1984,40560,"Cyanea sp.","(blank)",116,"gelatinous_filter_feeders","Gelatinous filter feeders",40560,"Cyanea sp.","(blank)",105,"Scyphozoid Jellies",40560,"Cyanea sp.","",106,"Scyphozoid Jellies","Cnidaria","Scyphozoa","Semaeostomeae","Cyaneidae","Cyanea",NA
40561,"Cyanea capillata","lion's mane jelly",1984,40561,"Cyanea capillata","lion's mane",116,"gelatinous_filter_feeders","Gelatinous filter feeders",40561,"Cyanea capillata","lion's mane",105,"Scyphozoid Jellies",40561,"Cyanea capillata","lion's mane",106,"Scyphozoid Jellies","Cnidaria","Scyphozoa","Semaeostomeae","Cyaneidae","Cyanea","capillata"
41000,"Anthozoa",NA,1988,41000,"(blank)","Anthozoa",0,"unid","UNID",41000,"Anthozoa","(blank)",0,"UNID",41000,"Anthozoa","",0,"UNID","Cnidaria","Anthozoa",NA,NA,NA,NA
41100,"Alcyonacea","soft coral unid.",1988,41100,"Alcyonacea","soft coral unident.",102,"corals","Corals",41100,"Alcyonacea","soft coral unid.",97,"Corals",41100,"Alcyonacea","soft coral unid.",98,"Corals","Cnidaria","Anthozoa","Alcyonacea",NA,NA,NA
41201,"Gersemia sp.","sea raspberry",1984,41201,"Gersemia sp.","sea raspberry",102,"corals","Corals",41201,"Gersemia sp.","sea raspberry",97,"Corals",41201,"Gersemia sp.","sea raspberry",98,"Corals","Cnidaria","Anthozoa","Alcyonacea","Alcyoniidae","Gersemia",NA
41221,"Gersemia rubiformis",NA,1984,41221,"Gersemia rubiformis","(blank)",102,"corals","Corals",41221,"Gersemia rubiformis","(blank)",97,"Corals",NA,NA,NA,NA,NA,"Cnidaria","Anthozoa","Alcyonacea","Alcyoniidae","Gersemia","rubiformis"
41500,"Gorgonacea","gorgonian coral unid.",1988,41500,"Gorgonacea","gorgonian coral unident.",102,"corals","Corals",41500,"Gorgonacea","gorgonian coral unid.",97,"Corals",41500,"Gorgonacea","gorgonian coral unid.",98,"Corals","Cnidaria","Anthozoa",NA,NA,"Gorgonacea",NA
41520,"Primnoa sp.",NA,1984,NA,NA,NA,NA,NA,NA,41520,"Primnoa sp.","(blank)",97,"Corals",41520,"Primnoa sp.","",98,"Corals","Cnidaria","Anthozoa","Alcyonacea","Primnoidae","Primnoa",NA
41522,"Primnoa willeyi","red tree coral",1989,NA,NA,NA,NA,NA,NA,41522,"Primnoa willeyi","red tree coral",97,"Corals",41522,"Primnoa willeyi","red tree coral",98,"Corals","Cnidaria","Anthozoa","Alcyonacea","Primnoidae","Primnoa","willeyi"
41580,"Paragorgia sp.",NA,1984,41580,"Paragorgia sp.","(blank)",102,"corals","Corals",41580,"Paragorgia sp.","(blank)",97,"Corals",41580,"Paragorgia sp.","",98,"Corals","Cnidaria","Anthozoa","Alcyonacea","Paragorgiidae","Paragorgia",NA
41582,"Paragorgia arborea","Kamchatka coral",1989,41582,"Paragorgia arborea","Kamchatka coral",102,"corals","Corals",41582,"Paragorgia arborea","Kamchatka coral",97,"Corals",41582,"Paragorgia arborea","Kamchatka coral",98,"Corals","Cnidaria","Anthozoa","Alcyonacea","Paragorgiidae","Paragorgia","arborea"
41600,"Callogorgia sp.",NA,1984,NA,NA,NA,NA,NA,NA,41600,"Callogorgia sp.","(blank)",97,"Corals",41600,"Callogorgia sp.","",98,"Corals","Cnidaria","Anthozoa","Alcyonacea","Primnoidae","Callogorgia",NA
42000,"Pennatulacea","sea whip or sea pen unid.",1988,42000,"Pennatulacea","sea pen or sea whip unident.",105,"sea_pens","Sea Pens",42000,"Pennatulacea","sea pen or sea whip unid.",100,"Sea Pens",42000,"Pennatulacea","sea pen or sea whip unid.",101,"Sea Pens","Cnidaria","Anthozoa","Pennatulacea",NA,NA,NA
42001,"Virgularia sp.","smoothstem seawhip",1984,42001,"Virgularia sp.","smoothstem seawhip",105,"sea_pens","Sea Pens",42001,"Virgularia sp.","smoothstem seawhip",100,"Sea Pens",42001,"Virgularia sp.","smoothstem seawhip",101,"Sea Pens","Cnidaria","Anthozoa","Pennatulacea","Virgulariidae","Virgularia",NA
42005,"Stylatula gracile","roughstem seawhip",1984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42005,"Stylatula gracile","Roughstem Seawhip",101,"Sea Pens","Cnidaria","Anthozoa","Pennatulacea","Virgulariidae","Stylatula","gracile"
