"SPECIES_CODE","SPECIES_NAME","COMMON_NAME","YEAR_ADDED","RACE.ebs","SCIENTIFIC.ebs","COMMON.ebs","ECOPATH_Num.ebs","ECOPATH_Name.ebs","EXPLORE_Name.ebs","RACE.goa","SCIENTIFIC.goa","COMMON.goa","ECOPATH_Num.goa","ECOPATH_Name.goa","RACE.ai","SCIENTIFIC.ai","COMMON.ai","ECOPATH_Num.ai","ECOPATH_Name.ai","PHYLUM_TAXON","CLASS_TAXON","ORDER_TAXON","FAMILY_TAXON","GENUS_TAXON","SPECIES_TAXON","NODC","RACE","NORPAC","NAME","IDLEVEL","MSVPA_PRED","MSVPA_PREY","ECOPATH_PRED","ECOPATH_PREY.x","GOAPOLL_PRED","GOAPOLL_PREY","BSIERP_PRED","BSIERP_PREY","NODC_CODE","BASE_NAME","LENFEST_NAME","WEBSITE_NAME","CRAB_TEAM","ECOPATH_PREY.y","EBS_CRAB","GOA_MED","HUDSON","EGOA","TROY","SSC_2023"
40001,"Cnidaria","coelenterate unid.",1989,NA,NA,NA,NA,NA,NA,40001,"Cnidaria","coelenterate unid.",0,"Gen Cnidarian",40001,"Cnidaria","coelenterate unid.",0,"Gen Cnidarian","Cnidaria",NA,NA,NA,NA,NA,3.7e+09,40001,1,"Cnidaria",0,NA,"MISC. PREY","Sponge","Sponge",NA,"EPIFAUNA",NA,"EPIFAUNA",3.7e+09,"Cnidaria","Misc_Cnidaria","Cnidaria","Other","Sponge","Epifauna","Structural.epifauna","benthos","Sessile_epifauna","benthos","benthos"
40010,"Hydrozoa",NA,1988,40010,"Hydrozoa","(blank)",0,"gelatinous_filter_feeders","Gelatinous filter feeders",40010,"Hydrozoa","(blank)",0,"Gen. Hydrozoa",40010,"Hydrozoa","",0,"Gen. Hydrozoa","Cnidaria","Hydrozoa",NA,NA,NA,NA,3.701e+09,40010,1,"Hydrozoa",0,NA,"MISC. PREY","Gen. Hydrozoa","Gen. Hydrozoa",NA,"EPIFAUNA",NA,"EPIFAUNA",3.701e+09,"Hydrozoa","Misc_Cnidaria","Cnidaria","Other","Gen. Hydrozoa","Oth.nonfish","OTH","benthos","MISC_NA","benthos","benthos"
40011,"Hydroidolina","hydroid unid.",1984,40011,"(blank)","hydroid unident.",0,"gelatinous_filter_feeders","Gelatinous filter feeders",40011,"Hydroidolina","hydroid unid.",0,"Gen. Hydrozoa",40011,"Hydroidolina","hydroid unid.",0,"Gen. Hydrozoa","Cnidaria","Hydrozoa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40020,"Hydractinia sp.",NA,1984,40020,"Hydractinia sp.","(blank)",0,"gelatinous_filter_feeders","Gelatinous filter feeders",NA,NA,NA,NA,NA,40020,"Hydractinia","Hydractinia",99,"Hydroids","Cnidaria","Hydrozoa","Anthoathecatae","Hydractiniidae","Hydractinia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40050,"Sertularia robusta",NA,1989,40050,"Sertularia robusta","",116,"gelatinous_filter_feeders","Gelatinous filter feeders",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cnidaria","Hydrozoa","Leptothecata","Sertulariidae","Sertularia","robusta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40500,"Scyphozoa","jellyfish unid.",1988,40500,"Scyphozoa","jellyfish unident.",110,"scyphozoid_jellies","Scyphozoid Jellies",40500,"Scyphozoa","jellyfish unid.",105,"Scyphozoid Jellies",40500,"Scyphozoa","jellyfish unid.",106,"Scyphozoid Jellies","Cnidaria","Scyphozoa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40501,"Chrysaora sp.","chrysaora jelly",1984,40501,"Chrysaora sp.","chrysaora jellyfish",110,"scyphozoid_jellies","Scyphozoid Jellies",40501,"Chrysaora sp.","chrysaora jellyfish",105,"Scyphozoid Jellies",40501,"Chrysaora sp.","chrysaora jellyfish",106,"Scyphozoid Jellies","Cnidaria","Scyphozoa","Semaeostomeae","Pelagiidae","Chrysaora",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40510,"Atolla sp.",NA,1984,40510,"Atolla sp.","(blank)",110,"scyphozoid_jellies","Scyphozoid Jellies",40510,"Atolla sp.","(blank)",105,"Scyphozoid Jellies",40510,"Atolla sp.","",106,"Scyphozoid Jellies","Cnidaria","Scyphozoa","Coronatae","Atollidae","Atolla",NA,3733010100,40510,1,"Atolla sp.",0,NA,"MISC. PREY","Scypho Jellies","Scypho Jellies",NA,"GELATINOUS",NA,"GELATINOUS",3733010100,"Atolla sp.","Scyphozoa","Cnidaria","Other","Scypho Jellies","Oth.nonfish","Jellyfish","zoop_other","Gelatinous_carnivores","zoop_other","zoop_other"
40560,"Cyanea sp.",NA,1984,40560,"Cyanea sp.","(blank)",116,"gelatinous_filter_feeders","Gelatinous filter feeders",40560,"Cyanea sp.","(blank)",105,"Scyphozoid Jellies",40560,"Cyanea sp.","",106,"Scyphozoid Jellies","Cnidaria","Scyphozoa","Semaeostomeae","Cyaneidae","Cyanea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40561,"Cyanea capillata","lion's mane jelly",1984,40561,"Cyanea capillata","lion's mane",116,"gelatinous_filter_feeders","Gelatinous filter feeders",40561,"Cyanea capillata","lion's mane",105,"Scyphozoid Jellies",40561,"Cyanea capillata","lion's mane",106,"Scyphozoid Jellies","Cnidaria","Scyphozoa","Semaeostomeae","Cyaneidae","Cyanea","capillata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41000,"Anthozoa",NA,1988,41000,"(blank)","Anthozoa",0,"unid","UNID",41000,"Anthozoa","(blank)",0,"UNID",41000,"Anthozoa","",0,"UNID","Cnidaria","Anthozoa",NA,NA,NA,NA,3.74e+09,41000,1,"Anthozoa (anemome)",0,NA,"MISC. PREY","Anemones","Anemones",NA,"EPIFAUNA",NA,"EPIFAUNA",3.74e+09,"Anthozoa (anemome)","Anthozoa","Cnidaria","Other","Anemones","Epifauna","Structural.epifauna","benthos","Sessile_epifauna","benthos","benthos"
41100,"Alcyonacea","soft coral unid.",1988,41100,"Alcyonacea","soft coral unident.",102,"corals","Corals",41100,"Alcyonacea","soft coral unid.",97,"Corals",41100,"Alcyonacea","soft coral unid.",98,"Corals","Cnidaria","Anthozoa","Alcyonacea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41201,"Gersemia sp.","sea raspberry",1984,41201,"Gersemia sp.","sea raspberry",102,"corals","Corals",41201,"Gersemia sp.","sea raspberry",97,"Corals",41201,"Gersemia sp.","sea raspberry",98,"Corals","Cnidaria","Anthozoa","Alcyonacea","Alcyoniidae","Gersemia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41221,"Gersemia rubiformis",NA,1984,41221,"Gersemia rubiformis","(blank)",102,"corals","Corals",41221,"Gersemia rubiformis","(blank)",97,"Corals",NA,NA,NA,NA,NA,"Cnidaria","Anthozoa","Alcyonacea","Alcyoniidae","Gersemia","rubiformis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
