"SPECIES_CODE","KINGDOM_TAXON","SUBKINGDOM_TAXON","PHYLUM_TAXON","SUBPHYLUM_TAXON","SUPERCLASS_TAXON","CLASS_TAXON","SUBCLASS_TAXON","INFRACLASS_TAXON","DIVISION_TAXON","SUBDIVISION_TAXON","SUPERORDER_TAXON","ORDER_TAXON","SUBORDER_TAXON","INFRAORDER_TAXON","SUPERFAMILY_TAXON","FAMILY_TAXON","SUBFAMILY_TAXON","TRIBE_TAXON","SUBTRIBE_TAXON","GENUS_TAXON","SUBGENUS_TAXON","SECTION_TAXON","SUBSECTION_TAXON","SPECIES_TAXON","SUBSPECIES_TAXON","REPORT_NAME_SCIENTIFIC"
10110,"Animalia",NA,"Chordata","Vertebrata","Osteichythyes","Actinopterygii","Neopterygii","Teleostei",NA,NA,"Acanthopterygii","Pleuronectiformes",NA,NA,NA,"Pleuronectidae",NA,NA,NA,"Atheresthes",NA,NA,NA,"stomias",NA,"Atheresthes stomias"
10111,"Animalia",NA,"Chordata","Vertebrata","Osteichythyes","Actinopterygii","Neopterygii","Teleostei",NA,NA,"Acanthopterygii","Pleuronectiformes",NA,NA,NA,"Pleuronectidae",NA,NA,NA,"Atheresthes",NA,NA,NA,NA,NA,"Atheresthes sp."
10112,"Animalia",NA,"Chordata","Vertebrata","Osteichythyes","Actinopterygii","Neopterygii","Teleostei",NA,NA,"Acanthopterygii","Pleuronectiformes",NA,NA,NA,"Pleuronectidae",NA,NA,NA,"Atheresthes",NA,NA,NA,"evermanni",NA,"Atheresthes evermanni"
10115,"Animalia",NA,"Chordata","Vertebrata","Osteichythyes","Actinopterygii","Neopterygii","Teleostei",NA,NA,"Acanthopterygii","Pleuronectiformes",NA,NA,NA,"Pleuronectidae","Hippoglossinae",NA,NA,"Reinhardtius",NA,NA,NA,"hippoglossoides",NA,"Reinhardtius hippoglossoides"
10116,"Animalia",NA,"Chordata","Vertebrata","Osteichythyes","Actinopterygii","Neopterygii","Teleostei",NA,NA,"Acanthopterygii","Pleuronectiformes",NA,NA,NA,"Pleuronectidae","Hippoglossinae",NA,NA,"Reinhardtius",NA,NA,NA,"hippoglossoides",NA,"Reinhardtius hippoglossoides"
10120,"Animalia",NA,"Chordata","Vertebrata","Osteichythyes","Actinopterygii","Neopterygii","Teleostei",NA,NA,"Acanthopterygii","Pleuronectiformes",NA,NA,NA,"Pleuronectidae","Hippoglossinae",NA,NA,"Hippoglossus",NA,NA,NA,"stenolepis",NA,"Hippoglossus stenolepis"
10121,"Animalia",NA,"Chordata","Vertebrata","Osteichythyes","Actinopterygii","Neopterygii","Teleostei",NA,NA,"Acanthopterygii","Pleuronectiformes",NA,NA,NA,"Pleuronectidae","Hippoglossinae",NA,NA,"Hippoglossus",NA,NA,NA,"stenolepis",NA,"Hippoglossus stenolepis"
10122,"Animalia",NA,"Chordata","Vertebrata","Osteichythyes","Actinopterygii","Neopterygii","Teleostei",NA,NA,"Acanthopterygii","Pleuronectiformes",NA,NA,NA,"Pleuronectidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pleuronectidae unid."
10129,"Animalia",NA,"Chordata","Vertebrata","Osteichythyes","Actinopterygii","Neopterygii","Teleostei",NA,NA,"Acanthopterygii","Pleuronectiformes",NA,NA,NA,"Pleuronectidae","Hippoglossoidinae",NA,NA,"Hippoglossoides",NA,NA,NA,NA,NA,"Hippoglossoides sp."
10130,"Animalia",NA,"Chordata","Vertebrata","Osteichythyes","Actinopterygii","Neopterygii","Teleostei",NA,NA,"Acanthopterygii","Pleuronectiformes",NA,NA,NA,"Pleuronectidae","Hippoglossoidinae",NA,NA,"Hippoglossoides",NA,NA,NA,"elassodon",NA,"Hippoglossoides elassodon"
10140,"Animalia",NA,"Chordata","Vertebrata","Osteichythyes","Actinopterygii","Neopterygii","Teleostei",NA,NA,"Acanthopterygii","Pleuronectiformes",NA,NA,NA,"Pleuronectidae","Hippoglossoidinae",NA,NA,"Hippoglossoides",NA,NA,NA,"robustus",NA,"Hippoglossoides robustus"
10141,"Animalia",NA,"Chordata","Vertebrata","Osteichythyes","Actinopterygii","Neopterygii","Teleostei",NA,NA,"Acanthopterygii","Pleuronectiformes",NA,NA,NA,"Pleuronectidae","Hippoglossoidinae",NA,NA,"Hippoglossoides",NA,NA,NA,"robustus",NA,"Hippoglossoides robustus"
10145,"Animalia",NA,"Chordata","Vertebrata","Osteichythyes","Actinopterygii","Neopterygii","Teleostei",NA,NA,"Acanthopterygii","Pleuronectiformes",NA,NA,NA,"Pleuronectidae",NA,NA,NA,"Hypsopsetta",NA,NA,NA,"guttulata",NA,"Hypsopsetta guttulata"
10150,"Animalia",NA,"Chordata","Vertebrata","Osteichythyes","Actinopterygii","Neopterygii","Teleostei",NA,NA,"Acanthopterygii","Pleuronectiformes",NA,NA,NA,"Pleuronectidae","Lyopsettinae",NA,NA,"Lyopsetta",NA,NA,NA,"exilis",NA,"Lyopsetta exilis"
10155,"Animalia",NA,"Chordata","Vertebrata","Osteichythyes","Actinopterygii","Neopterygii","Teleostei",NA,NA,"Acanthopterygii","Pleuronectiformes",NA,NA,NA,"Pleuronectidae",NA,NA,NA,"Liopsetta",NA,NA,NA,"glacialis",NA,"Liopsetta glacialis"
10160,"Animalia",NA,"Chordata","Vertebrata","Osteichythyes","Actinopterygii","Neopterygii","Teleostei",NA,NA,"Acanthopterygii","Pleuronectiformes",NA,NA,NA,"Pleuronectidae","Eopsettinae",NA,NA,"Eopsetta",NA,NA,NA,"jordani",NA,"Eopsetta jordani"
10170,"Animalia",NA,"Chordata","Vertebrata","Osteichythyes","Actinopterygii","Neopterygii","Teleostei",NA,NA,"Acanthopterygii","Pleuronectiformes",NA,NA,NA,"Pleuronectidae","Pleuronectinae","Pleuronectini",NA,"Parophrys",NA,NA,NA,"vetulus",NA,"Parophrys vetulus"
10180,"Animalia",NA,"Chordata","Vertebrata","Osteichythyes","Actinopterygii","Neopterygii","Teleostei",NA,NA,"Acanthopterygii","Pleuronectiformes",NA,NA,NA,"Pleuronectidae","Pleuronectinae","Microstomini",NA,"Microstomus",NA,NA,NA,"pacificus",NA,"Microstomus pacificus"
10190,"Animalia",NA,"Chordata","Vertebrata","Osteichythyes","Actinopterygii","Neopterygii","Teleostei",NA,NA,"Acanthopterygii","Pleuronectiformes",NA,NA,NA,"Pleuronectidae",NA,NA,NA,"Embassichthys",NA,NA,NA,"bathybius",NA,"Embassichthys bathybius"
10200,"Animalia",NA,"Chordata","Vertebrata","Osteichythyes","Actinopterygii","Neopterygii","Teleostei",NA,NA,"Acanthopterygii","Pleuronectiformes",NA,NA,NA,"Pleuronectidae","Pleuronectinae","Microstomini",NA,"Glyptocephalus",NA,NA,NA,"zachirus",NA,"Glyptocephalus zachirus"
10201,"Animalia",NA,"Chordata","Vertebrata","Osteichythyes","Actinopterygii","Neopterygii","Teleostei",NA,NA,"Acanthopterygii","Pleuronectiformes",NA,NA,NA,"Pleuronectidae","Pleuronectinae","Microstomini",NA,"Glyptocephalus",NA,NA,NA,"zachirus",NA,"Glyptocephalus zachirus"
10209,"Animalia",NA,"Chordata","Vertebrata","Osteichythyes","Actinopterygii","Neopterygii","Teleostei",NA,NA,"Acanthopterygii","Pleuronectiformes",NA,NA,NA,"Pleuronectidae","Pleuronectinae","Pleuronectini",NA,"Limanda",NA,NA,NA,"aspera",NA,"Limanda aspera"
10210,"Animalia",NA,"Chordata","Vertebrata","Osteichythyes","Actinopterygii","Neopterygii","Teleostei",NA,NA,"Acanthopterygii","Pleuronectiformes",NA,NA,NA,"Pleuronectidae","Pleuronectinae","Pleuronectini",NA,"Limanda",NA,NA,NA,"aspera",NA,"Limanda aspera"
10211,"Animalia",NA,"Chordata","Vertebrata","Osteichythyes","Actinopterygii","Neopterygii","Teleostei",NA,NA,"Acanthopterygii","Pleuronectiformes",NA,NA,NA,"Pleuronectidae","Pleuronectinae","Pleuronectini",NA,"Limanda",NA,NA,NA,"proboscidea",NA,"Limanda proboscidea"
