"species_code","species_name","common_name","year_added","kingdom_taxon","phylum_taxon","class_taxon","order_taxon","family_taxon","genus_taxon","species_taxon","report_name_scientific","ebs_ecopath","ai_ecopath","goa_ecopath","ebs_guild","ai_guild","goa_guild","final_goa"
1,NA,"fish egg unid.",1989,"Animalia","Chordata","Actinopterygii",NA,NA,NA,NA,"Actinopterygii unid.","fish_larvae","Fish Larvae","Fish Larvae","Mesozooplankton","Mesozooplankton","Mesozooplankton","MISC_NA"
2,NA,"fish larvae unid.",1984,"Animalia","Chordata","Actinopterygii",NA,NA,NA,NA,"Actinopterygii unid.","fish_larvae","Fish Larvae","Fish Larvae","Mesozooplankton","Mesozooplankton","Mesozooplankton","MISC_NA"
3,NA,"fish unid.",1984,"Animalia","Chordata","Actinopterygii",NA,NA,NA,NA,"Actinopterygii unid.","gen_fish","Gen Fish","Gen Fish",NA,NA,NA,"MISC_NA"
10,"Petromyzontidae","lamprey unid.",1984,"Animalia","Chordata","Cephalaspidomorphi","Petromyzontiformes","Petromyzontidae",NA,NA,"Petromyzontidae unid.","misc_fish_shallow","Misc. fish shallow","Misc. fish shallow","Pelagic foragers","Pelagic foragers","Pelagic foragers","Shelf_demersals"
21,"Entosphenus tridentatus","Pacific lamprey",1984,"Animalia","Chordata","Cephalaspidomorphi","Petromyzontiformes","Petromyzontidae","Lampetra","tridentata","Lampetra tridentata","misc_fish_shallow","Misc. fish shallow","Misc. fish shallow","Pelagic foragers","Pelagic foragers","Pelagic foragers","Shelf_demersals"
100,"Myxinidae","hagfish unid.",1984,"Animalia","Chordata","Myxini","Myxiniformes","Myxinidae",NA,NA,"Myxinidae unid.",NA,NA,NA,NA,NA,NA,"ZERO"
109,"Eptatretus sp.",NA,1999,"Animalia","Chordata","Myxini","Myxiniformes","Myxinidae","Eptatretus",NA,"Eptatretus sp.",NA,NA,NA,NA,NA,NA,"ZERO"
110,"Eptatretus deani","black hagfish",1984,"Animalia","Chordata","Myxini","Myxiniformes","Myxinidae","Eptatretus","deani","Eptatretus deani",NA,NA,NA,NA,NA,NA,"ZERO"
120,"Eptatretus stouti","Pacific hagfish",1984,"Animalia","Chordata","Myxini","Myxiniformes","Myxinidae","Eptatretus","stouti","Eptatretus stouti",NA,NA,NA,NA,NA,NA,"ZERO"
150,"Selachii","shark unid.",1984,"Animalia","Chordata","Chondrichthyes",NA,NA,NA,NA,"Selachii unid.",NA,NA,NA,NA,NA,NA,"ZERO"
151,"Chondrichthyes","cartilaginous fish unid.",2010,"Animalia","Chordata","Chondrichthyes",NA,NA,NA,NA,"Chondrichthyes unid.",NA,NA,NA,NA,NA,NA,"ZERO"
160,"Selachii egg case","shark egg case unid.",2010,"Animalia","Chordata","Chondrichthyes",NA,NA,NA,NA,"Selachii unid.",NA,NA,"Gen Chondrychthyes",NA,NA,NA,"Sharks_demersal"
180,"Alopias vulpinus","thresher shark",1984,"Animalia","Chordata","Chondrichthyes","Lamniformes","Alopiidae","Alopias","vulpinus","Alopias vulpinus",NA,NA,NA,NA,NA,NA,"ZERO"
200,"Scyliorhinidae","cat shark unid.",1987,"Animalia","Chordata","Chondrichthyes","Carcharhiniformes","Scyliorhinidae",NA,NA,"Scyliorhinidae unid.",NA,NA,NA,NA,NA,NA,"ZERO"
201,"Apristurus brunneus egg case","brown cat shark egg case",1997,"Animalia","Chordata","Chondrichthyes","Carcharhiniformes","Scyliorhinidae","Apristurus","brunneus","Apristurus brunneus",NA,NA,NA,NA,NA,NA,"ZERO"
210,"Apristurus brunneus","brown cat shark",1984,"Animalia","Chordata","Chondrichthyes","Carcharhiniformes","Scyliorhinidae","Apristurus","brunneus","Apristurus brunneus",NA,NA,"Gen Chondrychthyes",NA,NA,NA,"Sharks_demersal"
211,"Parmaturus xaniurus","filetail cat shark",1984,"Animalia","Chordata","Chondrichthyes","Carcharhiniformes","Scyliorhinidae","Parmaturus","xaniurus","Parmaturus xaniurus",NA,NA,NA,NA,NA,NA,"ZERO"
212,"Apristurus kampae","longnose cat shark",1984,"Animalia","Chordata","Chondrichthyes","Carcharhiniformes","Scyliorhinidae","Apristurus","kampae","Apristurus kampae",NA,NA,NA,NA,NA,NA,"ZERO"
213,"Apristurus sp.",NA,1998,"Animalia","Chordata","Chondrichthyes","Carcharhiniformes","Scyliorhinidae","Apristurus",NA,"Apristurus sp.",NA,NA,NA,NA,NA,NA,"ZERO"
214,"Cephaloscyllium ventriosum","swell shark",1989,"Animalia","Chordata","Chondrichthyes","Carcharhiniformes","Scyliorhinidae","Cephaloscyllium","ventriosum","Cephaloscyllium ventriosum",NA,NA,NA,NA,NA,NA,"ZERO"
222,"Hexanchus griseus","sixgill shark",1984,"Animalia","Chordata","Chondrichthyes","Hexanchiformes","Hexanchidae","Hexanchus","griseus","Hexanchus griseus",NA,NA,"Gen Chondrychthyes",NA,NA,NA,"Sharks_demersal"
232,"Lamna ditropis","salmon shark",1984,"Animalia","Chordata","Chondrichthyes","Lamniformes","Lamnidae","Lamna","ditropis","Lamna ditropis","no_salmon_shark","Salmon shark","Salmon shark",NA,"Apex predators","Apex predators","Salmon_shark"
242,"Cetorhinus maximus","basking shark",1984,"Animalia","Chordata","Chondrichthyes","Lamniformes","Cetorhinidae","Cetorhinus","maximus","Cetorhinus maximus",NA,NA,NA,NA,NA,NA,"ZERO"
252,"Squatina californica","Pacific angel shark",1984,"Animalia","Chordata","Chondrichthyes","Squatiniformes","Squatinidae","Squatina","californica","Squatina californica",NA,NA,NA,NA,NA,NA,"ZERO"
310,"Squalus suckleyi","spiny dogfish",1984,"Animalia","Chordata","Chondrichthyes","Squaliformes","Squalidae","Squalus","suckleyi","Squalus suckleyi","dogfish","Dogfish","Dogfish",NA,"Apex predators","Apex predators","Pacific_dogfish"
311,"Centroscyllium nigrum","combtooth dogfish",2003,"Animalia","Chordata","Chondrichthyes","Squaliformes","Etmopteridae","Centroscyllium","nigrum","Centroscyllium nigrum",NA,NA,NA,NA,NA,NA,"ZERO"
320,"Somniosus pacificus","Pacific sleeper shark",1984,"Animalia","Chordata","Chondrichthyes","Squaliformes","Somniosidae","Somniosus","pacificus","Somniosus pacificus","sleeper_shark","Sleeper shark","Sleeper shark","Poor Apex predators","Apex predators","Apex predators","Sharks_demersal"
332,"Galeorhinus galeus","soupfin shark",1984,"Animalia","Chordata","Chondrichthyes","Carcharhiniformes","Triakidae","Galeorhinus","galeus","Galeorhinus galeus",NA,NA,NA,NA,NA,NA,"ZERO"
339,"Mustelus sp.",NA,1998,"Animalia","Chordata","Chondrichthyes","Carcharhiniformes","Triakidae","Mustelus",NA,"Mustelus sp.",NA,NA,NA,NA,NA,NA,"ZERO"
340,"Mustelus henlei","brown smoothhound",1984,"Animalia","Chordata","Chondrichthyes","Carcharhiniformes","Triakidae","Mustelus","henlei","Mustelus henlei",NA,NA,NA,NA,NA,NA,"ZERO"
341,"Mustelus californicus","gray smoothhound",1984,"Animalia","Chordata","Chondrichthyes","Carcharhiniformes","Triakidae","Mustelus","californicus","Mustelus californicus",NA,NA,NA,NA,NA,NA,"ZERO"
351,"Prionace glauca","blue shark",1984,"Animalia","Chordata","Chondrichthyes","Carcharhiniformes","Carcharhinidae","Prionace","glauca","Prionace glauca",NA,NA,NA,NA,NA,NA,"ZERO"
355,"Triakis semifasciata","leopard shark",1984,"Animalia","Chordata","Chondrichthyes","Carcharhiniformes","Triakidae","Triakis","semifasciata","Triakis semifasciata",NA,NA,NA,NA,NA,NA,"ZERO"
400,"Rajidae","skate unid.",2010,"Animalia","Chordata","Chondrichthyes","Rajiformes","Rajidae",NA,NA,"Rajidae unid.","ak_skate","Other skates","Other skates","Apex predators","Apex predators","Apex predators","Other_skates"
401,"Rajiformes egg case","skate egg case unid.",1984,"Animalia","Chordata","Chondrichthyes","Rajiformes","Rajidae",NA,NA,"Rajidae unid.","oth_skate","Other skates","Other skates","Apex predators","Apex predators","Apex predators","Other_skates"
402,"Bathyraja sp. egg case","Bathyraja sp. egg case",1997,"Animalia","Chordata","Chondrichthyes","Rajiformes","Rajidae","Bathyraja",NA,"Bathyraja sp.","oth_skate","Other skates","Other skates","Apex predators","Apex predators","Apex predators","Other_skates"
403,"Raja sp. egg case","Raja sp. egg case",1997,"Animalia","Chordata","Chondrichthyes","Rajiformes","Rajidae","Raja",NA,"Raja sp.","oth_skate",NA,"Other skates","Apex predators",NA,"Apex predators","Other_skates"
404,"Raja sp.",NA,1988,"Animalia","Chordata","Chondrichthyes","Rajiformes","Rajidae","Raja",NA,"Raja sp.","oth_skate","Other skates","Other skates","Apex predators","Apex predators","Apex predators","Other_skates"
405,"Bathyraja sp.",NA,1984,"Animalia","Chordata","Chondrichthyes","Rajiformes","Rajidae","Bathyraja",NA,"Bathyraja sp.","oth_skate","Other skates","Other skates","Apex predators","Apex predators","Apex predators","Other_skates"
406,"Bathyraja spinosissima","white skate",1984,"Animalia","Chordata","Chondrichthyes","Rajiformes","Rajidae","Bathyraja","spinosissima","Bathyraja spinosissima",NA,"Other skates",NA,NA,"Apex predators",NA,"ZERO"
410,"Bathyraja abyssicola","deepsea skate",1984,"Animalia","Chordata","Chondrichthyes","Rajiformes","Rajidae","Bathyraja","abyssicola","Bathyraja abyssicola","oth_skate","Other skates","Other skates","Apex predators","Apex predators","Apex predators","Other_skates"
411,"Bathyraja abyssicola egg case","deepsea skate egg case",2006,"Animalia","Chordata","Chondrichthyes","Rajiformes","Rajidae","Bathyraja","abyssicola","Bathyraja abyssicola",NA,"Other skates",NA,NA,"Apex predators",NA,"ZERO"
420,"Beringraja binoculata","big skate",1984,"Animalia","Chordata","Chondrichthyes","Rajiformes","Rajidae","Beringraja","binoculata","Beringraja binoculata","oth_skate","Other skates","Big skate","Apex predators","Apex predators","Apex predators","Big_skate"
421,"Beringraja binoculata egg case","big skate egg case",1999,"Animalia","Chordata","Chondrichthyes","Rajiformes","Rajidae","Beringraja","binoculata","Beringraja binoculata","oth_skate",NA,"Big skate","Apex predators",NA,"Apex predators","Big_skate"
425,"Raja inornata","California skate",1984,"Animalia","Chordata","Chondrichthyes","Rajiformes","Rajidae","Raja","inornata","Raja inornata",NA,NA,NA,NA,NA,NA,"ZERO"
435,"Bathyraja interrupta","Bering skate",1984,"Animalia","Chordata","Chondrichthyes","Rajiformes","Rajidae","Bathyraja","interrupta","Bathyraja interrupta","oth_skate","Other skates","Other skates","Apex predators","Apex predators","Apex predators","Other_skates"
436,"Bathyraja interrupta egg case","Bering skate egg case",2000,"Animalia","Chordata","Chondrichthyes","Rajiformes","Rajidae","Bathyraja","interrupta","Bathyraja interrupta","oth_skate","Other skates","Other skates","Apex predators","Apex predators","Apex predators","Other_skates"
440,"Beringraja rhina","longnose skate",1984,"Animalia","Chordata","Chondrichthyes","Rajiformes","Rajidae","Raja","rhina","Raja rhina","oth_skate","Other skates","Longnosed skate","Apex predators","Apex predators","Apex predators","Longnose_skate"
441,"Beringraja rhina egg case","longnose skate egg case",2005,"Animalia","Chordata","Chondrichthyes","Rajiformes","Rajidae","Raja","rhina","Raja rhina",NA,"Other skates","Longnosed skate",NA,"Apex predators","Apex predators","Longnose_skate"
445,"Amblyraja hyperborea","roughshoulder skate",1984,"Animalia","Chordata","Chondrichthyes","Rajiformes","Rajidae","Raja","badia","Raja badia",NA,NA,NA,NA,NA,NA,"ZERO"
446,"Amblyraja hyperborea egg case","roughshoulder skate egg case",2006,"Animalia","Chordata","Chondrichthyes","Rajiformes","Rajidae","Raja","badia","Raja badia",NA,"Other skates",NA,NA,"Apex predators",NA,"ZERO"
450,"Raja stellulata","starry skate",1984,"Animalia","Chordata","Chondrichthyes","Rajiformes","Rajidae","Raja","stellulata","Raja stellulata","oth_skate",NA,"Other skates","Apex predators",NA,"Apex predators","Other_skates"
455,"Bathyraja taranetzi","mud skate",1992,"Animalia","Chordata","Chondrichthyes","Rajiformes","Rajidae","Bathyraja","taranetzi","Bathyraja taranetzi","oth_skate","Other skates","Other skates","Apex predators","Apex predators","Apex predators","Other_skates"
456,"Bathyraja taranetzi egg case","mud skate egg case",2004,"Animalia","Chordata","Chondrichthyes","Rajiformes","Rajidae","Bathyraja","taranetzi","Bathyraja taranetzi","oth_skate","Other skates","Other skates","Apex predators","Apex predators","Apex predators","Other_skates"
460,"Bathyraja trachura","roughtail skate",1984,"Animalia","Chordata","Chondrichthyes","Rajiformes","Rajidae","Bathyraja","trachura","Bathyraja trachura",NA,"Other skates","Other skates",NA,"Apex predators","Apex predators","Other_skates"
461,"Bathyraja trachura egg case","roughtail skate egg case",1999,"Animalia","Chordata","Chondrichthyes","Rajiformes","Rajidae","Bathyraja","trachura","Bathyraja trachura",NA,NA,"Other skates",NA,NA,"Apex predators","Other_skates"
471,"Arctoraja parmifera","Alaska skate",1984,"Animalia","Chordata","Chondrichthyes","Rajiformes","Rajidae","Bathyraja","parmifera","Bathyraja parmifera","ak_skate","Alaska skate","Other skates","Apex predators","Apex predators","Apex predators","Other_skates"
472,"Bathyraja aleutica","Aleutian skate",1984,"Animalia","Chordata","Chondrichthyes","Rajiformes","Rajidae","Bathyraja","aleutica","Bathyraja aleutica","oth_skate","Other skates","Other skates","Apex predators","Apex predators","Apex predators","Other_skates"
473,"Bathyraja aleutica egg case","Aleutian skate egg case",2004,"Animalia","Chordata","Chondrichthyes","Rajiformes","Rajidae","Bathyraja","aleutica","Bathyraja aleutica","oth_skate","Other skates","Other skates","Apex predators","Apex predators","Apex predators","Other_skates"
474,"Arctoraja parmifera egg case","Alaska skate egg case",2004,"Animalia","Chordata","Chondrichthyes","Rajiformes","Rajidae","Bathyraja","parmifera","Bathyraja parmifera","ak_skate","Other skates","Other skates","Apex predators","Apex predators","Apex predators","Other_skates"
475,"Bathyraja lindbergi","Commander skate",1984,"Animalia","Chordata","Chondrichthyes","Rajiformes","Rajidae","Bathyraja","lindbergi","Bathyraja lindbergi",NA,"Other skates","Other skates",NA,"Apex predators","Apex predators","Other_skates"
476,"Bathyraja lindbergi egg case","Commander skate egg case",2006,"Animalia","Chordata","Chondrichthyes","Rajiformes","Rajidae","Bathyraja","lindbergi","Bathyraja lindbergi",NA,NA,NA,NA,NA,NA,"ZERO"
477,"Bathyraja panthera","leopard skate",2006,"Animalia","Chordata","Chondrichthyes","Rajiformes","Rajidae","Bathyraja","panthera","Bathyraja panthera","oth_skate","Other skates","Other skates","Apex predators","Apex predators","Apex predators","ZERO"
478,"Bathyraja panthera egg case","leopard skate egg case",2010,"Animalia","Chordata","Chondrichthyes","Rajiformes","Rajidae","Bathyraja","panthera","Bathyraja panthera","oth_skate","Other skates","Other skates","Apex predators","Apex predators","Apex predators","ZERO"
480,"Bathyraja maculata","whiteblotched skate",1984,"Animalia","Chordata","Chondrichthyes","Rajiformes","Rajidae","Bathyraja","maculata","Bathyraja maculata","oth_skate","Other skates","Other skates","Apex predators","Apex predators","Apex predators","Other_skates"
481,"Bathyraja maculata egg case","whiteblotched skate egg case",2006,"Animalia","Chordata","Chondrichthyes","Rajiformes","Rajidae","Bathyraja","maculata","Bathyraja maculata",NA,"Other skates","Other skates",NA,"Apex predators","Apex predators","Other_skates"
483,"Bathyraja mariposa","butterfly skate",2004,"Animalia","Chordata","Chondrichthyes","Rajiformes","Rajidae","Bathyraja","mariposa","Bathyraja mariposa",NA,"Other skates","Other skates",NA,"Apex predators","Apex predators","Other_skates"
484,"Bathyraja mariposa egg case","butterfly skate egg case",2010,"Animalia","Chordata","Chondrichthyes","Rajiformes","Rajidae","Bathyraja","mariposa","Bathyraja mariposa",NA,"Other skates","Other skates",NA,"Apex predators","Apex predators","Other_skates"
485,"Bathyraja minispinosa","whitebrow skate",1984,"Animalia","Chordata","Chondrichthyes","Rajiformes","Rajidae","Bathyraja","minispinosa","Bathyraja minispinosa","oth_skate","Other skates","Other skates","Apex predators","Apex predators","Apex predators","Other_skates"
486,"Bathyraja minispinosa egg case","whitebrow skate egg case",2004,"Animalia","Chordata","Chondrichthyes","Rajiformes","Rajidae","Bathyraja","minispinosa","Bathyraja minispinosa","oth_skate","Other skates","Other skates","Apex predators","Apex predators","Apex predators","Other_skates"
490,"Bathyraja smirnovi","golden skate",1984,"Animalia","Chordata","Chondrichthyes","Rajiformes","Rajidae","Bathyraja","smirnovi","Bathyraja smirnovi","oth_skate","Other skates",NA,"Apex predators","Apex predators",NA,"ZERO"
495,"Bathyraja violacea","Okhotsk skate",1984,"Animalia","Chordata","Chondrichthyes","Rajiformes","Rajidae","Bathyraja","violacea","Bathyraja violacea","oth_skate","Other skates",NA,"Apex predators","Apex predators",NA,"ZERO"
610,"Torpedo californica","Pacific electric ray",1984,"Animalia","Chordata","Chondrichthyes","Torpediniformes","Torpedinidae","Torpedo","californica","Torpedo californica",NA,NA,NA,NA,NA,NA,"ZERO"
710,"Hydrolagus colliei","spotted ratfish",1984,"Animalia","Chordata","Chondrichthyes","Chimaeriformes","Chimaeridae","Hydrolagus","colliei","Hydrolagus colliei",NA,NA,"Gen Chondrychthyes",NA,NA,NA,"Spotted_ratfish"
711,"Hydrolagus colliei egg case","spotted ratfish egg case",1997,"Animalia","Chordata","Chondrichthyes","Chimaeriformes","Chimaeridae","Hydrolagus","colliei","Hydrolagus colliei",NA,NA,"Gen Chondrychthyes",NA,NA,NA,"Spotted_ratfish"
10001,"Pleuronectiformes","flatfish unid.",1989,"Animalia","Chordata","Actinopterygii","Pleuronectiformes",NA,NA,NA,"Pleuronectiformes unid.","misc_flats",NA,NA,"Benthic foragers",NA,NA,"ZERO"
10002,"Pleuronectiform larvae","flatfish larvae",1989,"Animalia","Chordata","Actinopterygii","Pleuronectiformes",NA,NA,NA,"Pleuronectiformes unid.",NA,NA,"Fish Larvae",NA,NA,"Mesozooplankton","Shallow_water_flatfish"
10003,"Bothidae","lefteye flounder unid.",2010,"Animalia","Chordata","Actinopterygii","Pleuronectiformes","Bothidae",NA,NA,"Bothidae unid.",NA,NA,NA,NA,NA,NA,"ZERO"
10008,"Citharichthys sp.","sanddab unid.",1984,"Animalia","Chordata","Actinopterygii","Pleuronectiformes","Paralichthyidae","Citharichthys",NA,"Citharichthys sp.","misc_flats","Misc. Flatfish",NA,"Benthic foragers","Benthic foragers",NA,"ZERO"
10009,"Citharichthys xanthostigma","longfin sanddab",1984,"Animalia","Chordata","Actinopterygii","Pleuronectiformes","Paralichthyidae","Citharichthys","xanthostigma","Citharichthys xanthostigma",NA,NA,NA,NA,NA,NA,"ZERO"
10010,"Citharichthys sordidus","Pacific sanddab",1984,"Animalia","Chordata","Actinopterygii","Pleuronectiformes","Paralichthyidae","Citharichthys","sordidus","Citharichthys sordidus",NA,NA,"Misc. Flatfish",NA,NA,"Benthic foragers","Shallow_water_flatfish"
10020,"Citharichthys stigmaeus","speckled sanddab",1984,"Animalia","Chordata","Actinopterygii","Pleuronectiformes","Paralichthyidae","Citharichthys","stigmaeus","Citharichthys stigmaeus",NA,NA,"Misc. Flatfish",NA,NA,"Benthic foragers","Shallow_water_flatfish"
10041,"Hippoglossina stomata","bigmouth sole",1984,"Animalia","Chordata","Actinopterygii","Pleuronectiformes","Paralichthyidae","Hippoglossina","stomata","Hippoglossina stomata",NA,NA,NA,NA,NA,NA,"ZERO"
10050,"Paralichthys californicus","California halibut",1984,"Animalia","Chordata","Actinopterygii","Pleuronectiformes","Paralichthyidae","Paralichthys","californicus","Paralichthys californicus",NA,NA,NA,NA,NA,NA,"ZERO"
10060,"Xystreurys liolepis","fantail sole",1989,"Animalia","Chordata","Actinopterygii","Pleuronectiformes","Paralichthyidae","Xystreurys","liolepis","Xystreurys liolepis",NA,NA,NA,NA,NA,NA,"ZERO"
10100,"Pleuronectidae","righteye flounder unid.",1984,"Animalia","Chordata","Actinopterygii","Pleuronectiformes","Pleuronectidae",NA,NA,"Pleuronectidae unid.",NA,NA,"Gen flatfish",NA,NA,NA,"Shallow_water_flatfish"
10110,"Atheresthes stomias","arrowtooth flounder",1984,"Animalia","Chordata","Actinopterygii","Pleuronectiformes","Pleuronectidae","Atheresthes","stomias","Atheresthes stomias","arrowtooth","Arrowtooth","Arrowtooth","Apex predators","Apex predators","Apex predators","Arrowtooth_flounder"
10111,"Atheresthes sp.",NA,2000,"Animalia","Chordata","Actinopterygii","Pleuronectiformes","Pleuronectidae","Atheresthes",NA,"Atheresthes sp.","arrowtooth","Arrowtooth",NA,"Apex predators","Apex predators",NA,"ZERO"
10112,"Atheresthes evermanni","Kamchatka flounder",1984,"Animalia","Chordata","Actinopterygii","Pleuronectiformes","Pleuronectidae","Atheresthes","evermanni","Atheresthes evermanni","kamchatka","Kamchatka fl.","Gen flatfish","Apex predators","Apex predators",NA,"Arrowtooth_flounder"
10115,"Reinhardtius hippoglossoides","Greenland turbot",1984,"Animalia","Chordata","Actinopterygii","Pleuronectiformes","Pleuronectidae","Reinhardtius","hippoglossoides","Reinhardtius hippoglossoides","gr_turbot","Gr. Turbot","Gen flatfish","Apex predators","Apex predators",NA,"Shallow_water_flatfish"
