"year","model","stratum_bin","species_name","lbin","prey_guild","strat_preycons_t_km2","area","cons_tons_day"
1982,"EBS","NW_corner","W.pollock","[10,25)","MISSING",0.0102366437685761,29522,302.206197335904
1982,"EBS","NW_corner","W.pollock","[25,40)","MISSING",0.0100071893325736,29522,295.432243476238
1982,"EBS","NW_corner","W.pollock","[40,55)","MISSING",0.00513096164592979,29522,151.476249711139
1982,"EBS","NW_corner","W.pollock","[55,999)","MISSING",0.00184021065021448,29522,54.3266988156318
1982,"EBS","NW_inner","W.pollock","[0,10)","MISSING",9.56406886317536e-06,41027,0.392385053249496
1982,"EBS","NW_inner","W.pollock","[10,25)","MISSING",0.00201904474307155,41027,82.8353486739965
1982,"EBS","NW_inner","W.pollock","[25,40)","MISSING",0.00669899898743427,41027,274.839831457466
1982,"EBS","NW_inner","W.pollock","[40,55)","MISSING",0.00223301431038166,41027,91.6138781120284
1982,"EBS","NW_inner","W.pollock","[55,999)","MISSING",0.00240225603870767,41027,98.5573585000594
1982,"EBS","NW_middle","W.pollock","[0,10)","MISSING",0,62703,0
1982,"EBS","NW_middle","W.pollock","[10,25)","MISSING",0.00803516798782015,62703,503.829138340287
1982,"EBS","NW_middle","W.pollock","[25,40)","Benth Amph",7.64855685240651e-05,62703,4.79587460316445
1982,"EBS","NW_middle","W.pollock","[25,40)","Copepod",0.000452774740258376,62703,28.3903345384209
1982,"EBS","NW_middle","W.pollock","[25,40)","Euphausiid",0.0403993720380471,62703,2533.16182490167
1982,"EBS","NW_middle","W.pollock","[25,40)","Gen. Fish",1.42300632652632e-05,62703,0.892267656921801
1982,"EBS","NW_middle","W.pollock","[25,40)","Glopp",0.00606444269084543,62703,380.258750044081
1982,"EBS","NW_middle","W.pollock","[25,40)","Hermit Crab",2.58728423004786e-06,62703,0.162230483076691
1982,"EBS","NW_middle","W.pollock","[25,40)","Mysid",1.55237053802872e-05,62703,0.973382898460146
1982,"EBS","NW_middle","W.pollock","[25,40)","Pel Amph",0.00103491369201914,62703,64.8921932306764
1982,"EBS","NW_middle","W.pollock","[25,40)","Pteropod",0.000642469861687309,62703,40.2847877373794
1982,"EBS","NW_middle","W.pollock","[40,55)","Benth Amph",0.000337522804433366,62703,21.1636924063854
1982,"EBS","NW_middle","W.pollock","[40,55)","Chaeteg etc.",8.79859395651766e-05,62703,5.51698236855527
1982,"EBS","NW_middle","W.pollock","[40,55)","Copepod",0.00012798150841353,62703,8.02482452205359
1982,"EBS","NW_middle","W.pollock","[40,55)","Euphausiid",0.0103119021516193,62703,646.587200612986
1982,"EBS","NW_middle","W.pollock","[40,55)","Fish Eggs",2.90016075706615e-07,62703,0.0181848779950319
1982,"EBS","NW_middle","W.pollock","[40,55)","Gen. Fish",3.02514939658137e-05,62703,1.89685942613842
1982,"EBS","NW_middle","W.pollock","[40,55)","Gen. Gadid",0.000502307843123857,62703,31.4962086873952
1982,"EBS","NW_middle","W.pollock","[40,55)","Glopp",0.00341865993172171,62703,214.360233698746
1982,"EBS","NW_middle","W.pollock","[40,55)","Hermit Crab",4.11051832711589e-07,62703,0.0257741830665147
1982,"EBS","NW_middle","W.pollock","[40,55)","Misc. Crab",6.61097915620444e-06,62703,0.414528226031487
1982,"EBS","NW_middle","W.pollock","[40,55)","Misc. Crustacean",6.7323217781611e-06,62703,0.422136772456035
1982,"EBS","NW_middle","W.pollock","[40,55)","Mysid",8.7102662560969e-06,62703,0.546159825056044
1982,"EBS","NW_middle","W.pollock","[40,55)","NP Shrimp",0.000105290205030423,62703,6.60201172602261
1982,"EBS","NW_middle","W.pollock","[40,55)","Pandalidae",4.1495578722435e-05,62703,2.60189727263284
1982,"EBS","NW_middle","W.pollock","[40,55)","Pel Amph",0.000489332177990528,62703,30.6825955565401
1982,"EBS","NW_middle","W.pollock","[40,55)","Pel. Gel. Filter Feeder",1.47978659776172e-05,62703,0.927870590394531
