"year","model","predator","pred_stage","prey","samples","freq_juv","freq_adu","prey_wt_juv","prey_wt_adu","prop_juv_bywt"
1990,"EGOA","Arrowtooth_flounder","adu","Walleye_pollock",3,3,0,234.628639891692,0,1
1990,"EGOA","Pacific_cod","adu","Flathead_sole",1,1,0,20.301513187317,0,1
1990,"EGOA","Pacific_cod","adu","Rex_sole",1,1,0,7.75598000415086,0,1
1990,"EGOA","Pacific_cod","adu","Walleye_pollock",4,4,0,218.188931307721,0,1
1990,"EGOA","Pacific_halibut","adu","Arrowtooth_flounder",1,1,0,4.10347360172358,0,1
1990,"EGOA","Pacific_halibut","adu","Walleye_pollock",5,5,0,312.994777423612,0,1
1990,"EGOA","Sablefish","adu","Walleye_pollock",2,2,0,2.59692285029997,0,1
1990,"EGOA","Walleye_pollock","adu","Arrowtooth_flounder",1,1,0,0.143944851983554,0,1
1990,"EGOA","Walleye_pollock","adu","Flathead_sole",1,1,0,1.62090557794784,0,1
1990,"EGOA","Walleye_pollock","juv","Arrowtooth_flounder",1,1,0,0.0118372032840317,0,1
1990,"WGOA","Arrowtooth_flounder","adu","Flathead_sole",1,1,0,14.850023379847,0,1
1990,"WGOA","Arrowtooth_flounder","adu","Walleye_pollock",70,65,5,3763.97743533628,2585.68206657135,0.592784138142442
1990,"WGOA","POP","adu","Arrowtooth_flounder",2,2,0,0.0699185432474264,0,1
1990,"WGOA","Pacific_cod","adu","Arrowtooth_flounder",11,8,3,58.8337190690776,1133.93603970372,0.0493252940363022
1990,"WGOA","Pacific_cod","adu","Flathead_sole",28,27,1,125.698996666354,83.6585264885404,0.600403533496883
1990,"WGOA","Pacific_cod","adu","Pacific_halibut",2,2,0,1.60201838997756,0,1
1990,"WGOA","Pacific_cod","adu","Walleye_pollock",26,22,4,599.059322802565,2426.80859622555,0.197979336452656
1990,"WGOA","Pacific_halibut","adu","Arrowtooth_flounder",15,7,8,214.528205315598,1227.4634046149,0.148772159170841
1990,"WGOA","Pacific_halibut","adu","Flathead_sole",4,3,1,29.8645059411751,184.786641708006,0.139130427525059
1990,"WGOA","Pacific_halibut","adu","POP",1,0,1,0,120.301418154565,0
1990,"WGOA","Pacific_halibut","adu","Pacific_cod",1,0,1,0,553.303804873289,0
1990,"WGOA","Pacific_halibut","adu","Pacific_halibut",1,1,0,0.0496341056331309,0,1
1990,"WGOA","Pacific_halibut","adu","Walleye_pollock",141,58,83,3319.69541775361,53182.5288670412,0.0587533581159736
1990,"WGOA","Pacific_halibut","juv","Pacific_halibut",1,1,0,0.152380603157995,0,1
1990,"WGOA","Sablefish","adu","Walleye_pollock",14,10,4,634.991917770884,2149.33793483233,0.228059156560491
1990,"WGOA","Slope_rockfish","adu","Arrowtooth_flounder",4,4,0,0.0471094924046636,0,1
1990,"WGOA","Thornyheads","adu","Walleye_pollock",1,1,0,0.784243891789577,0,1
1990,"WGOA","Walleye_pollock","adu","Arrowtooth_flounder",2,2,0,0.498574331030016,0,1
1990,"WGOA","Walleye_pollock","adu","Flathead_sole",3,3,0,2.06442715991341,0,1
1990,"WGOA","Walleye_pollock","adu","Pacific_cod",3,3,0,0.0914215180104624,0,1
