PRED,STRAT,YY,CI_strat_resid_mean,CI_weighted_resid_mean,SCI_per_N,Bottom_temp,Surface_temp,Biomass_Atka.mackerel,Biomass_P.cod,Biomass_POP,Cons_Amphipods,Cons_Atka,Cons_Copepods,Cons_Euphausiids,Cons_Gen. Fish,Cons_Mot. Epi.,Cons_Myctophids,Cons_Mysids,Cons_Octopus,Cons_Other,Cons_Other fish,Cons_P.Cod,Cons_Pandalidae,Cons_Polychaete,Cons_Rockfish,Cons_Shrimp,Cons_Squids,Cons_W.Pollock,Cons_Zooplankton
Atka.mackerel,BeringGoa,2004,0.095975624,0.022192716,0.019293609,4.630188679,5.837735849,267555.8,31964.2,0,33233.17985,38600.15445,623721.8787,841029.6777,23335.29636,8539.413505,0,0,21.44767094,48304.16128,16920.36279,0,3649.923574,0,0,11395.50304,3825.656257,3477.956715,589.7426813
Atka.mackerel,BeringGoa,2006,-0.030440934,-0.000505198,0.005332396,4.4,5.861363636,12308.4,7410.3,0,2009.443998,3048.913442,48054.26021,2768.221186,603.4644652,5197.71212,90.57388062,94.22373447,219.8831703,24804.81167,3020.398665,0,2787.413848,398.7018557,0,3160.142153,344.9742153,5386.968359,1306.395835
Atka.mackerel,BeringGoa,2010,0.091388059,0.010170696,0.009424952,4.558,5.348,103528.9,12749.9,87794.4,19288.01987,4990.045584,507639.7734,84870.74364,46287.18204,4371.349509,69187.233,48.8230477,0,39479.5352,8328.990518,0,1497.796922,757.9893835,0,3672.346828,201.4940067,8044.831367,2306.596796
Atka.mackerel,BeringGoa,2012,-0.071262218,-0.000259824,0.00418139,3.832727273,4.76,1009.5,6947.6,38657.5,20930.58128,688.2751791,2576.379884,2839.129049,6724.539858,4600.296049,0,16088.45477,6.575971578,34589.78463,2391.328843,0,2630.620722,33.43790155,650.8806265,8221.020393,799.09531,2807.633475,464.4835579
Atka.mackerel,BeringGoa,2014,-0.053607587,-0.000106826,0.005322643,4.727906977,6.446511628,1442.6,13182.6,83408.7,2324.460959,3736.550538,43242.47947,56405.52166,1472.379812,4017.085011,31198.00275,4923.524709,84.35894187,10247.45753,6987.235564,0,1699.77315,233.9331685,814.1772615,13314.62281,5116.851896,26162.64154,6580.438822
Atka.mackerel,BeringGoa,2016,-0.162917753,-0.0000675,0.005569693,5.404651163,7.206976744,185.6,11325.4,87952,8980.946386,0,34117.34185,103327.7966,2181.463725,7322.175521,4809.225445,1.037593634,51.54386989,17496.81935,3250.90898,0,2264.436454,626.0170618,0,4058.560778,269.2521563,22322.60416,101.281286
Atka.mackerel,BeringGoa,2018,-0.055233453,-0.00398766,0.003171597,4.864444444,6.069767442,25645.1,14632.1,115045.6,446.1605719,0,92062.67732,245776.4082,13631.52376,11187.27047,0,388.0101355,18.49928743,29598.96379,6048.020837,0,687.796999,0,0,1381.408588,7143.091179,8392.692506,2089.903218
Atka.mackerel,Central,1991,-0.003107138,-0.002449465,0.003874676,4.769230769,7.146666667,287593.8,39729.3,78775.6,34933.86454,72703.33276,475386.6199,558548.4882,9420.080897,29962.10218,19607.62264,66.69365729,1786.293617,460273.663,19662.19075,403.1358207,21392.3574,0,0,9524.651227,210747.2396,22537.05062,206.0409029
Atka.mackerel,Central,1994,0.035717538,0.004831326,0.00445315,4.237719298,5.846902655,83783.6,51538.4,84411.4,23436.48741,105670.2815,330352.3371,139429.7555,2023.357214,13362.20731,9060.13013,148.5724506,2.521676652,100441.7016,43358.33227,20.36972388,23637.06077,0,0,7303.259542,59534.9543,0,2469.10749
Atka.mackerel,Central,1997,0.072014624,0.036725744,0.004322264,4.656896552,6.596551724,186812.9,30251.6,166815.7,50038.14805,31938.26784,279756.0275,559922.0839,38216.52676,11736.17681,21591.13193,4620.87464,2543.045809,399120.394,25243.7095,0,10564.52235,37.43946839,82.7711922,33177.36153,22112.71087,57.46436809,2722.977173
Atka.mackerel,Central,2000,-0.038593333,-0.024949701,0.004688655,3.912149533,5.198181818,330254.7,36455.6,129739.9,211722.331,114308.2931,713382.3627,856077.3626,14259.24083,26469.99696,19835.77752,1235.964638,1668.448583,199794.9999,26926.31749,0,18828.32884,40.4943158,603.5334081,3566.604903,55609.56418,0,647.5057227
Atka.mackerel,Central,2002,-0.085542835,-0.03394565,0.002510685,4.118421053,5.105263158,331824.2,24687.2,0,178507.2733,49033.57082,1086846.156,287533.5539,8425.272819,18029.32254,0,93.01664173,4606.229147,273476.8074,17133.24969,0,6854.430361,1563.021109,0,9397.562841,39429.00039,0,5456.422488
Atka.mackerel,Central,2004,-0.064924272,-0.015097626,0.003405701,4.424615385,6.13,269070.7,20730.6,0,604825.0749,36366.06256,669118.9819,37491.73157,1100.633088,19238.9688,0,151.8238463,77590.64302,88407.32976,24594.71024,0,12190.92084,0,0,12300.51109,287.5096863,1868.389695,28440.48783
Atka.mackerel,Central,2006,-0.047935509,-0.017970487,0.013236755,4.376146789,5.711818182,278035.7,22032.8,0,137789.953,40363.15986,1199400.395,77871.16449,7454.912443,6453.401631,175.7710726,20.46553249,1091.87683,121844.2619,13013.42898,0,16486.66174,1876.594425,0,11009.82483,11496.87873,197.950898,23990.46494
Atka.mackerel,Central,2010,0.010259659,0.002193368,0.007454129,4.48828125,5.465625,198874.4,11207.3,217293.7,215440.2231,3832.421784,853261.8554,157611.0204,14796.3334,5495.580014,45871.84839,74.6286356,434.3272164,116959.1324,37341.35991,0,13560.9752,1019.330545,4260.078006,17398.34558,61574.84891,13.24780796,16766.71552
Atka.mackerel,Central,2012,-0.017417347,-0.006864992,0.012647503,4.086111111,5.257407407,109130,14804.2,233665.9,128161.5377,2864.239821,523778.9513,338852.2082,11960.92966,3881.14154,15439.83949,264.022461,2239.647748,23017.50081,13602.0422,0,9789.312258,34.55353553,0,7194.808314,17368.24917,0,6381.229563
Atka.mackerel,Central,2014,-0.009492905,-0.002686443,0.006677925,4.71,6.469090909,204867.8,8487.9,315544.2,97932.41328,7734.304306,758040.8557,295239.5828,6062.584452,4459.144976,138742.9067,1991.92015,699.5383409,344795.744,42762.94129,330.0636567,5047.680482,7661.087935,315.6751585,11712.11496,19669.07258,128.2887194,20878.01959
Atka.mackerel,Central,2016,0.011442319,0.00339624,0.008196077,4.901769912,6.578181818,133021.8,19496.2,206593.4,179308.0424,6442.877488,538990.8953,136447.568,32838.18212,2251.254366,69902.09535,5821.557956,0,83090.4355,53828.15958,0,15259.2426,5762.135589,0,38143.00051,4460.452862,0,39812.18383
Atka.mackerel,Central,2018,0.001167485,0.0000875,0.010566387,4.755,6.058119658,26614.5,20596.1,195497.4,128129.457,1537.409339,220176.8994,58669.73126,10508.69662,3467.515363,38033.13885,223.0159988,6270.0463,28698.40777,23289.51384,0,11626.36395,7545.09776,1752.041091,11644.91959,30304.52913,1894.83819,12724.99094
Atka.mackerel,East,1991,0.11298401,0.023914795,0.014721449,4.204166667,7.073684211,77218,64926.1,55544.9,16548.10581,10101.41917,36055.44396,443237.6826,14339.37448,26659.00943,45321.58075,369.3108122,3858.614131,51276.10727,56554.69629,0,38311.81198,4.529703498,5897.630478,42242.74278,18998.15087,20456.89288,1971.868395
Atka.mackerel,East,1994,-0.010271891,-0.003455645,0.007610765,4.063565891,5.495419847,208378.5,78080.6,100585,14423.35163,7678.819582,591584.1627,563440.9081,86268.22875,10970.28041,128312.3774,13084.00481,2430.19306,72355.71329,54679.89366,0,38094.78026,0,12763.96144,19947.03716,92703.90349,2394.980354,2882.49945
Atka.mackerel,East,1997,0.048571121,0.005984832,0.012212427,4.38,6.14,45136.8,28239.2,220632.9,3856.835815,6131.104,100480.4031,298017.3919,29729.81197,12063.65221,218399.0815,353.4528015,505.0304106,10360.44619,46277.63328,0,14544.15124,0,803.0672923,17920.77536,16889.47579,762.2273731,4144.207167
Atka.mackerel,East,2000,-0.065477377,-0.000117727,0.004052256,3.972932331,5.416058394,918.5,47117,140528.1,11952.4755,1976.886734,84078.54978,96138.69255,12984.20097,4937.952708,76021.10145,3176.149342,7694.306527,21788.5567,86662.36096,0,11726.63659,0,4056.673285,18973.9335,13470.68259,17389.05558,243.7109347
Atka.mackerel,East,2002,0.011292695,0.002576954,0.003499173,4.227272727,6.603030303,190816.8,25240.6,0,115552.0008,37346.25396,282975.8861,471934.69,68622.16423,18333.9341,1169.802284,336.5516317,471.4352039,63743.42115,78491.74623,0,11253.44634,824.219923,5382.300927,16016.28677,19433.18716,0,752.2787194
Atka.mackerel,East,2004,-0.007089192,-0.001495197,0.010922874,4.263302752,6.101785714,244043.1,51851.3,0,60711.69213,79981.71457,1069239.888,178953.5658,12186.68083,13023.14905,4750.905342,0,1895.291591,97003.31658,16039.10107,0,33530.8083,0,361.5394863,29282.44634,9553.353465,0,8039.861239
Atka.mackerel,East,2006,-0.039743818,-0.018767032,0.004531166,4.127472527,5.721978022,350206.4,43348.4,0,52338.54289,2877.856184,954070.2185,691303.1479,26529.13486,40138.84076,11382.68364,0,8554.548203,114688.5264,82844.61307,0,13234.6344,61933.90901,0,45992.12214,60029.3022,0,9366.164615
