"Quarter","Year","Vessel","Cruise","Type","Sta_id_let","Sta_id_num","Seq_num","Haul","Pred_specn","Pred_nodc","Pred_lh","Pred_full","Pred_dig","Pred_stomwt","Prey_nodc","Prey_lh","Prey_cnt","Prey_twt","Pred_sex","Prey_parts","Pred_len","Pred_mat","Pred_wt","Start_hour","Hauljoin","Predjoin","Note","Preyjoin"
3,2013,89,201301,3,NA,NA,NA,138,904,8791030701,NA,6,4,76.65,6179180100,"C",1,0.625,1,NA,59,0,1406,NA,11111135,11112724,"                                                                                                    ",NA
3,2013,89,201301,3,NA,NA,NA,138,904,8791030701,NA,6,4,76.65,8755030201,"C",1,3.636,1,NA,59,0,1406,NA,11111135,11112724,"                                                                                                    ",NA
3,2013,89,201301,3,NA,NA,NA,138,904,8791030701,NA,6,5,76.65,6.17e+09,"C",224,7.665,1,NA,59,0,1406,NA,11111135,11112724,"                                                                                                    ",NA
3,2013,89,201301,3,NA,NA,NA,138,904,8791030701,NA,6,5,76.65,6174020906,"C",2641,64.72403,1,NA,59,0,1406,NA,11111135,11112724,"                                                                                                    ",NA
3,2013,89,201301,3,NA,NA,NA,138,905,8791030701,NA,6,4,47.63,6179160400,"C",1,0.678,2,NA,76,0,3074.2,NA,11111135,11112725,"                                                                                                    ",NA
3,2013,89,201301,3,NA,NA,NA,138,905,8791030701,NA,6,5,47.63,6.17e+09,"C",72,2.3815,2,NA,76,0,3074.2,NA,11111135,11112725,"                                                                                                    ",NA
3,2013,89,201301,3,NA,NA,NA,138,905,8791030701,NA,6,5,47.63,6170011002,"C",3,0.4763,2,NA,76,0,3074.2,NA,11111135,11112725,"                                                                                                    ",NA
3,2013,89,201301,3,NA,NA,NA,138,905,8791030701,NA,6,5,47.63,6174020906,"C",715,44.0942,2,NA,76,0,3074.2,NA,11111135,11112725,"                                                                                                    ",NA
3,2013,89,201301,3,NA,NA,NA,138,906,8791030701,NA,5,2,6.58,6174020000,"C",1,0.0329,2,NA,62,0,1656.4,NA,11111135,11112726,"                                                                                                    ",NA
3,2013,89,201301,3,NA,NA,NA,138,906,8791030701,NA,5,4,6.58,6170011002,"C",2,0.422,2,NA,62,0,1656.4,NA,11111135,11112726,"                                                                                                    ",NA
3,2013,89,201301,3,NA,NA,NA,138,906,8791030701,NA,5,5,6.58,6174020906,"C",1,0.073,2,NA,62,0,1656.4,NA,11111135,11112726,"                                                                                                    ",NA
3,2013,89,201301,3,NA,NA,NA,138,906,8791030701,NA,5,5,6.58,8.3e+09,"C",323,6.0521,2,NA,62,0,1656.4,NA,11111135,11112726,"                                                                                                    ",NA
3,2013,89,201301,3,NA,NA,NA,138,907,8791030701,NA,7,3,135.61,6.17e+09,"C",6,0.33903,2,NA,61,0,1576.6,NA,11111135,11112727,"                                                                                                    ",NA
3,2013,89,201301,3,NA,NA,NA,138,907,8791030701,NA,7,5,135.61,6174020906,"C",4043,135.271,2,NA,61,0,1576.6,NA,11111135,11112727,"                                                                                                    ",NA
3,2013,89,201301,3,NA,NA,NA,138,908,8791030701,NA,5,3,0.09,6174020000,"C",1,0.027,3,NA,11,0,8.8,NA,11111135,11112728,"                                                                                                    ",NA
3,2013,89,201301,3,NA,NA,NA,138,908,8791030701,NA,5,5,0.09,6118999992,"C",20,0.036,3,NA,11,0,8.8,NA,11111135,11112728,"                                                                                                    ",NA
3,2013,89,201301,3,NA,NA,NA,138,908,8791030701,NA,5,5,0.09,8.3e+09,"C",2,0.027,3,NA,11,0,8.8,NA,11111135,11112728,"                                                                                                    ",NA
3,2013,89,201301,3,NA,NA,NA,138,909,8791030701,NA,5,3,0.17,6118999993,"C",15,0.0085,3,NA,13,0,14.6,NA,11111135,11112729,"                                                                                                    ",NA
3,2013,89,201301,3,NA,NA,NA,138,909,8791030701,NA,5,4,0.17,6118999992,"C",11,0.0595,3,NA,13,0,14.6,NA,11111135,11112729,"                                                                                                    ",NA
3,2013,89,201301,3,NA,NA,NA,138,909,8791030701,NA,5,5,0.17,8.3e+09,"C",15,0.102,3,NA,13,0,14.6,NA,11111135,11112729,"                                                                                                    ",NA
3,2013,89,201301,3,NA,NA,NA,138,910,8791030701,NA,3,3,0.01,8.3e+09,"C",2,0.01,3,NA,13,0,14.6,NA,11111135,11112730,"                                                                                                    ",NA
3,2013,89,201301,3,NA,NA,NA,138,911,8791030701,NA,1,1,0,0,"C",0,0,3,NA,11,0,8.8,NA,11111135,11112731,"                                                                                                    ",NA
3,2013,89,201301,3,NA,NA,NA,138,912,8791030701,NA,4,4,0.03,8.3e+09,"C",3,0.03,3,NA,12,0,11.4,NA,11111135,11112732,"                                                                                                    ",NA
3,2013,89,201301,3,NA,NA,NA,138,912,8791030701,NA,5,2,22.23,6.179e+09,"C",1,0.403,1,NA,69,0,2252.6,NA,11111135,11112732,"                                                                                                    ",NA
3,2013,89,201301,3,NA,NA,NA,138,912,8791030701,NA,5,5,22.23,6174020906,"C",412,17.566,1,NA,69,0,2252.6,NA,11111135,11112732,"                                                                                                    ",NA
3,2013,89,201301,3,NA,NA,NA,138,912,8791030701,NA,5,5,22.23,8842120904,"C",1,4.261,1,NA,69,0,2252.6,NA,11111135,11112732,"                                                                                                    ",NA
3,2013,89,201301,3,NA,NA,NA,138,916,8791030401,NA,5,3,1.19,5.001e+09,"C",0,0.714,2,NA,28,0,226.7,NA,11111135,11149787,"                                                                                                    ",NA
