"predator","species_name","common_name","race_guild","species_code","model","pred_n","pred_full","tot_wt","tot_sci","prey_guild","prey_n","prey_wt","prey_sci","dietprop_wt"
"arrowtooth flounder","Atheresthes stomias","arrowtooth flounder","Arrowtooth_flounder",10110,"EGOA",2522,1294,21177.60102,145.969689781749,"Arrowtooth_flounder",7,684.485,4.1378443897203,0.0323211774248451
"arrowtooth flounder","Atheresthes stomias","arrowtooth flounder","Arrowtooth_flounder",10110,"EGOA",2522,1294,21177.60102,145.969689781749,"Benthic_detritus",7,1.83,0.013985278389319,8.64120538616135e-05
"arrowtooth flounder","Atheresthes stomias","arrowtooth flounder","Arrowtooth_flounder",10110,"EGOA",2522,1294,21177.60102,145.969689781749,"Chum_salmon",1,30.18,0.233953488372093,0.00142509059319317
"arrowtooth flounder","Atheresthes stomias","arrowtooth flounder","Arrowtooth_flounder",10110,"EGOA",2522,1294,21177.60102,145.969689781749,"Cope_UNID",1,0.5,0.00757575757575758,2.36098507818616e-05
"arrowtooth flounder","Atheresthes stomias","arrowtooth flounder","Arrowtooth_flounder",10110,"EGOA",2522,1294,21177.60102,145.969689781749,"Cope_medium",1,3.625,0.021969696969697,0.000171171418168497
"arrowtooth flounder","Atheresthes stomias","arrowtooth flounder","Arrowtooth_flounder",10110,"EGOA",2522,1294,21177.60102,145.969689781749,"Cope_small",1,0.0367,0.000470512820512821,1.73296304738864e-06
"arrowtooth flounder","Atheresthes stomias","arrowtooth flounder","Arrowtooth_flounder",10110,"EGOA",2522,1294,21177.60102,145.969689781749,"Euphausiids",456,967.086,9.35315024434623,0.0456655123064548
"arrowtooth flounder","Atheresthes stomias","arrowtooth flounder","Arrowtooth_flounder",10110,"EGOA",2522,1294,21177.60102,145.969689781749,"Gelatinous_carnivores",2,0.475,0.00552362707535121,2.24293582427685e-05
"arrowtooth flounder","Atheresthes stomias","arrowtooth flounder","Arrowtooth_flounder",10110,"EGOA",2522,1294,21177.60102,145.969689781749,"Gelatinous_omnivores",1,0.5,0.00320512820512821,2.36098507818616e-05
"arrowtooth flounder","Atheresthes stomias","arrowtooth flounder","Arrowtooth_flounder",10110,"EGOA",2522,1294,21177.60102,145.969689781749,"Infauna",5,2.836,0.0198606451314129,0.000133915073634719
"arrowtooth flounder","Atheresthes stomias","arrowtooth flounder","Arrowtooth_flounder",10110,"EGOA",2522,1294,21177.60102,145.969689781749,"MISC_NA",1479,1262.9646,9.75804756330344,0.0596368114975471
"arrowtooth flounder","Atheresthes stomias","arrowtooth flounder","Arrowtooth_flounder",10110,"EGOA",2522,1294,21177.60102,145.969689781749,"Motile_epifauna",212,221.551,2.16480220031141,0.0104615721011444
"arrowtooth flounder","Atheresthes stomias","arrowtooth flounder","Arrowtooth_flounder",10110,"EGOA",2522,1294,21177.60102,145.969689781749,"Mysids",9,4.2237,0.049477375202299,0.000199441853494698
"arrowtooth flounder","Atheresthes stomias","arrowtooth flounder","Arrowtooth_flounder",10110,"EGOA",2522,1294,21177.60102,145.969689781749,"Offal",6,389.497,2.30708637851697,0.0183919320999655
"arrowtooth flounder","Atheresthes stomias","arrowtooth flounder","Arrowtooth_flounder",10110,"EGOA",2522,1294,21177.60102,145.969689781749,"POP",3,282.58,1.56846153846154,0.0133433432678769
"arrowtooth flounder","Atheresthes stomias","arrowtooth flounder","Arrowtooth_flounder",10110,"EGOA",2522,1294,21177.60102,145.969689781749,"Pacific_capelin",75,576.104,5.90006063129201,0.0272034589496672
"arrowtooth flounder","Atheresthes stomias","arrowtooth flounder","Arrowtooth_flounder",10110,"EGOA",2522,1294,21177.60102,145.969689781749,"Pacific_cod",1,11.5,0.0798611111111111,0.000543026567982817
"arrowtooth flounder","Atheresthes stomias","arrowtooth flounder","Arrowtooth_flounder",10110,"EGOA",2522,1294,21177.60102,145.969689781749,"Pacific_hake",1,422,2.19791666666667,0.0199267140598912
"arrowtooth flounder","Atheresthes stomias","arrowtooth flounder","Arrowtooth_flounder",10110,"EGOA",2522,1294,21177.60102,145.969689781749,"Pacific_herring",127,8687.136,58.0930753984061,0.410203969363476
"arrowtooth flounder","Atheresthes stomias","arrowtooth flounder","Arrowtooth_flounder",10110,"EGOA",2522,1294,21177.60102,145.969689781749,"Pacific_sandlance",3,10.5,0.0811092955700799,0.000495806866419094
"arrowtooth flounder","Atheresthes stomias","arrowtooth flounder","Arrowtooth_flounder",10110,"EGOA",2522,1294,21177.60102,145.969689781749,"Pandalid_shrimp",173,640.29952,5.83696639155134,0.0302347522457952
"arrowtooth flounder","Atheresthes stomias","arrowtooth flounder","Arrowtooth_flounder",10110,"EGOA",2522,1294,21177.60102,145.969689781749,"Pelagic_amphipods",7,0.686,0.00864119662797824,3.23927152727141e-05
"arrowtooth flounder","Atheresthes stomias","arrowtooth flounder","Arrowtooth_flounder",10110,"EGOA",2522,1294,21177.60102,145.969689781749,"Rex_sole",1,79.63,0.428118279569892,0.00376010483551928
