"year","model","stratum_bin","species_name","lbin","prey_guild","strat_preycons_t_km2","area","cons_tons_day"
1985,"NBS","NBS81","W.pollock","[0,10)","MISSING",5.32915315913002e-05,38352,2.04383681958954
1985,"NBS","NBS81","W.pollock","[10,25)","MISSING",0.0144601553396819,38352,554.575877587481
1985,"NBS","NBS81","W.pollock","[25,40)","MISSING",0.000213244368136272,38352,8.17834800676232
1985,"NBS","NBS81","W.pollock","[40,999)","MISSING",0.0435658577956511,38352,1670.83777817881
1988,"NBS","NBS70","W.pollock","[0,10)","MISSING",1.5152386999089e-05,79261,1.20099334593479
1988,"NBS","NBS70","W.pollock","[10,25)","MISSING",0.00181045885745164,79261,143.498779500474
1988,"NBS","NBS70","W.pollock","[40,999)","MISSING",0.00543800885744205,79261,431.022020049714
1988,"NBS","NBS81","W.pollock","[0,10)","MISSING",8.55558311745145e-06,38352,0.328123723720498
1988,"NBS","NBS81","W.pollock","[10,25)","MISSING",0.000148622291215929,38352,5.69996211271332
1988,"NBS","NBS81","W.pollock","[40,999)","MISSING",0.00190703831625689,38352,73.1387335050842
2010,"NBS","NBS70","W.pollock","[0,10)","amphipods",2.27038409769306e-06,79261,0.17995291396725
2010,"NBS","NBS70","W.pollock","[0,10)","benthos",6.25136810988392e-07,79261,0.0495489687757509
2010,"NBS","NBS70","W.pollock","[0,10)","copepods",4.59095212610034e-06,79261,0.363883456466839
2010,"NBS","NBS70","W.pollock","[0,10)","euphausiids",1.40116262102701e-06,79261,0.111057550505222
2010,"NBS","NBS70","W.pollock","[0,10)","fish_other",0,79261,0
2010,"NBS","NBS70","W.pollock","[0,10)","Flatfish",0,79261,0
2010,"NBS","NBS70","W.pollock","[0,10)","MISSING",0,79261,0
2010,"NBS","NBS70","W.pollock","[0,10)","Mysid",1.09534657713732e-05,79261,0.868182650504808
2010,"NBS","NBS70","W.pollock","[0,10)","Opilio",0,79261,0
2010,"NBS","NBS70","W.pollock","[0,10)","Pandalidae",0,79261,0
2010,"NBS","NBS70","W.pollock","[0,10)","pollock",0,79261,0
2010,"NBS","NBS70","W.pollock","[0,10)","Polychaete",0,79261,0
2010,"NBS","NBS70","W.pollock","[0,10)","squids",0,79261,0
2010,"NBS","NBS70","W.pollock","[0,10)","zoop_other",1.08035616573418e-06,79261,0.0856301100522565
2010,"NBS","NBS70","W.pollock","[10,25)","amphipods",6.60357122073921e-06,79261,0.52340565852701
2010,"NBS","NBS70","W.pollock","[10,25)","benthos",5.00976019099605e-06,79261,0.397078602498538
2010,"NBS","NBS70","W.pollock","[10,25)","copepods",1.33424981255115e-06,79261,0.105753974392616
2010,"NBS","NBS70","W.pollock","[10,25)","euphausiids",3.14622427797872e-05,79261,2.49372882496871
2010,"NBS","NBS70","W.pollock","[10,25)","fish_other",2.53726548589985e-05,79261,2.01106199677908
2010,"NBS","NBS70","W.pollock","[10,25)","Flatfish",0,79261,0
2010,"NBS","NBS70","W.pollock","[10,25)","MISSING",0,79261,0
2010,"NBS","NBS70","W.pollock","[10,25)","Mysid",0.000120461647084505,79261,9.54791060956497
2010,"NBS","NBS70","W.pollock","[10,25)","Opilio",0,79261,0
2010,"NBS","NBS70","W.pollock","[10,25)","Pandalidae",0,79261,0
2010,"NBS","NBS70","W.pollock","[10,25)","pollock",0,79261,0
2010,"NBS","NBS70","W.pollock","[10,25)","Polychaete",4.34310628647838e-06,79261,0.344238947372563
2010,"NBS","NBS70","W.pollock","[10,25)","squids",0,79261,0
2010,"NBS","NBS70","W.pollock","[10,25)","zoop_other",9.37252024404168e-07,79261,0.0742875327062988
