"year","[12,25)","[25,40)","[40,999)"
1987,13,119,891
1988,103,63,305
1989,72,152,1640
1990,133,82,1639
1991,360,167,1740
1992,74,232,1780
1993,144,192,2039
1994,247,156,1869
1995,275,107,1541
1996,385,120,764
1997,275,166,1702
1998,270,117,1060
1999,249,173,1515
2000,222,116,1584
2001,311,151,1453
2002,205,177,2033
2003,223,117,1512
2004,232,210,1026
2005,74,65,306
2006,90,24,481
2007,194,53,516
2008,223,139,811
2009,248,129,661
2010,469,548,1113
2011,397,239,1012
2012,50,106,418
2013,455,175,1297
2014,612,255,1349
2015,521,635,1758
2016,430,582,1433
2017,294,343,1060
2018,374,272,980
2019,409,207,963
