"cruisejoin","region","vessel","cruise","start_date","end_date","min_latitude","max_latitude","min_longitude","max_longitude","agency_name","survey_name","auditjoin"
87,"BS",11,197902,"1979-07-14","1979-08-28",56.91167,61.83833,-171.02833,-178.825,"USA","SHRMP",79
88,"BS",12,197902,"1979-07-07","1979-08-22",54.33333,61.46667,-162.71667,-179.36667,"USA","USJPN COOP",80
89,"BS",14,197104,"1971-07-23","1971-08-31",54.66667,58.68333,-160.3,-170.25,"USA","CRAB/GRFSH",81
90,"BS",14,197202,"1972-05-28","1972-07-24",54.63333,58.66667,-159.6,-168.86667,"USA","CRAB/GRFSH",82
91,"BS",14,197304,"1973-07-09","1973-08-12",54.65,58,-158.96667,-165.83333,"USA","CRAB/GRFSH",83
92,"BS",14,197402,"1974-06-14","1974-08-01",54.63333,57.66667,-161.58333,-172.53333,"USA","CRAB/GRFSH",84
93,"BS",14,197502,"1975-06-01","1975-08-10",54.66667,58.01667,-158.33333,-172.66667,"USA","CRAB/GRFSH",85
94,"BS",14,197602,"1976-05-29","1976-08-09",54.66667,58.33333,-158.35,-172.56667,"USA","CRAB/GRFSH",86
95,"BS",14,197700,"1977-05-25","1977-06-01",55.4,55.66667,-163.53333,-163.9,"USA","COMP TOWS",87
96,"BS",14,197703,"1977-06-04","1977-08-05",54.66667,58.68333,-158.31667,-172.98333,"USA","CRAB/GRFSH",88
97,"BS",14,197802,"1978-05-20","1978-07-07",54.53333,57.66667,-159.05,-170.85,"USA","CRAB/GRFSH",89
98,"BS",14,197902,"1979-05-25","1979-08-24",54.98333,58,-158.95,-172.41667,"USA","USJPN COOP",90
99,"BS",14,198002,"1980-05-22","1980-07-09",54.67167,59.6735,-162.7045,-177.60217,"USA","CRAB/GRFSH",91
100,"BS",16,197303,"1973-06-26","1973-07-18",54.66667,57.66667,-164.58333,-171.53333,"USA","CRAB/GRFSH",92
101,"BS",17,197403,"1974-06-23","1974-07-24",54.61667,58.71667,-158.26667,-171.56667,"USA","CRAB/GRFSH",93
102,"BS",17,197501,"1975-08-07","1975-09-30",54.61667,61.68333,-158.06667,-178.48333,"USA","EBS SURVEY",94
103,"BS",17,197601,"1976-04-21","1976-06-13",54.51667,59.15,-158.1,-175.76667,"USA","CRAB/GRFSH",95
104,"BS",19,197501,"1975-08-07","1975-09-30",54.61667,61.88333,-158.01667,-178.75,"USA","EBS SURVEY",96
105,"BS",19,197601,"1976-04-21","1976-06-20",54.85,59.83333,-159.15,-174.73333,"USA","CRAB/GRFSH",97
106,"BS",19,198201,"1982-05-31","1982-08-01",55.01017,62.62717,-158.92433,-177.58383,"USA","CRAB/GRFSH",98
107,"BS",19,198701,"1987-06-03","1987-08-07",54.51317,61.8555,-160.14483,-178.75183,"USA","CRAB/GRFSH",99
108,"BS",20,197701,"1977-07-10","1977-08-08",53.93333,58.75,-157.8,-166.63333,"USA","NMFS CLAM",100
109,"BS",21,197501,"1975-08-18","1975-10-20",54.61667,60.38333,-159.61667,-171.93333,"USA","EBS SURVEY",101
110,"BS",21,197601,"1976-04-01","1976-05-31",54.6,58.76667,-159.86667,-174.55,"USA","CRAB/GRFSH",102
111,"BS",21,197602,"1976-09-02","1976-10-09",63.06667,68.3,-161.25,-171.85,"USA","CHUKCHI/NS",103
112,"BS",21,197603,"1976-09-03","1976-10-09",63.06667,68.18333,-161.3,-169.2,"USA","CHK. GLNET",104
114,"BS",21,197902,"1979-07-26","1979-08-05",63.16667,64.76667,-161.53333,-169.58333,"USA","CHUKCHI/NS",106
117,"BS",21,198101,"1981-02-11","1981-02-24",54.11633,57.01167,-164.176,-170.10483,"USA","GRFSH",107
118,"BS",21,198105,"1981-09-21","1981-10-06",55.67467,63.078,-160.85583,-174.2085,"USA","HERRING",108
119,"BS",21,198106,"1981-10-14","1981-11-04",53.79167,57.40333,-163.424,-170.673,"USA","NMML/GRFSH",109
120,"BS",21,198202,"1982-09-01","1982-09-15",56.50217,64.504,-161.491,-174.7405,"USA","NORTNSOUND",110
121,"BS",21,198203,"1982-09-24","1982-10-08",54.24533,57.4,-163.43583,-170.79783,"USA","NMML/GRFSH",111
122,"BS",21,198301,"1983-02-12","1983-02-24",53.7195,57.66133,-159.67517,-170.157,"USA","CRAB/GRFSH",112
124,"BS",21,198406,"1984-08-28","1984-09-07",57.0345,58.19417,-161.971,-164.6475,"USA","INNERFRONT",114
125,"BS",21,198501,"1985-01-23","1985-02-14",54.984,57.98933,-159.56967,-165.21367,"USA","CRAB/GRFSH",115
126,"BS",21,198504,"1985-08-05","1985-08-22",55.87883,58.07383,-169.49667,-172.93867,"USA","REFM/NMML",116
128,"BS",21,198808,"1988-08-16","1988-09-22",54.23833,64.6755,-161.5305,-178.96917,"USA","TRIENGRFSH",118
135,"BS",21,199110,"1991-08-31","1991-09-25",54.20717,59.8615,-165.81467,-178.8305,"USA","EBS  TRIEN",125
137,"BS",26,197701,"1977-08-02","1977-08-31",55.08333,58.25,-159.08333,-171.63333,"USA","ICHTHPLKTN",127
138,"BS",27,197801,"1978-06-18","1978-07-06",55,60.25,-163.06667,-175.26667,"USA","SHRIMP/PLK",128
139,"BS",28,197801,"1978-06-18","1978-08-16",54.9,61,-158.95,-178.25,"USA","CRAB/GRFSH",129
140,"BS",28,197901,"1979-05-22","1979-08-19",54.81667,63.65,-157.98333,-178.58333,"USA","USJPN COOP",130
141,"BS",29,197801,"1978-07-04","1978-08-08",55.941,57.7805,-158.066,-161.78633,"USA","NMFS CLAM",131
142,"BS",31,198001,"1980-05-12","1980-07-30",54.984,61.66317,-158.29733,-178.71867,"USA","CRAB/GRFSH",132
143,"BS",37,198101,"1981-05-22","1981-07-20",54.67617,59.66767,-158.35633,-170.6065,"USA","CRAB/GRFSH",133
144,"BS",37,198301,"1983-06-07","1983-08-06",54.68,60.99033,-158.325,-177.55533,"USA","CRAB/GRFSH",134
145,"BS",37,198401,"1984-06-10","1984-08-10",54.68967,60.99683,-158.96633,-174.12667,"USA","CRAB/GRFSH",135
146,"BS",37,198501,"1985-06-08","1985-08-07",54.707,60.992,-158.32917,-174.75533,"USA","CRAB/GRFSH",136
147,"BS",37,198601,"1986-06-04","1986-07-11",54.79883,61.01183,-158.31233,-173.01117,"USA","CRAB/GRFSH",137
148,"BS",37,198701,"1987-05-27","1987-07-30",54.80233,61.66433,-158.3215,-178.724,"USA","CRAB/GRFSH",138
149,"BS",37,198801,"1988-06-04","1988-08-06",54.8465,62.00033,-158.3265,-176.96583,"USA","CRAB/GRFSH",139
150,"BS",37,198901,"1989-06-06","1989-08-14",54.70967,61.67383,-158.30767,-178.25717,"USA","CRAB/GRFSH",140
151,"BS",37,199001,"1990-06-04","1990-08-06",54.68,61.96633,-158.78583,-178.09917,"USA","CRAB/GRFSH",141
152,"BS",37,199101,"1991-06-20","1991-08-13",54.74267,63.31917,-162.692,-178.14967,"USA","CRAB/GRFSH",142
153,"BS",37,199201,"1992-06-06","1992-08-03",54.99567,62.01117,-158.9685,-178.198,"USA","CRAB/GRFSH",143
154,"BS",38,196402,"1964-08-13","1964-09-04",54.8,58.65,-157.88333,-170.13333,"USA","EXPL KODK",144
156,"BS",57,198602,"1986-06-03","1986-08-06",54.69967,61.0065,-158.9725,-178.1545,"USA","CRAB/GRFSH",146
157,"BS",60,198501,"1985-07-03 07:00:00","1985-09-10 09:00:00",54.47267,61.6635,-165.7275,-178.25,"USA","CRAB/GRFSH",147
158,"BS",78,198801,"1988-06-03","1988-08-06",54.70817,61.91683,-159.0145,-178.16183,"USA","CRAB/GRFSH",148
159,"BS",78,198901,"1989-06-04","1989-08-14",55.01233,62.00017,-158.99367,-178.74067,"USA","CRAB/GRFSH",149
160,"BS",78,199001,"1990-06-04","1990-08-06",54.786,62.01917,-158.27917,-177.548,"USA","CRAB/GRFSH",150
161,"BS",78,199002,"1990-08-16","1990-09-16",68.39033,72.07583,-160.421,-168.83683,"USA","CHUKCHI GF",151
162,"BS",78,199101,"1991-06-07 07:00:00","1991-08-07 17:00:00",54.82467,62.653,-158.313,-175.81267,"USA","CRAB/GRFSH",152
165,"BS",87,199201,"1992-06-05","1992-08-03",54.68367,61.34817,-158.31033,-177.599,"USA","CRAB/GRFSH",155
166,"BS",88,199301,"1993-06-04","1993-07-26",54.665,62.00567,-158.3215,-178.23267,"USA","CRAB/GRFSH",156
