"survey","year","model","stratum_bin","species_name","species_code","haul_count","catch_count","mean_wgt_cpue","var_wgt_cpue","mean_num_cpue","var_num_cpue","stratum_biomass","biomass_var","min_biomass","max_biomass","stratum_pop","pop_var","min_pop","max_pop","area","stratum_ratio","Ni","fi"
"GOA",1984,"WGOA","Chirikof_gully","Pacific_cod",21720,82,72,1516.22438860424,65169.0990661843,673.58324626272,11545.9298138625,16836.2147438127,8035329.19848508,11196.1193206586,22476.3101669668,7479494.63624785,1423609475754.27,5105498.27052415,9853491.00197154,11104.039,0.0472976716729497,1110403.9,15035436195.3099
"GOA",1984,"WGOA","Chirikof_gully","Pacific_cod",21720,82,72,1516.22438860424,65169.0990661843,673.58324626272,11545.9298138625,15189.2099367938,6540111.16854798,10100.8575518065,20277.562321781,6747812.14066198,1158703520670.51,4606052.26548491,8889572.01583906,10017.785,0.0426707710428792,1001778.5,12237536795.4299
"GOA",1984,"WGOA","Chirikof_shelf","Pacific_cod",21720,73,55,3540.85336783526,3179895.65837625,2228.65221994806,779364.652278291,28117.3925476814,200515095.461791,0,56345.5050355481,17697397.438079,49144498574813.4,3722592.42904404,31672202.4471139,7940.852,0.0338240716463159,794085.2,8637168995.06082
"GOA",1984,"WGOA","Chirikof_shelf","Pacific_cod",21720,73,55,3540.85336783526,3179895.65837625,2228.65221994806,779364.652278291,25855.6158053227,169553499.102069,0,51813.0451849506,16273810.1741516,41556081729338.3,3423145.28212193,29124475.0661813,7302.086,0.0311032468596015,730208.6,7303442387.48164
"GOA",1984,"WGOA","Chirikof_shelf","Pacific_cod",21720,73,55,3540.85336783526,3179895.65837625,2228.65221994806,779364.652278291,38212.9320359186,370354570.755433,0,76576.3379659633,24051641.5015061,90770670570956,5059187.87623198,43044095.1267802,10792.012,0.0459685921732204,1079201.2,15953376005.3951
"GOA",1984,"WGOA","Chirikof_shelf","Pacific_cod",21720,73,55,3540.85336783526,3179895.65837625,2228.65221994806,779364.652278291,27387.1517350726,190235130.651168,0,54882.1478869706,17237775.8048024,46624968986174.2,3625912.4500671,30849639.1595378,7734.619,0.0329456218568179,773461.9,8194340384.01246
"GOA",1984,"WGOA","Chirikof_shelf","Pacific_cod",21720,73,55,3540.85336783526,3179895.65837625,2228.65221994806,779364.652278291,17742.2885226401,79839215.3119396,0,35554.442169532,11167192.3672781,19567894347682.7,2348984.13202051,19985400.6025357,5010.738,0.0213432464316068,501073.8,3438881844.64438
"GOA",1984,"WGOA","Chirikof_slope","Pacific_cod",21720,43,16,712.230329255944,70537.2318445552,311.505960841359,13633.9720365436,1088.51087119614,164756.678062722,269.366864153554,1907.65487823872,476078.60953134,31845422379.0803,115946.162830013,836211.056232667,1528.313,0.006509851639345,152831.3,543042663.111395
"GOA",1984,"WGOA","Chirikof_slope","Pacific_cod",21720,43,16,712.230329255944,70537.2318445552,311.505960841359,13633.9720365436,1142.38967114369,181470.493738518,282.699908195899,2002.07943409149,499643.412457067,35075995646.3999,121685.232854127,877601.592060006,1603.961,0.00683207441492381,160396.1,598139810.765349
"GOA",1984,"WGOA","Chirikof_slope","Pacific_cod",21720,43,16,712.230329255944,70537.2318445552,311.505960841359,13633.9720365436,1391.135401406,269101.606517074,344.255432449611,2438.01537036239,608436.557774951,52014002850.6939,148181.167536499,1068691.9480134,1953.21,0.00831970108249099,195321,887020796.232558
